run_id,atlas_phase,baseline_run_id,perturbation_axis,perturbation_strength,operator_sector,boundary_type,random_seed,baseline_regime,perturbed_regime,perturbed_regime_perturbed_constraint,baseline_sector_label,sector_label,sector_label_perturbed_constraint,persistence_score,persistence_score_perturbed_constraint,constraint_max,constraint_max_perturbed,baseline_constraint_max,sector_leakage,baseline_sector_leakage,norm_drift,anisotropy_score,coherence_score,baseline_coherence_score,coherence_delta,center_shift,width_ratio,notes
A1_A0_transverse_periodic_wide_midk_amp05_edge_weight_noise,Atlas-1,A0_transverse_periodic_wide_midk_amp05,edge_weight_noise,0.03,transverse,periodic,101,Ballistic coherent,Ballistic coherent,Chaotic or irregular,Transverse-dominant,Transverse-dominant,Constraint-failing,1,0,1.3802610641743021e-16,0.00615408150858806,8.036762689291721e-17,1.305450899813724e-16,9.205078871863103e-17,0.09656606980683044,1.6914358125875202,0.9702564337687253,0.969380853838808,0.0008755799299172695,0.0676299193884397,0.983596108811751,Atlas-1 pilot resilience test from A0_transverse_periodic_wide_midk_amp05 via edge_weight_noise
A1_A0_transverse_periodic_wide_midk_amp05_sparse_graph_defects,Atlas-1,A0_transverse_periodic_wide_midk_amp05,sparse_graph_defects,0.03,transverse,periodic,202,Ballistic coherent,Ballistic coherent,Chaotic or irregular,Transverse-dominant,Transverse-dominant,Constraint-failing,1,0,8.036762689291721e-17,0.05609723320479089,8.036762689291721e-17,1.4411942130731762e-16,9.205078871863103e-17,0.106569869839894,1.6972661248072536,0.9721116241998313,0.969380853838808,0.002730770361023316,0.06703899954966532,0.9759015440131124,Atlas-1 pilot resilience test from A0_transverse_periodic_wide_midk_amp05 via sparse_graph_defects
A1_A0_transverse_periodic_wide_midk_amp05_anisotropic_bias,Atlas-1,A0_transverse_periodic_wide_midk_amp05,anisotropic_bias,1.05,transverse,periodic,303,Ballistic coherent,Ballistic coherent,Chaotic or irregular,Transverse-dominant,Transverse-dominant,Constraint-failing,1,0,1.0378408409616965e-16,0.0028013192997309922,8.036762689291721e-17,7.172629312982e-17,9.205078871863103e-17,0.09102952033850141,1.6928146098439951,0.9742489380492485,0.969380853838808,0.004868084210440493,0.06762189222883097,0.9841847781235877,Atlas-1 pilot resilience test from A0_transverse_periodic_wide_midk_amp05 via anisotropic_bias
A1_A0_transverse_periodic_wide_midk_amp05_kernel_width_jitter,Atlas-1,A0_transverse_periodic_wide_midk_amp05,kernel_width_jitter,0.05,transverse,periodic,404,Ballistic coherent,Ballistic coherent,Chaotic or irregular,Transverse-dominant,Transverse-dominant,Constraint-failing,1,0,8.115341726832108e-17,0.00011059667947916495,8.036762689291721e-17,8.398337078351804e-17,9.205078871863103e-17,0.09676063848275726,1.6916123656940338,0.9693723980696641,0.969380853838808,-8.455769143878022e-06,0.06760804881753299,0.9835910303018426,Atlas-1 pilot resilience test from A0_transverse_periodic_wide_midk_amp05 via kernel_width_jitter
A1_A0_transverse_open_wide_lowk_amp05_edge_weight_noise,Atlas-1,A0_transverse_open_wide_lowk_amp05,edge_weight_noise,0.03,transverse,open,101,Ballistic coherent,Ballistic coherent,Chaotic or irregular,Transverse-dominant,Transverse-dominant,Constraint-failing,1,0,1.2505937596903508e-16,0.006425460916794259,9.461137674160213e-17,1.550173430970102e-16,2.1672933891806193e-16,0.1272003629845779,1.4375196916559312,0.9123580839756943,0.9125263439158239,-0.00016825994012958922,0.06739494533422087,0.9800053173401311,Atlas-1 pilot resilience test from A0_transverse_open_wide_lowk_amp05 via edge_weight_noise
A1_A0_transverse_open_wide_lowk_amp05_sparse_graph_defects,Atlas-1,A0_transverse_open_wide_lowk_amp05,sparse_graph_defects,0.03,transverse,open,202,Ballistic coherent,Ballistic coherent,Chaotic or irregular,Transverse-dominant,Transverse-dominant,Constraint-failing,1,0,8.226139739348295e-17,0.10862031640777929,9.461137674160213e-17,1.7156989131365766e-16,2.1672933891806193e-16,0.1339563688036973,1.4332107536532426,0.9046511743232475,0.9125263439158239,-0.007875169592576392,0.06584306186506073,0.9719520797013155,Atlas-1 pilot resilience test from A0_transverse_open_wide_lowk_amp05 via sparse_graph_defects
A1_A0_transverse_open_wide_lowk_amp05_anisotropic_bias,Atlas-1,A0_transverse_open_wide_lowk_amp05,anisotropic_bias,1.05,transverse,open,303,Ballistic coherent,Ballistic coherent,Chaotic or irregular,Transverse-dominant,Transverse-dominant,Constraint-failing,1,0,8.804611064676182e-17,0.0027702018031629905,9.461137674160213e-17,1.7554260925876614e-16,2.1672933891806193e-16,0.1210747230364981,1.4395733642981055,0.9182506069901408,0.9125263439158239,0.005724263074316949,0.06764398067776783,0.9802283015846422,Atlas-1 pilot resilience test from A0_transverse_open_wide_lowk_amp05 via anisotropic_bias
A1_A0_transverse_open_wide_lowk_amp05_kernel_width_jitter,Atlas-1,A0_transverse_open_wide_lowk_amp05,kernel_width_jitter,0.05,transverse,open,404,Ballistic coherent,Ballistic coherent,Chaotic or irregular,Transverse-dominant,Transverse-dominant,Constraint-failing,1,0,8.566777373456543e-17,0.00011204649913145712,9.461137674160213e-17,1.6871131531536474e-16,2.1672933891806193e-16,0.1269751024754606,1.4377151457612345,0.9125271474352489,0.9125263439158239,8.035194249966793e-07,0.06745785682418334,0.9801547457704474,Atlas-1 pilot resilience test from A0_transverse_open_wide_lowk_amp05 via kernel_width_jitter
A1_A0_scalar_periodic_wide_lowk_amp05_edge_weight_noise,Atlas-1,A0_scalar_periodic_wide_lowk_amp05,edge_weight_noise,0.03,scalar,periodic,101,Ballistic coherent,Ballistic coherent,Ballistic coherent,Scalar-dominant,Scalar-dominant,Scalar-dominant,1,1,0.0,0.0,0.0,0.0,0.0,0.15170817890043867,1.4345300175858968,0.8807627389099879,0.879721809467974,0.0010409294420139492,0.08589141218945621,1.1028212299670377,Atlas-1 pilot resilience test from A0_scalar_periodic_wide_lowk_amp05 via edge_weight_noise
A1_A0_scalar_periodic_wide_lowk_amp05_sparse_graph_defects,Atlas-1,A0_scalar_periodic_wide_lowk_amp05,sparse_graph_defects,0.03,scalar,periodic,202,Ballistic coherent,Ballistic coherent,Ballistic coherent,Scalar-dominant,Scalar-dominant,Scalar-dominant,1,1,0.0,0.0,0.0,0.0,0.0,0.16263783789078137,1.4360972025194425,0.879614570222188,0.879721809467974,-0.00010723924578592836,0.08513240977758227,1.102132796683395,Atlas-1 pilot resilience test from A0_scalar_periodic_wide_lowk_amp05 via sparse_graph_defects
A1_A0_scalar_periodic_wide_lowk_amp05_anisotropic_bias,Atlas-1,A0_scalar_periodic_wide_lowk_amp05,anisotropic_bias,1.05,scalar,periodic,303,Ballistic coherent,Ballistic coherent,Ballistic coherent,Scalar-dominant,Scalar-dominant,Scalar-dominant,1,1,0.0,0.0,0.0,0.0,0.0,0.14534879924725266,1.4331178572181542,0.8826784344018773,0.879721809467974,0.0029566249339033623,0.08632622438723603,1.0999245128370885,Atlas-1 pilot resilience test from A0_scalar_periodic_wide_lowk_amp05 via anisotropic_bias
A1_A0_scalar_periodic_wide_lowk_amp05_kernel_width_jitter,Atlas-1,A0_scalar_periodic_wide_lowk_amp05,kernel_width_jitter,0.05,scalar,periodic,404,Ballistic coherent,Ballistic coherent,Ballistic coherent,Scalar-dominant,Scalar-dominant,Scalar-dominant,1,1,0.0,0.0,0.0,0.0,0.0,0.15165651319041465,1.4342279402125315,0.8796848597740557,0.879721809467974,-3.6949693918209014e-05,0.08589384154755753,1.1029572727768244,Atlas-1 pilot resilience test from A0_scalar_periodic_wide_lowk_amp05 via kernel_width_jitter
A1_A0_scalar_periodic_medium_lowk_amp05_edge_weight_noise,Atlas-1,A0_scalar_periodic_medium_lowk_amp05,edge_weight_noise,0.03,scalar,periodic,101,Ballistic dispersive,Ballistic dispersive,Ballistic dispersive,Scalar-dominant,Scalar-dominant,Scalar-dominant,1,1,0.0,0.0,0.0,0.0,0.0,0.04852899979323343,1.5016243132746212,0.7526819299283269,0.7518985870001085,0.0007833429282184667,0.07330093536595411,1.1644684998578168,Atlas-1 pilot resilience test from A0_scalar_periodic_medium_lowk_amp05 via edge_weight_noise
A1_A0_scalar_periodic_medium_lowk_amp05_sparse_graph_defects,Atlas-1,A0_scalar_periodic_medium_lowk_amp05,sparse_graph_defects,0.03,scalar,periodic,202,Ballistic dispersive,Ballistic dispersive,Ballistic dispersive,Scalar-dominant,Scalar-dominant,Scalar-dominant,1,1,0.0,0.0,0.0,0.0,0.0,0.06404091562657287,1.4998107854840594,0.7456521722772997,0.7518985870001085,-0.006246414722808735,0.07186842186745727,1.162308921319206,Atlas-1 pilot resilience test from A0_scalar_periodic_medium_lowk_amp05 via sparse_graph_defects
A1_A0_scalar_periodic_medium_lowk_amp05_anisotropic_bias,Atlas-1,A0_scalar_periodic_medium_lowk_amp05,anisotropic_bias,1.05,scalar,periodic,303,Ballistic dispersive,Ballistic dispersive,Ballistic dispersive,Scalar-dominant,Scalar-dominant,Scalar-dominant,1,1,0.0,0.0,0.0,0.0,0.0,0.04185168792372695,1.498959672718196,0.755712064016835,0.7518985870001085,0.0038134770167265186,0.07392198146058404,1.1606679838561293,Atlas-1 pilot resilience test from A0_scalar_periodic_medium_lowk_amp05 via anisotropic_bias
A1_A0_scalar_periodic_medium_lowk_amp05_kernel_width_jitter,Atlas-1,A0_scalar_periodic_medium_lowk_amp05,kernel_width_jitter,0.05,scalar,periodic,404,Ballistic dispersive,Ballistic dispersive,Ballistic dispersive,Scalar-dominant,Scalar-dominant,Scalar-dominant,1,1,0.0,0.0,0.0,0.0,0.0,0.048361888107077075,1.5018103177681041,0.7518508717821641,0.7518985870001085,-4.771521794433298e-05,0.07328282837298343,1.1646733122575492,Atlas-1 pilot resilience test from A0_scalar_periodic_medium_lowk_amp05 via kernel_width_jitter
A1_A0_scalar_open_medium_midk_amp05_edge_weight_noise,Atlas-1,A0_scalar_open_medium_midk_amp05,edge_weight_noise,0.03,scalar,open,101,Ballistic dispersive,Ballistic dispersive,Ballistic dispersive,Scalar-dominant,Scalar-dominant,Scalar-dominant,1,1,0.0,0.0,0.0,0.0,0.0,-0.018817283674825606,2.0017691487413316,0.7015607623001078,0.70026294603859,0.0012978162615178146,0.06847292068766604,1.1928340575872785,Atlas-1 pilot resilience test from A0_scalar_open_medium_midk_amp05 via edge_weight_noise
A1_A0_scalar_open_medium_midk_amp05_sparse_graph_defects,Atlas-1,A0_scalar_open_medium_midk_amp05,sparse_graph_defects,0.03,scalar,open,202,Ballistic dispersive,Ballistic dispersive,Ballistic dispersive,Scalar-dominant,Scalar-dominant,Scalar-dominant,1,1,0.0,0.0,0.0,0.0,0.0,0.025144605766125875,2.0377581193162033,0.7061514000041729,0.70026294603859,0.005888453965582907,0.06427276342772538,1.179930667677055,Atlas-1 pilot resilience test from A0_scalar_open_medium_midk_amp05 via sparse_graph_defects
A1_A0_scalar_open_medium_midk_amp05_anisotropic_bias,Atlas-1,A0_scalar_open_medium_midk_amp05,anisotropic_bias,1.05,scalar,open,303,Ballistic dispersive,Ballistic dispersive,Ballistic dispersive,Scalar-dominant,Scalar-dominant,Scalar-dominant,1,1,0.0,0.0,0.0,0.0,0.0,-0.027251906484698222,1.9924878297559512,0.7051888008058734,0.70026294603859,0.004925854767283466,0.06954959137643851,1.1897327723658484,Atlas-1 pilot resilience test from A0_scalar_open_medium_midk_amp05 via anisotropic_bias
A1_A0_scalar_open_medium_midk_amp05_kernel_width_jitter,Atlas-1,A0_scalar_open_medium_midk_amp05,kernel_width_jitter,0.05,scalar,open,404,Ballistic dispersive,Ballistic dispersive,Ballistic dispersive,Scalar-dominant,Scalar-dominant,Scalar-dominant,1,1,0.0,0.0,0.0,0.0,0.0,-0.02005132121760556,2.000191826073087,0.700233584489658,0.70026294603859,-2.9361548931960968e-05,0.06868573803631171,1.1937086627080533,Atlas-1 pilot resilience test from A0_scalar_open_medium_midk_amp05 via kernel_width_jitter
A1_A0_transverse_open_wide_highk_amp05_edge_weight_noise,Atlas-1,A0_transverse_open_wide_highk_amp05,edge_weight_noise,0.03,transverse,open,101,Ballistic dispersive,Ballistic dispersive,Chaotic or irregular,Transverse-dominant,Transverse-dominant,Constraint-failing,1,0,8.800384432321616e-17,0.005590208011565474,1.1224456549061128e-16,1.2538899391667192e-16,1.7058133323461127e-16,-0.11944181799382914,2.0954397446882758,0.5944416633156085,0.5926741982872317,0.00176746502837688,0.06363298587286223,1.1504927174830781,Atlas-1 pilot resilience test from A0_transverse_open_wide_highk_amp05 via edge_weight_noise
A1_A0_transverse_open_wide_highk_amp05_sparse_graph_defects,Atlas-1,A0_transverse_open_wide_highk_amp05,sparse_graph_defects,0.03,transverse,open,202,Ballistic dispersive,Ballistic dispersive,Chaotic or irregular,Transverse-dominant,Transverse-dominant,Constraint-failing,1,0,6.47081134520888e-17,0.09529818632698513,1.1224456549061128e-16,1.385307498901801e-16,1.7058133323461127e-16,-0.09032485220695674,2.101075930422831,0.6070991056013534,0.5926741982872317,0.014424907314121715,0.05919419863103793,1.123583709440849,Atlas-1 pilot resilience test from A0_transverse_open_wide_highk_amp05 via sparse_graph_defects
A1_A0_transverse_open_wide_highk_amp05_anisotropic_bias,Atlas-1,A0_transverse_open_wide_highk_amp05,anisotropic_bias,1.05,transverse,open,303,Ballistic dispersive,Ballistic dispersive,Chaotic or irregular,Transverse-dominant,Transverse-dominant,Constraint-failing,1,0,7.64216486553373e-17,0.0032215213903987873,1.1224456549061128e-16,1.8829516251096766e-16,1.7058133323461127e-16,-0.12390421146723563,2.098897812289903,0.5984382934623893,0.5926741982872317,0.005764095175157635,0.06382329165689582,1.1499138715925221,Atlas-1 pilot resilience test from A0_transverse_open_wide_highk_amp05 via anisotropic_bias
A1_A0_transverse_open_wide_highk_amp05_kernel_width_jitter,Atlas-1,A0_transverse_open_wide_highk_amp05,kernel_width_jitter,0.05,transverse,open,404,Ballistic dispersive,Ballistic dispersive,Ballistic dispersive,Transverse-dominant,Transverse-dominant,Constraint-failing,1,1,8.246486427449306e-17,9.929566092333516e-05,1.1224456549061128e-16,1.7773766765213048e-16,1.7058133323461127e-16,-0.12013939443461807,2.0956801861260033,0.5926630210228935,0.5926741982872317,-1.1177264338191328e-05,0.06368220363186883,1.1514190516473528,Atlas-1 pilot resilience test from A0_transverse_open_wide_highk_amp05 via kernel_width_jitter
A1_A0_scalar_periodic_medium_highk_amp05_edge_weight_noise,Atlas-1,A0_scalar_periodic_medium_highk_amp05,edge_weight_noise,0.03,scalar,periodic,101,Diffusive,Diffusive,Diffusive,Scalar-dominant,Scalar-dominant,Scalar-dominant,1,1,0.0,0.0,0.0,0.0,0.0,-0.12319197477791322,2.317815552171001,0.7526932186144376,0.7547960878771556,-0.0021028692627179657,0.04969557384368817,1.280526608830032,Atlas-1 pilot resilience test from A0_scalar_periodic_medium_highk_amp05 via edge_weight_noise
A1_A0_scalar_periodic_medium_highk_amp05_sparse_graph_defects,Atlas-1,A0_scalar_periodic_medium_highk_amp05,sparse_graph_defects,0.03,scalar,periodic,202,Diffusive,Diffusive,Diffusive,Scalar-dominant,Scalar-dominant,Scalar-dominant,1,1,0.0,0.0,0.0,0.0,0.0,-0.09870883631330696,2.3280730021475162,0.7304017238811983,0.7547960878771556,-0.02439436399595729,0.04783602471907974,1.2728697416815995,Atlas-1 pilot resilience test from A0_scalar_periodic_medium_highk_amp05 via sparse_graph_defects
A1_A0_scalar_periodic_medium_highk_amp05_anisotropic_bias,Atlas-1,A0_scalar_periodic_medium_highk_amp05,anisotropic_bias,1.05,scalar,periodic,303,Diffusive,Ballistic dispersive,Ballistic dispersive,Scalar-dominant,Scalar-dominant,Scalar-dominant,0,0,0.0,0.0,0.0,0.0,0.0,-0.13228694257514284,2.3109039294734153,0.7571100835009469,0.7547960878771556,0.0023139956237913095,0.050140947671027725,1.2794442163178623,Atlas-1 pilot resilience test from A0_scalar_periodic_medium_highk_amp05 via anisotropic_bias
A1_A0_scalar_periodic_medium_highk_amp05_kernel_width_jitter,Atlas-1,A0_scalar_periodic_medium_highk_amp05,kernel_width_jitter,0.05,scalar,periodic,404,Diffusive,Diffusive,Diffusive,Scalar-dominant,Scalar-dominant,Scalar-dominant,1,1,0.0,0.0,0.0,0.0,0.0,-0.12284874140319291,2.3172269238674668,0.7547440013608332,0.7547960878771556,-5.208651632238048e-05,0.04966197746104387,1.280152827432952,Atlas-1 pilot resilience test from A0_scalar_periodic_medium_highk_amp05 via kernel_width_jitter
