run_id,case_id,stage,source_layer,baseline_run_id,resolution_n,perturbation_mode,perturbation_pair,operator_sector,boundary_type,baseline_regime,regime_label,sector_label,reproducible_under_refinement,resolution_persistence_score,transition_type_vs_base,constraint_max,constraint_max_aux,sector_leakage,norm_drift,anisotropy_score,coherence_score,center_shift,width_ratio,notes
S11_B0_A0_transverse_periodic_wide_midk_amp05_n16,S11_B0_A0_transverse_periodic_wide_midk_amp05,Stage 11,Atlas-0,A0_transverse_periodic_wide_midk_amp05,16,none,,transverse,periodic,Ballistic coherent,Ballistic coherent,Transverse-dominant,1,1,stable,8.036762689291721e-17,8.036762689291721e-17,9.205078871863103e-17,0.0016921910560817586,1.6916132679928229,0.969380853838808,0.06760705921294519,0.9835875192395414,baseline periodic transverse coherent representative
S11_B0_A0_transverse_periodic_wide_midk_amp05_n24,S11_B0_A0_transverse_periodic_wide_midk_amp05,Stage 11,Atlas-0,A0_transverse_periodic_wide_midk_amp05,24,none,,transverse,periodic,Ballistic coherent,Ballistic coherent,Transverse-dominant,1,1,stable,1.104611412395546e-16,1.104611412395546e-16,5.965344130093956e-16,0.001127837308578809,1.6958776830089624,1.1292305043296051,0.05943994009710796,0.9282107917498923,baseline periodic transverse coherent representative
S11_B0_A0_scalar_periodic_wide_lowk_amp05_n16,S11_B0_A0_scalar_periodic_wide_lowk_amp05,Stage 11,Atlas-0,A0_scalar_periodic_wide_lowk_amp05,16,none,,scalar,periodic,Ballistic coherent,Ballistic coherent,Scalar-dominant,1,1,stable,0.0,0.0,0.0,0.0013224238800127867,1.434220988009869,0.879721809467974,0.08589304673389342,1.102947758680942,baseline scalar coherent representative
S11_B0_A0_scalar_periodic_wide_lowk_amp05_n24,S11_B0_A0_scalar_periodic_wide_lowk_amp05,Stage 11,Atlas-0,A0_scalar_periodic_wide_lowk_amp05,24,none,,scalar,periodic,Ballistic coherent,Ballistic coherent,Scalar-dominant,1,1,stable,0.0,0.0,0.0,0.0007412570970357783,1.3682696042129805,1.0365820074500987,0.07876988603434087,1.0434843413292136,baseline scalar coherent representative
S11_B0_A0_scalar_periodic_medium_lowk_amp05_n16,S11_B0_A0_scalar_periodic_medium_lowk_amp05,Stage 11,Atlas-0,A0_scalar_periodic_medium_lowk_amp05,16,none,,scalar,periodic,Ballistic dispersive,Ballistic dispersive,Scalar-dominant,0,0,stable,0.0,0.0,0.0,0.0008344753652815793,1.5017971211550545,0.7518985870001085,0.07328220931905438,1.1646528246796652,baseline scalar dispersive representative
S11_B0_A0_scalar_periodic_medium_lowk_amp05_n24,S11_B0_A0_scalar_periodic_medium_lowk_amp05,Stage 11,Atlas-0,A0_scalar_periodic_medium_lowk_amp05,24,none,,scalar,periodic,Ballistic dispersive,Ballistic coherent,Scalar-dominant,0,0,regime_shift,0.0,0.0,0.0,0.0011430557340956825,1.3981810083501525,0.9615597689092357,0.06502041159806482,1.0699679510905136,baseline scalar dispersive representative
S11_B0_A0_transverse_open_wide_highk_amp05_n16,S11_B0_A0_transverse_open_wide_highk_amp05,Stage 11,Atlas-0,A0_transverse_open_wide_highk_amp05,16,none,,transverse,open,Ballistic dispersive,Ballistic dispersive,Transverse-dominant,0,0,stable,1.1224456549061128e-16,1.1224456549061128e-16,1.7058133323461127e-16,0.0015332629138760261,2.09568819727561,0.5926741982872317,0.06368075664074352,1.1514206435758483,baseline transverse dispersive representative
S11_B0_A0_transverse_open_wide_highk_amp05_n24,S11_B0_A0_transverse_open_wide_highk_amp05,Stage 11,Atlas-0,A0_transverse_open_wide_highk_amp05,24,none,,transverse,open,Ballistic dispersive,Ballistic coherent,Transverse-dominant,0,0,regime_shift,1.0208351098204607e-16,1.0208351098204607e-16,2.664371710873086e-16,0.002653368060068731,2.0644785754373283,0.9152432900437155,0.06152384418340401,1.0193066949140925,baseline transverse dispersive representative
S11_B0_A0_scalar_periodic_medium_highk_amp05_n16,S11_B0_A0_scalar_periodic_medium_highk_amp05,Stage 11,Atlas-0,A0_scalar_periodic_medium_highk_amp05,16,none,,scalar,periodic,Diffusive,Diffusive,Scalar-dominant,0,0,stable,0.0,0.0,0.0,0.0012607931174580026,2.3172165226330153,0.7547960878771556,0.04966148468984799,1.280130483241594,baseline scalar diffusive soft-edge representative
S11_B0_A0_scalar_periodic_medium_highk_amp05_n24,S11_B0_A0_scalar_periodic_medium_highk_amp05,Stage 11,Atlas-0,A0_scalar_periodic_medium_highk_amp05,24,none,,scalar,periodic,Diffusive,Ballistic dispersive,Scalar-dominant,0,0,regime_shift,0.0,0.0,0.0,0.0029545734439478956,2.311710208136941,0.9538102161094104,0.044975916191959175,1.1349074811362614,baseline scalar diffusive soft-edge representative
