case_id,axis_set,low_resolution,high_resolution,interaction_label_low,interaction_label_high,coarse_label_low,coarse_label_high,transition_type,output_label,recoverability_flag,composite_lifetime_scaling,overlap_scaling,centroid_drift_scaling,dominant_basin_area_scaling,coarse_persistence_scaling,constraint_norm_scaling,notes
tight_clustered_pair,A,8,16,transient binding regime,metastable composite regime,diffuse coarse field regime,basin-dominated regime,class flip under refinement,resolution-dependent morphology,more stable with refinement,0.9883553183491997,0.8628209816067297,0.7563179673776841,0.27587890625,1.0,0.005385209693415433,Stage 11 metastable composite and Stage 12 basin-dominated representative
tight_clustered_pair,B,8,16,transient binding regime,transient binding regime,diffuse coarse field regime,basin-dominated regime,coarse-only drift,resolution-dependent morphology,more stable with refinement,0.32945177278306653,0.59694850801313,0.5666263523603214,0.17610677083333334,1.0,0.0027618146099194136,Stage 11 metastable composite and Stage 12 basin-dominated representative
tight_clustered_pair,C,8,16,transient binding regime,metastable composite regime,diffuse coarse field regime,basin-dominated regime,class flip under refinement,resolution-dependent morphology,more stable with refinement,0.9883553183491997,1.3358492238866613,0.6589728394740304,0.24015299479166666,1.0,0.006049804771390756,Stage 11 metastable composite and Stage 12 basin-dominated representative
asymmetric_density_cluster,A,8,16,metastable composite regime,metastable composite regime,diffuse coarse field regime,basin-dominated regime,coarse-only drift,scale-fragile composite,more stable with refinement,0.9883553183491997,0.9621210192357665,0.9094436051952732,0.21012369791666666,1.0,0.004169344677831717,compact but asymmetric Stage 12 basin-dominated representative
asymmetric_density_cluster,B,8,16,metastable composite regime,transient binding regime,diffuse coarse field regime,basin-dominated regime,softening under refinement,scale-fragile composite,more stable with refinement,0.9883553183491997,0.6297336616855688,0.7579848668799545,0.13997395833333334,1.0,0.0028435226769164914,compact but asymmetric Stage 12 basin-dominated representative
asymmetric_density_cluster,C,8,16,metastable composite regime,metastable composite regime,diffuse coarse field regime,basin-dominated regime,coarse-only drift,scale-fragile composite,more stable with refinement,0.9883553183491997,1.263947331673623,0.8409905284138595,0.22086588541666666,1.0,0.0043266907399310195,compact but asymmetric Stage 12 basin-dominated representative
three_packet_chain,A,8,16,transient binding regime,transient binding regime,diffuse coarse field regime,multi-basin fluctuating regime,coarse-only drift,resolution-dependent morphology,more stable with refinement,0.0,0.6719754792947595,0.7285737194196857,0.369384765625,1.0,0.003805167230983069,Stage 12 multi-basin fluctuating representative
three_packet_chain,B,8,16,transient binding regime,dispersive independent regime,diffuse coarse field regime,basin-dominated regime,softening under refinement,resolution-dependent morphology,more stable with refinement,0.0,0.30957600715738814,0.20902464868699927,0.2989908854166667,1.0,0.0019567513224341276,Stage 12 multi-basin fluctuating representative
three_packet_chain,C,8,16,transient binding regime,metastable composite regime,diffuse coarse field regime,basin-dominated regime,class flip under refinement,resolution-dependent morphology,more stable with refinement,2.9650659550475993,1.306978224210497,0.45472355789260516,0.237548828125,1.0,0.005635777381066151,Stage 12 multi-basin fluctuating representative
counter_propagating_corridor,A,8,16,metastable composite regime,transient binding regime,diffuse coarse field regime,basin-dominated regime,softening under refinement,scale-fragile composite,more stable with refinement,0.4941776591745998,0.5546473785374882,0.0,0.3324381510416667,1.0,0.004963794292527594,Stage 12 diffuse corridor representative
counter_propagating_corridor,B,8,16,metastable composite regime,transient binding regime,diffuse coarse field regime,basin-dominated regime,softening under refinement,scale-fragile composite,more stable with refinement,0.0,0.3041068872870189,0.0,0.1982421875,1.0,0.002965432935308825,Stage 12 diffuse corridor representative
counter_propagating_corridor,C,8,16,metastable composite regime,metastable composite regime,diffuse coarse field regime,basin-dominated regime,coarse-only drift,scale-fragile composite,more stable with refinement,1.4825329775237996,1.3507531719060406,0.0,0.244384765625,1.0,0.005315881650385872,Stage 12 diffuse corridor representative
