run_id,representative_id,registration_class,condition_id,eps,resolution,interaction_label,coarse_label,composite_lifetime,binding_persistence_score,coarse_persistence_sigma4,mean_registration_strength,max_registration_strength,registration_duty_cycle,effective_interaction_energy_fraction,encounter_dwell_mean,motif_survival_time,corridor_dwell_time,transport_channel_locking,local_transport_anisotropy_index,trajectory_curvature_proxy,energy_dispersion_shift,new_ordering_class,composite_lifetime_delta,binding_persistence_delta,coarse_persistence_delta,corridor_dwell_delta,gate_met,promoted_followup,output_label,constraint_max,sector_leakage,notes
S21_phase_clustered_null,clustered_composite_anchor,phase_coherence,null,0.0,12,metastable composite regime,diffuse coarse field regime,1.4763647843825571,1.0,1.0,0.18250301192391852,0.556307294916796,0.0,0.0,0.0,0.0,0.0,0,1.6089034202692236,0.0,0.0003745039795758747,0,0.0,0.0,0.0,0.0,0,0,no registration effect,1.4478819106361465e-15,2.3961542895424422e-15,strongest composite anchor and main candidate for any registration-assisted persistence gain
S21_phase_clustered_vweak,clustered_composite_anchor,phase_coherence,very_weak,0.01,12,metastable composite regime,diffuse coarse field regime,1.4763647843825571,1.0,1.0,0.18268786637890067,0.5575491963387467,0.0,0.0016597378586253977,0.0,0.0,0.0,0,1.6089034202692236,0.0,0.0003745039795758747,0,0.0,0.0,0.0,0.0,0,0,no registration effect,1.4478819106361465e-15,2.3961542895424422e-15,strongest composite anchor and main candidate for any registration-assisted persistence gain
S21_phase_clustered_weak,clustered_composite_anchor,phase_coherence,weak,0.02,12,metastable composite regime,diffuse coarse field regime,1.4763647843825571,1.0,1.0,0.18286961888392683,0.5587703965760163,0.0,0.0033192104293182935,0.0,0.0,0.0,0,1.608903420269223,0.0,0.0003745039795758747,0,0.0,0.0,0.0,0.0,0,0,no registration effect,1.4478819106361465e-15,2.3961542895424422e-15,strongest composite anchor and main candidate for any registration-assisted persistence gain
S21_phase_triad_null,phase_ordered_symmetric_triad,phase_coherence,null,0.0,12,transient binding regime,diffuse coarse field regime,0.0,0.0,1.0,0.012378848142606489,0.016992150486754298,0.0,0.0,0.0,0.0,0.0,0,4.4413044871670655,0.0,0.0020191795740332943,0,0.0,0.0,0.0,0.0,0,0,no registration effect,2.0228247686178265e-15,5.5236216373583976e-15,structured ordering candidate and likely phase-registration test
S21_phase_triad_vweak,phase_ordered_symmetric_triad,phase_coherence,very_weak,0.01,12,transient binding regime,diffuse coarse field regime,0.0,0.0,1.0,0.012379583004414265,0.016992150486754298,0.0,0.00014194834306548474,0.0,0.0,0.0,0,4.441304487167062,0.0,0.0020191795740332943,0,0.0,0.0,0.0,0.0,0,0,no registration effect,2.0228247686178265e-15,5.5236216373583976e-15,structured ordering candidate and likely phase-registration test
S21_phase_triad_weak,phase_ordered_symmetric_triad,phase_coherence,weak,0.02,12,transient binding regime,diffuse coarse field regime,0.0,0.0,1.0,0.012380317656376956,0.016992150486754298,0.0,0.00028389688941608126,0.0,0.0,0.0,0,4.441304487167071,0.0,0.0020191795740332943,0,0.0,0.0,0.0,0.0,0,0,no registration effect,2.0228247686178265e-15,5.5236216373583976e-15,structured ordering candidate and likely phase-registration test
S21_phase_corridor_null,counter_propagating_corridor,phase_coherence,null,0.0,12,transient binding regime,diffuse coarse field regime,0.9842431895883714,0.6666666666666666,1.0,0.06477152541277616,0.09386665069872209,0.0,0.0,0.0,0.0,0.0,0,1.566616752903214,0.0,-0.0002622808026620849,0,0.0,0.0,0.0,0.0,0,0,no registration effect,1.7985134491710688e-15,4.042603345939908e-15,transport-style control and corridor-locking test
S21_phase_corridor_vweak,counter_propagating_corridor,phase_coherence,very_weak,0.01,12,transient binding regime,diffuse coarse field regime,0.9842431895883714,0.6666666666666666,1.0,0.06473971094376164,0.0937798354715585,0.0,0.0003946170884613514,0.0,0.0,0.0,0,1.566616752903214,0.0,-0.0002622808026620849,0,0.0,0.0,0.0,0.0,0,0,no registration effect,1.7985134491710688e-15,4.042603345939908e-15,transport-style control and corridor-locking test
S21_phase_corridor_weak,counter_propagating_corridor,phase_coherence,weak,0.02,12,transient binding regime,diffuse coarse field regime,0.9842431895883714,0.6666666666666666,1.0,0.06470790397559505,0.09369307692912036,0.0,0.0007887749192255169,0.0,0.0,0.0,0,1.566616752903214,0.0,-0.0002622808026620849,0,0.0,0.0,0.0,0.0,0,0,no registration effect,1.7985134491710688e-15,4.042603345939908e-15,transport-style control and corridor-locking test
S21_spatial_clustered_null,clustered_composite_anchor,spatial_configuration,null,0.0,12,large-scale drift field regime,diffuse coarse field regime,1.4763647843825571,1.0,1.0,0.5513749217565044,0.6971334358145445,1.0,0.0,1.4763647843825571,1.4763647843825571,1.0,0,1.6089034202692236,0.0,0.0003745039795758747,0,0.0,0.0,0.0,0.0,0,0,no registration effect,1.4478819106361465e-15,2.3961542895424422e-15,strongest composite anchor and main candidate for any registration-assisted persistence gain
S21_spatial_clustered_vweak,clustered_composite_anchor,spatial_configuration,very_weak,0.01,12,large-scale drift field regime,diffuse coarse field regime,1.4763647843825571,1.0,1.0,0.5515942803784553,0.6971334358145445,1.0,0.0067297455685611345,1.4763647843825571,1.4763647843825571,1.0,0,1.6089034202692234,0.0,0.0003745039795756885,0,0.0,0.0,0.0,0.0,0,0,no registration effect,1.4478819106361465e-15,2.3961542895424422e-15,strongest composite anchor and main candidate for any registration-assisted persistence gain
