run_id,geometry_id,phase_id,resolution,graph_type,packet_count,collision_label,persistence_label,composite_lifetime,binding_persistence,corridor_dwell,coarse_basin_persistence,minimum_separation,final_mean_separation,post_collision_separation_trend,encounter_dwell_time,deflection_angle_proxy,reflection_fraction,grade_transfer_amplitude,omega0_weight_initial,omega1_weight_initial,omega2_weight_initial,omega0_weight_final,omega1_weight_final,omega2_weight_final,localized_circulation_proxy,new_collision_class,gate_met,promoted_followup,notes
S23_1_clustered_in_phase,tight_clustered_pair,in_phase,12,regular_lattice,2,metastable composite,candidate bounded collision regime,0.7517193677535772,1.0,0.0,1.0,0.07999329067017015,0.07999329067017015,0.0,0.7517193677535772,1.3957631006436357,0.5,0.13029498979418913,0.3333939095151982,0.6666060904848018,0.0,0.3332473143907768,0.574547004678644,0.09220568093057938,4.863409855111575e-15,1,1,1,initially close pair for metastable composite or grade-beating behavior
S23_1_clustered_out_of_phase,tight_clustered_pair,out_of_phase,12,regular_lattice,2,oscillatory grade-trapped,candidate bounded collision regime,0.7517193677535772,1.0,0.0,0.8333333333333334,0.07999329067017015,0.07999329067017015,0.0,0.7517193677535772,1.3957631006436357,0.5,0.23032142391559055,0.3329158941950537,0.6670841058049463,0.0,0.3339244598828644,0.5037203244548358,0.1623552156622997,4.863409855111575e-15,1,1,1,initially close pair for metastable composite or grade-beating behavior
S23_1_corridor_in_phase,counter_propagating_corridor_pair,in_phase,12,regular_lattice,2,deflective / glancing,no persistence gain,0.0,0.0,0.7517193677535772,1.0,0.30004902610493955,0.3000506813588902,1.6552539506275998e-06,0.0,1.6743695986275773,0.5,0.14776211252063692,0.33340991636165723,0.6665900836383427,0.0,0.3332224669118291,0.5622003427081184,0.10457719038005263,7.147024650475182e-13,1,0,0,corridor-like head-on geometry matching the late atlas control
S23_1_corridor_out_of_phase,counter_propagating_corridor_pair,out_of_phase,12,regular_lattice,2,deflective / glancing,no persistence gain,0.0,0.0,0.7517193677535772,0.8333333333333334,0.30004902610493955,0.3000506813588902,1.6552539506275998e-06,0.0,1.6743695986275773,0.5,0.17828903695844878,0.33338668893004714,0.6666133110699529,0.0,0.3332804532386139,0.5405970754420003,0.12612247131938584,7.147024650475182e-13,1,0,0,corridor-like head-on geometry matching the late atlas control
S23_1_glancing_in_phase,offset_glancing_collision,in_phase,12,regular_lattice,2,deflective / glancing,no persistence gain,0.0,0.0,0.0,0.8333333333333334,0.407887187912506,0.407887187912506,0.0,0.0,1.3377128384944192,0.5,0.1607857382668321,0.3332443442742844,0.6667556557257157,0.0,0.3327227110077947,0.5533246840052866,0.1139526049869187,3.021094678639489e-13,1,0,0,small transverse offset for deflection and grade-transfer testing
S23_1_glancing_out_of_phase,offset_glancing_collision,out_of_phase,12,regular_lattice,2,deflective / glancing,no persistence gain,0.0,0.0,0.0,1.0,0.407887187912506,0.407887187912506,0.0,0.0,1.3377128384944192,0.5,0.16472372051185116,0.33324280715822713,0.6667571928417728,0.0,0.3341716829323242,0.5498182730199227,0.1160100440477533,3.021094678639489e-13,1,0,0,small transverse offset for deflection and grade-transfer testing
S23_1_head_on_in_phase,head_on_symmetric_pair,in_phase,12,regular_lattice,2,deflective / glancing,no persistence gain,0.0,0.0,0.0,1.0,0.39996867074534204,0.39996867074534204,0.0,0.0,1.4672008927739628,0.5,0.1596988739746443,0.3333436695178377,0.6666563304821623,0.0,0.33331827887835885,0.5537448712074517,0.11293684991418931,2.731128558552134e-13,1,0,0,two identical packets launched directly toward each other
S23_1_head_on_out_of_phase,head_on_symmetric_pair,out_of_phase,12,regular_lattice,2,deflective / glancing,no persistence gain,0.0,0.0,0.0,1.0,0.39996867074534204,0.39996867074534204,0.0,0.0,1.46720089279139,0.5,0.16570635341033674,0.3333419941432236,0.6666580058567765,0.0,0.3333217744686667,0.549496030820356,0.1171821947109772,2.7311285580018764e-13,1,0,0,two identical packets launched directly toward each other
S23_1_triad_in_phase,symmetric_triad_collision,in_phase,12,regular_lattice,3,deflective / glancing,no persistence gain,0.0,0.0,0.0,0.8333333333333334,0.33942821446531923,0.3863021857245242,0.04687397125920495,0.0,1.445790855509464,0.3333333333333333,0.13242991645749,0.33341558371377733,0.6665844162862226,0.0,0.2915806495847755,0.6011524762810427,0.10726687413418183,3.787724452702576e-13,1,0,0,three-packet symmetric encounter for collective grade oscillation or central trapping
S23_1_triad_out_of_phase,symmetric_triad_collision,out_of_phase,12,regular_lattice,3,deflective / glancing,no persistence gain,0.0,0.0,0.0,1.0,0.33942821446531923,0.3863021857245242,0.04687397125920495,0.0,1.445790855509464,0.3333333333333333,0.13265373487833623,0.33341946734254607,0.666580532657454,0.0,0.30067876111481995,0.5935386869091469,0.10578255197603322,3.787724452702576e-13,1,0,0,three-packet symmetric encounter for collective grade oscillation or central trapping
