run_id,geometry_id,phase_id,resolution,graph_type,packet_count,initial_peak_count,collision_label,persistence_label,composite_lifetime,binding_persistence,corridor_dwell,coarse_basin_persistence,minimum_separation,final_mean_separation,post_collision_separation_trend,encounter_dwell_time,deflection_angle_proxy,reflection_fraction,grade_transfer_amplitude,omega0_weight_initial,omega1_weight_initial,omega2_weight_initial,omega0_weight_final,omega1_weight_final,omega2_weight_final,localized_circulation_proxy,new_collision_class,gate_met,promoted_followup,notes
S23_1_scalar_clustered_in_phase,tight_clustered_pair,in_phase,12,regular_lattice,2,1,metastable composite,candidate bounded collision regime,0.6058332236882213,1.0,0.0,1.0,0.08333333333333331,0.08333333333333331,0.0,0.6058332236882213,0.392699081698724,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,initially close pair for matched clustered control
S23_1_scalar_clustered_out_of_phase,tight_clustered_pair,out_of_phase,12,regular_lattice,2,2,pass-through dispersive,no persistence gain,0.0,0.0,0.0,1.0,0.16666666666666674,0.16666666666666674,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,initially close pair for matched clustered control
S23_1_scalar_corridor_in_phase,counter_propagating_corridor_pair,in_phase,12,regular_lattice,2,2,pass-through dispersive,no persistence gain,0.0,0.0,0.6058332236882213,1.0,0.16666666666666674,0.16666666666666674,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,corridor-like head-on geometry matching the DK control
S23_1_scalar_corridor_out_of_phase,counter_propagating_corridor_pair,out_of_phase,12,regular_lattice,2,2,pass-through dispersive,no persistence gain,0.0,0.0,0.6058332236882213,1.0,0.16666666666666674,0.16666666666666674,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,corridor-like head-on geometry matching the DK control
S23_1_scalar_glancing_in_phase,offset_glancing_collision,in_phase,12,regular_lattice,2,2,pass-through dispersive,no persistence gain,0.0,0.0,0.0,1.0,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,small transverse offset for deflection testing
S23_1_scalar_glancing_out_of_phase,offset_glancing_collision,out_of_phase,12,regular_lattice,2,2,pass-through dispersive,no persistence gain,0.0,0.0,0.0,1.0,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,small transverse offset for deflection testing
S23_1_scalar_head_on_in_phase,head_on_symmetric_pair,in_phase,12,regular_lattice,2,2,pass-through dispersive,no persistence gain,0.0,0.0,0.0,0.7476635514018691,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,two identical packets launched directly toward each other
S23_1_scalar_head_on_out_of_phase,head_on_symmetric_pair,out_of_phase,12,regular_lattice,2,2,pass-through dispersive,no persistence gain,0.0,0.0,0.0,0.822429906542056,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,two identical packets launched directly toward each other
S23_1_scalar_triad_in_phase,symmetric_triad_collision,in_phase,12,regular_lattice,3,3,pass-through dispersive,no persistence gain,0.0,0.0,0.0,0.29906542056074764,0.23570226039551587,0.2682459513747884,0.03254369097927254,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,three-packet symmetric encounter for matched control
S23_1_scalar_triad_out_of_phase,symmetric_triad_collision,out_of_phase,12,regular_lattice,3,3,pass-through dispersive,no persistence gain,0.0,0.0,0.0,1.0,0.23570226039551587,0.2682459513747884,0.03254369097927254,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,three-packet symmetric encounter for matched control
