run_id,geometry_id,phase_id,resolution,graph_type,packet_count,initial_peak_count,collision_label,persistence_label,composite_lifetime,binding_persistence,corridor_dwell,coarse_basin_persistence,minimum_separation,final_mean_separation,post_collision_separation_trend,encounter_dwell_time,deflection_angle_proxy,reflection_fraction,grade_transfer_amplitude,omega0_weight_initial,omega1_weight_initial,omega2_weight_initial,omega0_weight_final,omega1_weight_final,omega2_weight_final,localized_circulation_proxy,new_collision_class,gate_met,promoted_followup,notes,grade_transfer_onset_time,grade_transfer_duty_cycle,omega1_peak_weight,omega2_peak_weight,grade_exchange_signature,texture_stable_under_refinement
S23_2_clustered_in_phase_n12,tight_clustered_pair,in_phase,12,regular_lattice,2,1,unresolved / mixed,weak persistence gain,0.7517193677535772,1.0,0.0,1.0,0.08333333333333326,0.08333333333333326,0.0,0.7517193677535772,0.0,0.0,0.13029498979418913,0.3333939095151982,0.6666060904848018,0.0,0.3332473143907768,0.574547004678644,0.09220568093057938,0.0,0,0,0,initially close pair for clustered texture testing,0.3758596838767886,0.5,0.6666060904848018,0.09220568093057938,clustered_mixed_encounter,1
S23_2_clustered_in_phase_n24,tight_clustered_pair,in_phase,24,regular_lattice,2,1,unresolved / mixed,weak persistence gain,0.7488559004847444,1.0,0.0,1.0,0.04166666666666674,0.04166666666666674,0.0,0.7488559004847444,0.0,0.0,0.041397300375089076,0.3333333333333335,0.6666666666666665,0.0,0.3333333333333301,0.6373943548486263,0.029272311818043538,0.0,0,0,0,initially close pair for clustered texture testing,0.4992372669898296,0.3333333333333333,0.6666666666666665,0.029272311818043538,clustered_mixed_encounter,1
S23_2_clustered_out_of_phase_n12,tight_clustered_pair,out_of_phase,12,regular_lattice,2,2,pass-through with grade exchange,weak persistence gain,0.12528656129226287,0.16666666666666666,0.0,0.8333333333333334,0.08333333333333326,0.08333333333333326,0.0,0.12528656129226287,0.0,0.0,0.23032142391559055,0.3329158941950537,0.6670841058049463,0.0,0.3339244598828644,0.5037203244548358,0.1623552156622997,0.0,1,0,0,initially close pair for clustered texture testing,0.3758596838767886,0.5,0.6670841058049463,0.1623552156622997,strong_pass_through_exchange,0
S23_2_clustered_out_of_phase_n24,tight_clustered_pair,out_of_phase,24,regular_lattice,2,2,pass-through dispersive,no persistence gain,0.0,0.0,0.0,1.0,0.16666666666666663,0.16666666666666663,0.0,0.0,0.0,0.0,0.0818630890775758,0.33333333333333304,0.6666666666666671,0.0,0.3333333333333512,0.6087807212510257,0.05788594541562309,0.0,0,0,0,initially close pair for clustered texture testing,0.3744279502423722,0.5,0.6666666666666671,0.05788594541562309,dispersive_exchange_tail,0
S23_2_corridor_in_phase_n12,counter_propagating_corridor_pair,in_phase,12,regular_lattice,2,2,pass-through with grade exchange,no persistence gain,0.0,0.0,0.7517193677535772,1.0,0.25,0.25,0.0,0.0,0.0,0.0,0.14776211252063692,0.33340991636165723,0.6665900836383427,0.0,0.3332224669118291,0.5622003427081184,0.10457719038005263,0.0,1,0,0,corridor-like head-on geometry,0.3758596838767886,0.5,0.6665900836383427,0.10457719038005263,weak_pass_through_exchange,0
S23_2_corridor_in_phase_n24,counter_propagating_corridor_pair,in_phase,24,regular_lattice,2,2,pass-through dispersive,no persistence gain,0.0,0.0,0.7488559004847444,1.0,0.29166666666666674,0.29166666666666674,0.0,0.0,0.0,0.0,0.050858760124207356,0.33333333333319115,0.6666666666668087,0.0,0.33333333332973375,0.6307040925019705,0.03596257416829572,0.0,0,0,0,corridor-like head-on geometry,0.4992372669898296,0.3333333333333333,0.6666666666668087,0.03596257416829572,texture_null,0
S23_2_corridor_out_of_phase_n12,counter_propagating_corridor_pair,out_of_phase,12,regular_lattice,2,2,pass-through with grade exchange,no persistence gain,0.0,0.0,0.7517193677535772,0.8333333333333334,0.25,0.25,0.0,0.0,0.0,0.0,0.17828903695844878,0.33338668893004714,0.6666133110699529,0.0,0.3332804532386139,0.5405970754420003,0.12612247131938584,0.0,1,0,0,corridor-like head-on geometry,0.3758596838767886,0.5,0.6666133110699529,0.12612247131938584,strong_pass_through_exchange,0
S23_2_corridor_out_of_phase_n24,counter_propagating_corridor_pair,out_of_phase,24,regular_lattice,2,2,pass-through dispersive,no persistence gain,0.0,0.0,0.7488559004847444,0.8333333333333334,0.29166666666666674,0.29166666666666674,0.0,0.0,0.0,0.0,0.05929800459587363,0.3333333333334823,0.6666666666665177,0.0,0.33333333333710263,0.6247366455041342,0.04193002115876307,0.0,0,0,0,corridor-like head-on geometry,0.3744279502423722,0.5,0.6666666666665177,0.04193002115876307,texture_null,0
S23_2_glancing_in_phase_n12,offset_glancing_collision,in_phase,12,regular_lattice,2,2,pass-through with grade exchange,no persistence gain,0.0,0.0,0.0,0.8333333333333334,0.3435921354681384,0.3435921354681384,0.0,0.0,0.0,0.0,0.1607857382668321,0.3332443442742844,0.6667556557257157,0.0,0.3327227110077947,0.5533246840052866,0.1139526049869187,0.0,1,0,0,small transverse offset for deflection and exchange testing,0.3758596838767886,0.5,0.6667556557257157,0.1139526049869187,strong_pass_through_exchange,0
S23_2_glancing_in_phase_n24,offset_glancing_collision,in_phase,24,regular_lattice,2,2,pass-through dispersive,no persistence gain,0.0,0.0,0.0,0.6666666666666666,0.4249182927993987,0.4249182927993987,0.0,0.0,0.0,0.0,0.054616776469475756,0.33333333334873644,0.6666666666512635,0.0,0.33321314446805683,0.6281070083485697,0.038679847183373646,0.0,0,0,0,small transverse offset for deflection and exchange testing,0.3744279502423722,0.5,0.6666666666512635,0.038679847183373646,texture_null,0
