run_id,geometry_id,phase_id,resolution,graph_type,packet_count,initial_peak_count,collision_label,persistence_label,composite_lifetime,binding_persistence,corridor_dwell,coarse_basin_persistence,minimum_separation,final_mean_separation,post_collision_separation_trend,encounter_dwell_time,deflection_angle_proxy,reflection_fraction,grade_transfer_amplitude,omega0_weight_initial,omega1_weight_initial,omega2_weight_initial,omega0_weight_final,omega1_weight_final,omega2_weight_final,localized_circulation_proxy,new_collision_class,gate_met,promoted_followup,notes,branch_id,branch_label,role,variant_label,phase_offset_fraction_of_pi,grade0_scale,grade1_scale,width_ratio_a_to_b,anisotropy_x,anisotropy_y,flow_concentration_index,grade_exchange_coherence,channel_count,recirculation_score,grade_asymmetry_index,phase_alignment_metric,topology_label
S23_8A_balanced_baseline,tight_clustered_pair,balanced_baseline,12,regular_lattice,2,1,braid_like_exchange,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17494967138071332,0.333365015657569,0.666634984342431,0.0,0.3357797450989524,0.5417371973191072,0.12248305758194052,0.0,1,0,0,Balanced 0-form and 1-form support at the lower braid anchor from Stage 23.7.,A_grade_balance,Grade-balance perturbation,baseline,balanced_baseline,0.375,1.0,1.0,1.0,1.0,1.0,0.8954144522256555,0.46962210689772493,1,0.0,0.20595745222015477,0.6923008684832577,braid_like_exchange
S23_8A_zero_form_enhanced,tight_clustered_pair,zero_form_enhanced,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333331,0.08333333333333331,0.0,1.1275790516303659,0.0,0.0,0.24658143932692764,0.6832548473405812,0.3167451526594187,0.0,0.4871450280972038,0.45425772576384577,0.05859724613895046,0.0,0,0,0,Mild 0-form bias while holding geometry and phase fixed.,A_grade_balance,Grade-balance perturbation,perturbation,zero_form_enhanced,0.375,1.35,0.65,1.0,1.0,1.0,0.8667339070675179,0.47046388961402796,1,0.0,0.032887302333358015,0.6922564895784564,transfer_smeared
S23_8A_one_form_enhanced,tight_clustered_pair,one_form_enhanced,12,regular_lattice,2,1,braid_like_exchange,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.36370081399863285,0.10388542862683903,0.896114571373161,0.0,0.23520044136359805,0.5997919037339631,0.165007654902439,0.0,1,0,0,Mild 1-form bias while holding geometry and phase fixed.,A_grade_balance,Grade-balance perturbation,perturbation,one_form_enhanced,0.375,0.65,1.35,1.0,1.0,1.0,0.9057873966466778,0.46978880509031934,1,0.0,0.364591462370365,0.6923413466883932,braid_like_exchange
S23_8B_lower_braid_anchor,tight_clustered_pair,lower_braid_anchor,12,regular_lattice,2,1,braid_like_exchange,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17747827773844144,0.333341503772862,0.666658496227138,0.0,0.33588694663465896,0.5399090435869046,0.12420400977843636,0.0,1,0,0,Lower braid-side anchor just before the Stage 23.7 midpoint smear onset.,B_phase_edge,Phase-band edge protection,anchor,lower_braid_anchor,0.475,1.0,1.0,1.0,1.0,1.0,0.893396713358537,0.47340033971534407,1,0.0,0.20402209695224566,0.6177601299682247,braid_like_exchange
S23_8B_midpoint_band_sample,tight_clustered_pair,midpoint_band_sample,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333331,0.08333333333333331,0.0,1.1275790516303659,0.0,0.0,0.17827482393126456,0.33333370413380686,0.6666662958661932,0.0,0.335918491534391,0.5393344417599154,0.12474706670569352,0.0,0,0,0,Midpoint-band sample aligned with the Stage 23.7 smeared window.,B_phase_edge,Phase-band edge protection,midpoint,midpoint_band_sample,0.5,1.0,1.0,1.0,1.0,1.0,0.8927644958523745,0.474640217299701,1,0.0,0.2034159502255244,0.6002187526077287,transfer_smeared
S23_8B_upper_braid_recovery,tight_clustered_pair,upper_braid_recovery,12,regular_lattice,2,1,braid_like_exchange,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333331,0.08333333333333331,0.0,1.1275790516303659,0.0,0.0,0.18348991506332568,0.3332772730988034,0.6667227269011966,0.0,0.3361084635750979,0.5355833376415267,0.1283081987833754,0.0,1,0,0,Upper anchor where Stage 23.7 recovered the braid label.,B_phase_edge,Phase-band edge protection,anchor,upper_braid_recovery,0.625,1.0,1.0,1.0,1.0,1.0,0.8885757457351036,0.4834026186148435,1,0.0,0.19947487406642878,0.5234174652904766,braid_like_exchange
S23_8C_symmetric_baseline,tight_clustered_pair,symmetric_baseline,12,regular_lattice,2,1,braid_like_exchange,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17494967138071332,0.333365015657569,0.666634984342431,0.0,0.3357797450989524,0.5417371973191072,0.12248305758194052,0.0,1,0,0,Symmetric clustered baseline at the lower braid anchor.,C_symmetry_break,Width and symmetry breaking,baseline,symmetric_baseline,0.375,1.0,1.0,1.0,1.0,1.0,0.8954144522256555,0.46962210689772493,1,0.0,0.20595745222015477,0.6923008684832577,braid_like_exchange
S23_8C_width_a_wider,tight_clustered_pair,width_a_wider,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333337,0.08333333333333337,0.0,1.1275790516303659,0.0,0.0,0.1778251471435122,0.33333098410570455,0.6666690158942954,0.0,0.33589638067439664,0.5396645791012893,0.12443904022431396,0.0,0,0,0,Packet A widened relative to Packet B while holding phase fixed.,C_symmetry_break,Width and symmetry breaking,perturbation,width_a_wider,0.375,1.0,1.0,1.35,1.0,1.0,0.8841339871529068,0.47250489933132683,1,0.0,0.20376819842689264,0.715089673620386,transfer_smeared
S23_8C_width_b_wider,tight_clustered_pair,width_b_wider,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17575599551511512,0.33340942858373335,0.6665905714162667,0.0,0.3356263790273196,0.5412186710533541,0.12315494991932631,0.0,0,0,0,Packet B widened relative to Packet A while holding phase fixed.,C_symmetry_break,Width and symmetry breaking,perturbation,width_b_wider,0.375,1.0,1.0,0.7407407407,1.0,1.0,0.8796508328139887,0.4687596057794966,1,0.0,0.20559229202603446,0.6844533712696397,transfer_smeared
S23_8D_isotropic_baseline,tight_clustered_pair,isotropic_baseline,12,regular_lattice,2,1,braid_like_exchange,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17494967138071332,0.333365015657569,0.666634984342431,0.0,0.3357797450989524,0.5417371973191072,0.12248305758194052,0.0,1,0,0,Isotropic envelope baseline at the lower braid anchor.,D_anisotropy_break,Weak anisotropy breaking,baseline,isotropic_baseline,0.375,1.0,1.0,1.0,1.0,1.0,0.8954144522256555,0.46962210689772493,1,0.0,0.20595745222015477,0.6923008684832577,braid_like_exchange
S23_8D_x_stretch,tight_clustered_pair,x_stretch,12,regular_lattice,2,1,braid_like_exchange,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17750503210182725,0.3336474036507909,0.6663525963492091,0.0,0.33500653392195656,0.5401635384076442,0.12482992767039924,0.0,1,0,0,Weak x-stretch anisotropy preserving overall scale.,D_anisotropy_break,Weak anisotropy breaking,perturbation,x_stretch,0.375,1.0,1.0,1.0,1.12,0.8928571429,0.9021295183337781,0.47204669444184383,1,0.0,0.20515700448568763,0.6821882193965076,braid_like_exchange
S23_8D_y_stretch,tight_clustered_pair,y_stretch,12,regular_lattice,2,1,braid_like_exchange,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17426195992007185,0.33319319559310734,0.6668068044068927,0.0,0.3366329895032429,0.5419011079415558,0.12146590255520123,0.0,1,0,0,Weak y-stretch anisotropy preserving overall scale.,D_anisotropy_break,Weak anisotropy breaking,perturbation,y_stretch,0.375,1.0,1.0,1.0,0.8928571429,1.12,0.8850639258725391,0.469502870766617,1,0.0,0.20526811843831289,0.706069137206819,braid_like_exchange
