run_id,family_id,family_label,detuning,protection_strength,ledger_alignment,delta_equiv_coarse_mean,delta_equiv_fine_mean,delta_equiv_refine_ratio,sector_entropy_coarse,sector_entropy_fine,base_survival_time,degree_skew_survival_time,motif_survival_time,radius_minus_survival_time,radius_center_survival_time,radius_plus_survival_time,ordering_rank,resolution_mode,final_topology_class,trace_plot,notes
S11_clustered_braid_seed_d000_p080,clustered_braid_seed,Clustered braid seed,0.0,0.8,0.9999671520283692,0.7949486221381216,0.7992783171098939,1.005446509184615,0.1014097655573916,0.08125280270604426,45.0,45.0,45.0,45.0,45.0,45.0,0.0,negative_resolution,transfer_smeared,/tmp/haos_iip_stage_11_integrated_austerity/S11_clustered_braid_seed_d000_p080_trace.png,
S11_clustered_braid_seed_d000_p100,clustered_braid_seed,Clustered braid seed,0.0,1.0,0.9999728182611923,0.7713363762957716,0.7756839531795657,1.0056364214335032,0.1014097655573916,0.08125280270604426,45.0,45.0,45.0,45.0,45.0,45.0,0.0,negative_resolution,transfer_smeared,/tmp/haos_iip_stage_11_integrated_austerity/S11_clustered_braid_seed_d000_p100_trace.png,
S11_clustered_braid_seed_d000_p120,clustered_braid_seed,Clustered braid seed,0.0,1.2,0.9999754795860023,0.749165525991581,0.7535252182589479,1.0058193978715138,0.1014097655573916,0.08125280270604426,45.0,45.0,45.0,45.0,45.0,45.0,0.0,negative_resolution,transfer_smeared,/tmp/haos_iip_stage_11_integrated_austerity/S11_clustered_braid_seed_d000_p120_trace.png,
S11_clustered_braid_seed_d050_p080,clustered_braid_seed,Clustered braid seed,0.5,0.8,0.9996127607599804,0.7828665211476267,0.7869603284693406,1.0052292532777014,0.15574869249713072,0.15574869249713072,41.0,41.0,41.0,41.0,41.0,41.0,0.0,negative_resolution,transfer_smeared,/tmp/haos_iip_stage_11_integrated_austerity/S11_clustered_braid_seed_d050_p080_trace.png,
S11_clustered_braid_seed_d050_p100,clustered_braid_seed,Clustered braid seed,0.5,1.0,0.9996476022552435,0.7599794650369557,0.7641028424258757,1.005425643163555,0.15574869249713072,0.15574869249713072,41.0,41.0,41.0,41.0,41.0,41.0,0.0,negative_resolution,transfer_smeared,/tmp/haos_iip_stage_11_integrated_austerity/S11_clustered_braid_seed_d050_p100_trace.png,
S11_clustered_braid_seed_d050_p120,clustered_braid_seed,Clustered braid seed,0.5,1.2,0.9996693337812864,0.7384141366520386,0.742564184213094,1.005620216833702,0.15574869249713072,0.15574869249713072,41.0,41.0,41.0,41.0,41.0,41.0,0.0,negative_resolution,transfer_smeared,/tmp/haos_iip_stage_11_integrated_austerity/S11_clustered_braid_seed_d050_p120_trace.png,
S11_clustered_braid_seed_d100_p080,clustered_braid_seed,Clustered braid seed,1.0,0.8,0.9969094126606223,0.7869257834620572,0.7912379083072375,1.0054797096953785,0.3248298011326841,0.3248298011326841,35.0,35.0,35.0,35.0,35.0,35.0,0.0,negative_resolution,transfer_smeared,/tmp/haos_iip_stage_11_integrated_austerity/S11_clustered_braid_seed_d100_p080_trace.png,
S11_clustered_braid_seed_d100_p100,clustered_braid_seed,Clustered braid seed,1.0,1.0,0.9970749034642007,0.7656370232933681,0.7699733051524777,1.005663626140305,0.3248298011326841,0.3248298011326841,35.0,35.0,35.0,35.0,35.0,35.0,0.0,negative_resolution,transfer_smeared,/tmp/haos_iip_stage_11_integrated_austerity/S11_clustered_braid_seed_d100_p100_trace.png,
S11_clustered_braid_seed_d100_p120,clustered_braid_seed,Clustered braid seed,1.0,1.2,0.9971831662569705,0.7455074099218674,0.7498639762747642,1.0058437599612235,0.3248298011326841,0.3248298011326841,35.0,35.0,35.0,35.0,35.0,35.0,0.0,negative_resolution,transfer_smeared,/tmp/haos_iip_stage_11_integrated_austerity/S11_clustered_braid_seed_d100_p120_trace.png,
S11_corridor_transport_seed_d000_p080,corridor_transport_seed,Corridor transport seed,0.0,0.8,0.0,0.5859605237774921,0.587524967498483,1.0026698790404949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negative_resolution,dispersive_pass,/tmp/haos_iip_stage_11_integrated_austerity/S11_corridor_transport_seed_d000_p080_trace.png,
