run_id,family_id,family_label,phase_detuning_fraction_of_pi,kernel_radius_label,kernel_radius_offset,resolution,refinement_label,topology_class,braid_like_exchange,transfer_smeared,localized_capture,unresolved_mixed,braid_survival_time,flow_concentration_index,grade_exchange_coherence,recurrence_indicator,midpoint_band_membership_flag,metastable_transport_flag,structural_irreversibility_score,topology_return_error,refinement_survival_ratio
S23_9_clustered_dk_baseline_p0p0_k+0_n12,clustered_dk_baseline,Clustered DK baseline,0.0,r,0,12,base,braid_like_exchange,1,0,0,0,0.6264328064613144,0.898919811773798,0.46486167464083267,0.0,0,0,0.023191819760024282,0,0.0
S23_9_clustered_dk_baseline_p0p0_k+0_n24,clustered_dk_baseline,Clustered DK baseline,0.0,r,0,24,refined,unresolved_mixed,0,0,0,1,0.4992372669898296,0.9089983907326823,0.3965928289406052,0.0,0,0,0.007207518482456303,1,0.0
S23_9_clustered_dk_baseline_p0p0_k+1_n12,clustered_dk_baseline,Clustered DK baseline,0.0,r_plus_1,1,12,base,braid_like_exchange,1,0,0,0,0.6248354979126377,0.8989197624558249,0.46485457562927635,0.0,0,0,0.023191412173567055,0,0.0
S23_9_clustered_dk_baseline_p0p0_k+1_n24,clustered_dk_baseline,Clustered DK baseline,0.0,r_plus_1,1,24,refined,unresolved_mixed,0,0,0,1,0.49905050637827697,0.9089984049474645,0.39659018683824554,0.0,0,0,0.0072074960535826425,1,0.0
S23_9_clustered_dk_baseline_p0p0_k-1_n12,clustered_dk_baseline,Clustered DK baseline,0.0,r_minus_1,-1,12,base,braid_like_exchange,1,0,0,0,0.6303290049517852,0.8989199320770075,0.4648789953067493,0.0,0,0,0.02319281395888299,0,0.0
S23_9_clustered_dk_baseline_p0p0_k-1_n24,clustered_dk_baseline,Clustered DK baseline,0.0,r_minus_1,-1,24,refined,unresolved_mixed,0,0,0,1,0.499522457418736,0.9089983690257397,0.39659686375850056,0.0,0,0,0.007207552732174981,1,0.0
S23_9_clustered_dk_baseline_p0p25_k+0_n12,clustered_dk_baseline,Clustered DK baseline,0.25,r,0,12,base,braid_like_exchange,1,0,0,0,0.6264328064613144,0.8970103120056542,0.46679096561203703,0.0,0,0,0.0241468652127228,0,0.0
S23_9_clustered_dk_baseline_p0p25_k+0_n24,clustered_dk_baseline,Clustered DK baseline,0.25,r,0,24,refined,unresolved_mixed,0,0,0,1,0.4992372669898296,0.9066919637519161,0.39730038749445407,0.0,0,0,0.007290698536519338,1,0.0
S23_9_clustered_dk_baseline_p0p25_k+1_n12,clustered_dk_baseline,Clustered DK baseline,0.25,r_plus_1,1,12,base,braid_like_exchange,1,0,0,0,0.6248354979126377,0.897010318404516,0.46678389516745783,0.0,0,0,0.024146431059830484,0,0.0
S23_9_clustered_dk_baseline_p0p25_k+1_n24,clustered_dk_baseline,Clustered DK baseline,0.25,r_plus_1,1,24,refined,unresolved_mixed,0,0,0,1,0.49905050637827697,0.9066919802053964,0.397297794259694,0.0,0,0,0.007290676446734818,1,0.0
