run_id,run_order,branch_id,branch_label,role,ablation_strength,phase_offset_fraction_of_pi,separation,width_ratio_a_to_b,grade_transfer_lock_alpha,operator_01_scale,topology_class,braid_like_exchange,transfer_smeared,localized_encounter,unresolved_mixed,braid_survival_time,grade_exchange_coherence,flow_concentration_index,separation_oscillation_indicator,topology_return_error,mechanism_sensitivity_score,branch_mechanism_label,notes
S23_13_A_control,0,A_grade_transfer_suppression,Grade-transfer suppression,control,0.0,0.625,0.08,1.0,0.0,1.0,braid_like_exchange,1,0,0,0,0.3758596838767886,0.4834026186148435,0.8885757457351036,0.0,1,0.0,no_clear_mechanism_signal,Clustered braid-supporting control with no grade-transfer anchoring.
S23_13_A_weak,1,A_grade_transfer_suppression,Grade-transfer suppression,weak_suppression,0.4,0.625,0.08,1.0,0.4,1.0,braid_like_exchange,1,0,0,0,0.6264328064613144,0.5640155936242391,0.8887513836959238,0.0,0,0.0,no_clear_mechanism_signal,Weak bounded blockwise grade-fraction anchoring.
S23_13_A_moderate,2,A_grade_transfer_suppression,Grade-transfer suppression,moderate_suppression,0.7,0.625,0.08,1.0,0.7,1.0,braid_like_exchange,1,0,0,0,0.5011462451690515,0.5633206933945015,0.8856700042670498,0.0,0,0.0,no_clear_mechanism_signal,Moderate bounded blockwise grade-fraction anchoring.
S23_13_B_control,3,B_phase_corridor_flattening,Phase-corridor flattening,control,0.0,0.625,0.08,1.0,0.0,1.0,braid_like_exchange,1,0,0,0,0.3758596838767886,0.4834026186148435,0.8885757457351036,0.0,1,0.0,phase_corridor_primary,Clustered braid-supporting control for phase-corridor branch.
S23_13_B_weak,4,B_phase_corridor_flattening,Phase-corridor flattening,weak_suppression,0.5,0.5625,0.08,1.0,0.0,1.0,transfer_smeared,0,1,0,0,0.6264328064613144,0.4784186845403229,0.8909082059672744,0.0,0,0.5515465164696879,phase_corridor_primary,Weak flattening halfway from the braid anchor toward the midpoint smear band.
S23_13_B_moderate,5,B_phase_corridor_flattening,Phase-corridor flattening,moderate_suppression,1.0,0.5,0.08,1.0,0.0,1.0,transfer_smeared,0,1,0,0,0.6264328064613144,0.474640217299701,0.8927644958523745,0.0,0,0.5527189761632604,phase_corridor_primary,Moderate flattening onto the midpoint smeared band.
S23_13_C_control,6,C_geometry_overlap_weakening,Geometry-overlap weakening,control,0.0,0.625,0.08,1.0,0.0,1.0,braid_like_exchange,1,0,0,0,0.3758596838767886,0.4834026186148435,0.8885757457351036,0.0,1,0.0,coupled_mechanism_no_single_primary,Clustered braid-supporting control for overlap branch.
S23_13_C_weak,7,C_geometry_overlap_weakening,Geometry-overlap weakening,weak_suppression,0.5,0.625,0.082,1.05,0.0,1.0,braid_like_exchange,1,0,0,0,0.3758596838767886,0.4841217540623525,0.8865486740307694,0.0,1,0.0,coupled_mechanism_no_single_primary,Weak overlap weakening with small separation increase and mild width skew.
S23_13_C_moderate,8,C_geometry_overlap_weakening,Geometry-overlap weakening,moderate_suppression,1.0,0.625,0.088,1.05,0.0,1.0,transfer_smeared,0,1,0,0,0.25057312258452574,0.4847392141637118,0.8843716093486949,0.0,0,0.65,coupled_mechanism_no_single_primary,Moderate overlap weakening chosen to stay near the braid boundary.
S23_13_D_control,9,D_operator_cross_coupling_suppression,Operator cross-coupling suppression,control,0.0,0.625,0.08,1.0,0.0,1.0,braid_like_exchange,1,0,0,0,0.3758596838767886,0.4834026186148435,0.8885757457351036,0.0,1,0.0,coupled_mechanism_no_single_primary,Clustered braid-supporting control for operator branch.
S23_13_D_weak,10,D_operator_cross_coupling_suppression,Operator cross-coupling suppression,weak_suppression,0.4,0.625,0.08,1.0,0.0,0.6,braid_like_exchange,1,0,0,0,0.5011462451690515,0.41950716083653583,0.8916655906539641,0.0,1,0.019826782681089623,coupled_mechanism_no_single_primary,Weak scaling-down of the 0-to-1 and 1-to-0 DK block couplings.
S23_13_D_moderate,11,D_operator_cross_coupling_suppression,Operator cross-coupling suppression,moderate_suppression,0.7,0.625,0.08,1.0,0.0,0.3,transfer_smeared,0,1,0,0,0.12528656129226287,0.3956239309894575,0.881709996417567,0.0,0,0.7772377571754503,coupled_mechanism_no_single_primary,Moderate scaling-down of the 0-to-1 and 1-to-0 DK block couplings.
