perturbation_family,perturbation_description,subset_family,repair_mode,protected_set,mean_protected_pairwise_coherence,variance,exact_recoverability_rate,trial_count,delta_vs_random_mean,delta_vs_contiguous_mean,beats_random_mean,beats_contiguous_mean,notes
random_swaps,three unconstrained swaps anywhere in the sequence,reported,baseline,"(0, 1, 2, 5, 6, 8)",0.6897653333333691,0.035899962709183386,0.0453,100000,0.015827333333406468,0.05130733333350357,True,True,fixed candidate subset
random_swaps,three unconstrained swaps anywhere in the sequence,reported,full_repair,"(0, 1, 2, 5, 6, 8)",1.0,0.0,1.0,100000,0.0,0.0,False,False,fixed candidate subset
random_swaps,three unconstrained swaps anywhere in the sequence,reported,local_repair,"(0, 1, 2, 5, 6, 8)",0.7534120000002356,0.03421835825549846,0.13937,100000,0.01536066666672753,0.04992400000021213,True,True,fixed candidate subset
random_swaps,three unconstrained swaps anywhere in the sequence,random,baseline,,0.6739379999999626,0.03604663882264647,0.0383,100000,,,,,uniform random non-contiguous control
random_swaps,three unconstrained swaps anywhere in the sequence,random,full_repair,,1.0,0.0,1.0,100000,,,,,uniform random non-contiguous control
random_swaps,three unconstrained swaps anywhere in the sequence,random,local_repair,,0.738051333333508,0.03454525158669952,0.12019,100000,,,,,uniform random non-contiguous control
random_swaps,three unconstrained swaps anywhere in the sequence,contiguous,baseline,,0.6384579999998655,0.03480618223614984,0.02455,100000,,,,,uniform contiguous 6-position control
random_swaps,three unconstrained swaps anywhere in the sequence,contiguous,full_repair,,1.0,0.0,1.0,100000,,,,,uniform contiguous 6-position control
random_swaps,three unconstrained swaps anywhere in the sequence,contiguous,local_repair,,0.7034880000000234,0.033729167189174736,0.07897,100000,,,,,uniform contiguous 6-position control
adjacent_swaps,three adjacent swaps at arbitrary positions,reported,baseline,"(0, 1, 2, 5, 6, 8)",0.9427320000005378,0.002487131729610126,0.34432,100000,0.006979333333280047,0.03721999999973569,True,True,fixed candidate subset
adjacent_swaps,three adjacent swaps at arbitrary positions,reported,full_repair,"(0, 1, 2, 5, 6, 8)",1.0,0.0,1.0,100000,0.0,0.0,False,False,fixed candidate subset
