feature_id,haos_loss_score,max_abs_change,mean_abs_change,trajectory_total_variation
SSA1,1.6632865989240666,2.3970000000000002,1.2236,3.8130000000000006
HTA2,0.750731881161357,1.8279999999999998,0.6451999999999999,3.372
RPL23A,1.2849594060124416,1.947,0.9381999999999999,3.237
HSP26,4.858570581070724,6.232,3.4802,10.625
SSE2,3.5555395842381117,4.644,2.5796,7.411
APA1,0.9265013861455014,1.585,0.6082,3.4880000000000004
SPB1,1.642673643465075,2.468,1.1798,3.857
PWP2,1.1748762822838312,1.813,0.7121999999999999,3.528
YCR061W,2.0219000277537216,2.6660000000000004,1.6156,3.6710000000000003
YDL026W,1.4078299098121971,2.1470000000000002,1.0166,3.7060000000000004
YDL124W,2.598291081644948,3.44,1.9888,5.088
RPP1B,1.2918653266095117,1.8541072423398326,0.6991694505307897,3.6786669578022066
FMP45,4.603762500104562,6.319,3.3259999999999996,10.921
TPS2,3.4836972948350393,4.1080000000000005,2.3934,6.964
SUP35,1.1324410524011475,1.693,0.7190000000000001,3.1559999999999997
GGA1,1.8767313746947958,2.4450000000000003,1.2646000000000002,4.489000000000001
RPS18A,1.391762598787661,1.975,1.0482,3.0949999999999998
VAB2,1.3673189852053902,1.916,1.0062,3.026
GLC3,3.9190957350778146,5.2219999999999995,2.7589999999999995,8.875
GPA2,1.4589344841041325,1.624,1.0766000000000002,2.332
YAT2,1.0386437873016063,1.906,0.9061999999999999,2.825
RPL23B,1.1348785292986445,1.802,0.8016,3.227
AVT6,1.9008023790453696,2.71,1.5518,3.779
HSP12,5.682904587232908,7.755,4.6844,10.083
MDJ1,2.7108531202842303,3.5709999999999997,1.7933999999999997,6.326
BNA6,1.072801497862806,1.709,0.9934,1.863
MAD1,0.7660368527955811,1.175,0.5492000000000001,3.654
ATG1,1.70886385302021,2.448,1.3728,3.5659999999999994
STR3,1.3147132336527005,2.375,1.3242,2.873
TPN1,0.44349164062276974,1.382,0.5401999999999999,2.223
YGR011W,0.5750864871388437,3.3721072423398324,0.9989401103376714,3.3959659985050616
UGA1,1.7194334025692188,2.49,1.4864000000000002,2.9799999999999995
CLB6,0.8621115726344815,1.387,0.5426,3.138
YGR111W,1.1750369154073201,1.669,0.9179999999999999,2.571
YGR201C,1.2309624896808273,2.223,1.0744,3.2449999999999997
TDA10,2.1031319396999164,2.737,1.4562000000000002,4.721
ZPR1,1.8772477536606735,2.658,1.2209999999999999,6.135
RPL14B,1.2269654046429967,1.849,0.9024000000000001,2.902
PRS3,1.5586604148158827,2.602,0.9565999999999999,5.254
CIC1,2.213830354688265,3.501,1.5262,5.675
RPL42B,1.2122552810118465,1.87,0.9182,2.9130000000000003
IMP3,1.5073478322763414,2.184,0.9266,4.058
VID28,1.3501189908722908,1.823,0.998,2.87
FAF1,1.491826841827802,2.388,1.0066000000000002,4.116
AYR1,1.5283735315902391,2.202,1.2003999999999997,3.384
YPS6,2.7998472691330583,3.721,2.1732,5.617
ARG3,2.0804478619157827,2.862,1.827,3.105
RPS22A,1.573189980952407,2.409,1.2098,3.7019999999999995
PTK2,1.85900906616518,2.471,1.3488,3.925
RPA12,1.5100382000924208,2.716,0.9476000000000001,5.017
DAN1,0.9720896532157354,2.264,0.9192,4.444
MPH3,0.7254777737683977,1.187,0.6306,4.037999999999999
MDH1,1.3802759969850884,2.053,0.9846,3.5869999999999997
YKL091C,2.6065069868343196,3.575,1.8448,6.208
MBR1,1.3547210333977344,1.953,1.0138,3.045
STE3,1.387540666399521,1.8719999999999999,1.201,2.066
RPL17A,1.2902369249631442,1.9369999999999998,0.9394,3.429
PXA2,1.342606670259315,1.77,0.932,3.0020000000000002
FMP46,1.5406760244455713,2.169,1.1428,3.2960000000000003
RPS21A,1.4573338480276807,2.2039999999999997,1.0928,3.3529999999999998
TIF1,1.1228687853555488,1.8159999999999998,0.9012,2.911
UBI4,3.5535968541942324,4.752,2.6477999999999997,7.644000000000001
SDH2,1.6477554378493289,2.187,1.2605999999999997,3.341
RPL8B,1.6629456262826063,2.873,1.332,4.8149999999999995
XYL2,1.2886983549115112,1.847,0.9905999999999999,2.976
BUD20,1.3937553773992404,2.325,0.9259999999999999,4.147
SHH4,1.2691251805381172,1.647,0.9789999999999999,2.387
DCS1,1.6161129525574263,2.278,1.2164000000000001,3.6980000000000004
ATG33,1.221349332734453,1.93,1.0111999999999999,2.811
TSL1,5.487103178715104,6.489999999999999,4.0722,9.625
URA5,1.2432517311401032,1.9500000000000002,0.8398,3.612
DDR48,1.834066214529765,2.484,1.4342000000000001,3.575
YMR181C,1.323681934283247,1.911,0.9074000000000002,3.486
RTP1,1.0924493176470031,1.7240000000000002,0.6612,3.7600000000000002
TDA1,2.5328378149936075,2.909,1.7833999999999999,4.798
POR1,1.8648967504425773,2.635,1.5963999999999998,3.131
YNL057W,0.9853315773311967,1.5470000000000002,0.7282000000000002,2.625
NOP2,2.413527151096524,3.7,1.6808,6.425000000000001
RPC31,1.5448369022528476,2.342,1.0270000000000001,4.282
YNL247W,1.166710624321949,1.725,0.7736000000000001,3.434
GIS2,1.575335550433898,2.293,1.1964000000000001,3.436
ATO2,2.7186511074047512,4.103,1.8914000000000002,7.392000000000001
URK1,1.0705104389547693,1.844,0.6294000000000001,3.7190000000000003
YOL118C,1.3057402104217428,1.642,1.0303999999999998,2.262
RPL18A,1.1362091568249677,1.663,0.8311999999999999,2.861
SMF1,0.7324520173194364,1.625,0.7369999999999999,2.1149999999999998
TRM11,1.4164785381299039,2.358,0.9508000000000001,4.245
TMC1,2.6404613543038735,3.308,1.8242,5.709999999999999
VHS3,1.4141885126531708,1.931,0.9548,3.4859999999999998
NOB1,2.10551271839217,3.0220000000000002,1.473,5.147
YOR146W,2.0530826023173017,3.422,1.2786000000000002,6.203
ATG40,1.486702841528175,2.046,1.1989999999999998,2.936
TYE7,0.8890509598143665,1.856,0.6072,4.176
YPL044C,2.4413352359897,3.66,1.6582000000000001,6.141
YPL142C,1.2747562408902913,1.931,0.9852000000000001,2.9060000000000006
USV1,3.6456894040360805,4.587,2.6098,7.542
RRP9,1.7137793600958076,2.295,1.0596,4.103
RRP15,1.555629944233324,2.296,1.1072,3.5370000000000004
GIP2,3.512500701153975,4.6290000000000004,2.4158,8.19
FIT3,2.3053473331114387,3.548,1.7546,5.746
NOG1,3.4081674497335355,4.763,2.276,8.576
PAI3,2.2595082477027493,2.822,1.6835999999999998,4.422
ENA2,1.4886677340360022,1.866,1.0778,3.035
NUD1,1.654321026838975,2.159,1.357,2.7649999999999997
SNX4,0.8066637292546723,1.4460000000000002,0.5496,3.0950000000000006
MHP1,1.6913808434835322,1.943,1.2382,2.891
MTR4,1.789163537036067,3.274,1.1099999999999999,6.146999999999999
VPS8,3.043269876844538,4.509,2.1648,7.722000000000001
FLO9,1.1840018458134847,1.8940000000000001,0.734,3.477
SWM2,1.7871322534766048,2.588,1.3638,3.7270000000000003
MDM38,0.7951240512409684,1.651,0.5478,2.791
YOL118C,0.6243401565028655,1.4360000000000002,0.35280000000000006,3.193
