collapse_threshold,visible_match_threshold,k_star_index,k_star_time,first_visible_index,first_visible_time,early_detection
0.55,0.3,1,5.0,2,15.0,True
0.55,0.4,1,5.0,2,15.0,True
0.55,0.5,1,5.0,1,5.0,False
0.55,0.6,1,5.0,1,5.0,False
0.6,0.3,1,5.0,2,15.0,True
0.6,0.4,1,5.0,2,15.0,True
0.6,0.5,1,5.0,1,5.0,False
0.6,0.6,1,5.0,1,5.0,False
0.65,0.3,1,5.0,2,15.0,True
0.65,0.4,1,5.0,2,15.0,True
0.65,0.5,1,5.0,1,5.0,False
0.65,0.6,1,5.0,1,5.0,False
0.7,0.3,1,5.0,2,15.0,True
0.7,0.4,1,5.0,2,15.0,True
0.7,0.5,1,5.0,1,5.0,False
0.7,0.6,1,5.0,1,5.0,False
0.75,0.3,1,5.0,2,15.0,True
0.75,0.4,1,5.0,2,15.0,True
0.75,0.5,1,5.0,1,5.0,False
0.75,0.6,1,5.0,1,5.0,False
0.8,0.3,1,5.0,2,15.0,True
0.8,0.4,1,5.0,2,15.0,True
0.8,0.5,1,5.0,1,5.0,False
0.8,0.6,1,5.0,1,5.0,False
