feature_id,haos_loss_score,max_abs_change,mean_abs_change,trajectory_total_variation
EFB1,1.0076649906973563,1.494,0.6045714285714286,3.0989999999999998
CYS3,0.4741277216563799,0.94,0.3538571428571429,3.909
YAR073W,0.5274494805045569,0.842,0.2732857142857143,1.899
HTA2,0.48017881750498637,0.706,0.38242857142857145,2.08
RPL23A,0.7410681006140771,1.063,0.4192857142857143,2.545
NRG2,0.8741874965832832,1.374,0.4242857142857143,3.6590000000000003
ALG14,0.2531937641390333,0.598,0.23700000000000002,1.88
HSP26,0.8060859374121172,1.072,0.5555714285714286,1.9529999999999998
PFF1,0.37386602455443835,0.471,0.28414285714285714,1.3519999999999999
CDC28,1.0238896011352163,1.349,0.6605714285714285,2.534
TOS1,0.5689178439016929,1.042,0.418,2.9730000000000003
UBS1,0.8458947265844424,1.127,0.4028571428571429,2.582
SSE2,1.7762528851938773,2.177,1.0565714285714287,4.244
PBN1,0.49902173365818947,0.654,0.3095714285714285,1.9749999999999999
SPB1,1.8256209325884303,2.756,0.7904285714285714,5.8629999999999995
YCR061W,0.7352332871690348,1.096,0.4855714285714286,2.0500000000000003
YDL026W,0.22364238505329434,1.593,0.6292105302887336,5.154999999999999
PUS9,1.4446765253372158,2.737,0.5125858093946564,5.485919448511333
YDL124W,2.3381915937914597,2.825,1.5110000000000003,5.260000000000001
CDC48,0.6253566123803808,0.826,0.3807142857142857,1.927
CDC53,0.5784860981920421,0.749,0.32428571428571434,1.84
FMP45,1.0088941838227579,1.374,0.5492857142857143,2.6830000000000007
FMP16,1.2170923478861768,1.844,0.8028571428571427,3.5270000000000006
IPT1,0.6860386286980091,0.858,0.37914285714285717,3.195
TPS2,4.031030170928976,4.829,2.3088571428571427,10.057999999999998
RAD55,0.9878339032886827,1.449,0.5057142857142857,3.391
SEC7,0.09463131030064295,0.875,0.17957142857142855,2.125
CCC2,0.5738704226686332,0.74,0.3248571428571428,2.0300000000000002
GLO2,1.0055937315047363,1.457,0.6957142857142857,2.778
GGA1,1.1850640297325166,1.538,0.7047142857142857,2.7790000000000004
RPS18A,0.5446978575410407,0.78,0.33885714285714286,2.039
PPN1,0.8060431874658256,0.948,0.546,1.849
TFB3,0.7234449333769367,1.063,0.39999999999999997,2.2619999999999996
VAB2,0.7138077313347468,0.878,0.3925714285714285,2.372
GCN4,0.7566915191825083,1.264,0.32328571428571434,3.246
GLC3,1.1341577634371325,2.062,0.8018571428571428,6.4239999999999995
GPA2,0.8118225849310798,1.19,0.4142857142857143,2.9890000000000003
CHO1,0.8326528158555362,1.409,0.6648571428571427,2.498
RPL23B,0.7317541825840421,1.115,0.41357142857142853,2.6170000000000004
HSP12,4.090547382094849,4.714,3.0580000000000003,8.189
MDJ1,0.866759483319379,1.124,0.5207142857142857,3.1490000000000005
YMR31,0.770673269457522,0.973,0.46642857142857136,2.7030000000000003
MPT5,0.6810988957674862,1.041,0.3321428571428572,2.11
ATG1,0.7484948221438373,1.04,0.4234285714285714,2.259
STR3,0.3932858267711117,1.606,0.5910000000000001,2.7210000000000005
UGA1,1.0089481657344872,1.339,0.6042857142857143,3.488
CLB6,0.6126608765856383,0.81,0.5272857142857144,2.2479999999999998
YGR111W,0.9193078239447164,1.202,0.5605714285714286,2.586
CIR1,0.3859968419223919,0.904,0.28985714285714287,2.027
RPL14B,0.692859852884629,1.15,0.35828571428571426,2.664
PRS3,0.7700230437051101,1.144,0.3565714285714286,2.461
CIC1,1.5242587215457932,2.222,0.6807142857142858,4.5649999999999995
RPL42B,0.6228576438569923,1.059,0.26285714285714284,2.22
IMP3,0.6971487575103334,1.175,0.30442857142857144,2.5260000000000002
FAF1,0.4090227888137978,0.706,0.29857142857142854,2.062
AYR1,0.5671447411369076,1.154,0.42200000000000004,2.5069999999999997
HYR1,0.4666968829714699,0.96,0.4208571428571429,1.704
ARG3,0.6289679521018267,1.106,0.5872857142857144,2.189
YJL188C,0.42340629903742233,0.874,0.21099999999999994,1.831
RPS22A,0.7054786917918058,1.094,0.3534285714285715,2.6060000000000003
PTK2,1.536377350958129,1.874,0.8227142857142857,3.789
RPA12,0.7493954041325286,1.144,0.3162857142857143,2.3449999999999998
HXT16,0.17725735181110508,0.87,0.26157142857142857,1.504
MDH1,0.5978216410735575,0.708,0.36100000000000004,2.118
YKL091C,2.051302932190347,2.756,1.0811428571428572,5.795999999999999
MBR1,1.4835910287891072,2.013,0.8048571428571428,4.3069999999999995
RPL17A,0.47519707579919657,0.685,0.35942857142857143,1.905
SPE1,0.6006371621475175,1.135,0.6001428571428572,1.695
PXA2,0.8272510459660006,1.29,0.44971428571428573,3.505
RPS21A,0.5752023950217987,0.857,0.3154285714285714,2.4319999999999995
TIF1,0.4609688304701908,0.695,0.27399999999999997,2.227
UBI4,0.7226116031469074,1.097,0.5187142857142858,2.131
RPL8B,1.0110067532703588,1.547,0.4921428571428571,3.36
FYV7,0.7889999666660461,1.101,0.37457142857142856,2.6549999999999994
UPS2,0.6067435955971627,0.914,0.3667142857142857,2.5420000000000003
DPH5,0.3855734563506181,0.738,0.27385714285714285,2.139
LCB5,0.8777128789600537,1.098,0.5432857142857143,2.387
RPS28B,0.45607527754419797,0.933,0.3078571428571429,2.657
DCS1,2.4491919428985622,2.916,1.4287142857142856,5.933
STE11,0.6917970218736624,0.897,0.41885714285714293,2.293
TSL1,2.892924732008804,3.368,1.8351428571428574,7.151999999999999
URA5,0.5096148198386974,0.692,0.3355714285714285,1.803
UBX4,0.5005929569990497,0.855,0.3395714285714285,2.45
DDR48,2.3204333422900283,3.077,1.7954285714285714,5.178999999999999
SPT21,0.3163238335177701,0.768,0.2885714285714286,1.7650000000000001
YMR181C,1.1381601252492444,1.579,0.7455714285714287,3.528
RTP1,0.7861655283722462,1.3,0.38657142857142857,2.9480000000000004
YKU70,0.4592845401438372,0.717,0.25871428571428573,1.7060000000000002
TDA1,1.7770207039178363,2.292,1.0435714285714286,6.8629999999999995
NOP2,1.0426415085427534,1.527,0.48371428571428565,3.301
RPC31,0.8507687934218829,1.171,0.4547142857142857,2.484
CUZ1,0.834294463180546,1.423,0.5745714285714286,3.4590000000000005
YNL247W,0.8518033719999447,1.226,0.39871428571428574,2.5429999999999997
NRD1,0.27473766459600324,0.529,0.2554285714285714,2.309
TEX1,0.6138204113027359,0.741,0.3668571428571429,2.175
URK1,0.4879405015765481,0.821,0.24800000000000003,2.03
RPL18A,0.6045665476380676,0.916,0.3901428571428571,2.4619999999999997
TRM11,0.8218712693105409,1.432,0.44542857142857134,3.4010000000000002
TMC1,1.367307855445432,1.688,0.8392857142857143,4.912
VHS3,0.6681027594598733,0.871,0.38399999999999995,2.55
NOB1,0.8636405847886607,1.343,0.4274285714285714,2.8530000000000006
ATG40,0.8553051024041547,1.185,0.4615714285714286,2.767
YPL142C,0.5932472607778867,0.871,0.3005714285714286,2.158
USV1,1.304706447416269,1.705,0.8017142857142858,5.629999999999999
RPL43A,0.5597259188699377,0.76,0.2982857142857143,1.636
RRP9,0.4735843032133277,0.731,0.2965714285714286,2.2369999999999997
RRP15,0.9681067987352727,1.529,0.42585714285714277,3.053
ASN1,1.1209557407434163,1.57,0.6788571428571429,3.633
GIP2,0.8692451908517491,1.238,0.5599999999999999,3.831
MST1,0.5077030954465044,0.791,0.2702857142857143,2.431
NOG1,1.441684044023872,2.2,0.6308571428571428,5.006000000000001
PAI3,0.7445766695345089,1.046,0.3894285714285714,2.177
YHR214C-B,0.2695472440255371,0.873,0.4295714285714286,2.004
ENA2,0.46662514279188005,0.772,0.24042857142857144,2.133
SNX4,0.42118543450457957,0.656,0.2454285714285714,1.827
MHP1,0.5229481033598938,0.713,0.2345714285714286,1.746
EFB1,0.9335040290322767,1.326,0.562,3.2010000000000005
HTA2,0.5304426928203592,0.783,0.42128571428571426,2.1750000000000003
RPL23A,0.56332317453575,0.795,0.31042857142857144,1.8980000000000001
NRG2,0.5217309481085111,0.909,0.26271428571428573,2.427
TOS1,0.6085960274017388,1.113,0.4215714285714286,3.217
UBS1,0.5293418155603962,0.741,0.23685714285714285,1.647
SSE2,1.5715238284774282,1.886,0.937857142857143,3.559
MTC4,0.12556977591365795,1.033,0.254,1.733
SPB1,1.301308963599899,1.927,0.5830000000000001,3.96
PDR3,1.1498589416370602,1.807,0.7055714285714284,3.522
ALK2,0.6641014443544927,1.058,0.3727142857142858,2.253
ECM33,0.908952651467376,1.436,0.45457142857142857,3.2030000000000003
UBC4,0.38132471061728956,1.294,0.36342857142857143,3.4810000000000003
RPS6B,0.8515695652753127,1.308,0.4739999999999999,3.069
CHA1,0.3774449914017749,1.128,0.47185714285714286,5.308999999999999
RSA4,0.5302180093592236,0.886,0.26603607277874,3.0734949810976406
NPC2,0.817808073607515,1.027,0.46214285714285713,2.3669999999999995
RPL35B,0.4656320833750764,0.709,0.23728571428571427,1.935
CRD1,0.48038884960317163,0.753,0.261,2.154
HMO1,0.5113504402377513,0.805,0.23514285714285718,3.1839999999999997
ATC1,1.0092293672514132,1.543,0.43971428571428567,3.254
DON1,0.8661764746864695,1.211,0.517,2.58
YPR1,1.31617258431955,1.704,0.8562857142857142,3.091
PHO92,0.8723408587986976,1.595,0.44,3.289
FIR1,0.3499027978179017,0.583,0.2834285714285714,1.524
KRE29,1.2335224183603655,1.559,0.6198571428571429,3.559
GLN3,0.471763970493111,0.688,0.2621428571428571,2.098
LCP5,0.949372349102767,1.63,0.4311428571428571,4.79
RPS26B,0.45794153827194817,0.663,0.3434285714285714,1.965
STE2,0.5980484972451365,0.762,0.37371428571428567,2.425
HXK1,1.9163255614848924,2.24,1.2105714285714286,5.3580000000000005
IRC7,0.4148624925545231,0.695,0.33628571428571424,1.841
YFR057W,0.19465339111182134,0.758,0.19528571428571428,2.501
PMC1,0.9080374104975213,1.217,0.5004285714285714,2.917
PAN2,0.6145254172499187,1.21,0.3325714285714286,2.48
USE1,0.763272155997337,1.172,0.38785714285714284,2.659
YGL102C,0.7627125985589365,1.085,0.3685714285714285,2.6759999999999997
IME4,0.77575392927077,1.172,0.3617142857142857,3.275
DSD1,0.503134903222211,0.742,0.3202857142857143,1.956
MTL1,1.0321286163357222,1.497,0.5377142857142857,2.8080000000000003
RPS25A,0.4092183928967164,0.705,0.2572857142857143,1.9040000000000001
MEP1,0.49497564861026166,0.65,0.30542857142857144,2.7969999999999997
PPT1,0.6561841243556099,0.954,0.3631428571428571,2.116
YGR127W,1.0211901346056416,1.596,0.49328571428571427,3.5460000000000003
RSM27,0.1993103908392141,0.586,0.2702857142857143,2.688
HSV2,0.5075166723809492,0.887,0.22714285714285712,2.25
RPS20,0.3291106614397641,0.914,0.24757142857142858,2.5510000000000006
AIM17,2.5546989533426347,3.595,1.3551428571428572,8.239
SSZ1,0.6148072762999892,1.021,0.3402857142857143,2.198
SSF1,1.5376590388458855,2.543,0.6774285714285714,5.970000000000001
DYS1,0.39858066126125496,0.587,0.2752857142857143,1.611
PEX18,0.7109215915732764,1.274,0.5078571428571429,2.424
ULP2,0.7103926779896201,1.004,0.3398571428571428,1.943
PRM2,0.691803677268585,0.964,0.36114285714285715,2.073
OM45,1.4056020914235507,1.937,0.8955714285714285,3.9219999999999997
