perturbation_index,perturbation_level,recoverability,delta_persistence,k_star,safety_margin,confidence,largest_component_fraction,weighted_degree_retention,propagation_retention,visible_failure
0,0.0,1.0,0.0,25,0.8333333333333334,0.0,1.0,1.0,0.9999999999999998,False
1,0.03333333333333333,0.9880158904820118,-0.011984109517988228,25,0.8,0.011984109517988228,1.0,0.986686028308934,0.9999693000794225,False
2,0.06666666666666667,0.9760284427607194,-0.011987447721292344,25,0.7666666666666667,0.011987447721292344,1.0,0.9733720566178682,0.9998718360927604,False
3,0.1,0.9640371998173476,-0.011991242943371838,25,0.7333333333333334,0.011991242943371838,1.0,0.9600580849268019,0.999698467664516,False
4,0.13333333333333333,0.9520416194165695,-0.011995580400778083,25,0.7000000000000001,0.011995580400778083,1.0,0.9467441132357362,0.9994383500881381,False
5,0.16666666666666666,0.9400410558342639,-0.012000563582305612,25,0.6666666666666667,0.012000563582305612,1.0,0.9334301415446701,0.9990785688812152,False
6,0.2,0.9280347373602226,-0.012006318474041322,25,0.6333333333333333,0.012006318474041322,1.0,0.9201161698536039,0.9986036898395801,False
7,0.23333333333333334,0.916021738560352,-0.012012998799870611,25,0.6000000000000001,0.012012998799870611,1.0,0.9068021981625378,0.9979952042813576,False
8,0.26666666666666666,0.9040009460427221,-0.012020792517629886,25,0.5666666666666667,0.012020792517629886,1.0,0.8934882264714716,0.9972308443679522,False
9,0.3,0.8919710161828849,-0.012029929859837196,25,0.5333333333333334,0.012029929859837196,1.0,0.8801742547804059,0.9962837376103898,False
10,0.3333333333333333,0.8799303229227731,-0.012040693260111812,25,0.5,0.012040693260111812,1.0,0.8668602830893398,0.9951213628473435,False
11,0.36666666666666664,0.8678768933656408,-0.01205342955713229,25,0.46666666666666673,0.01205342955713229,1.0,0.8535463113982735,0.9937042621438905,False
12,0.4,0.8558083284574647,-0.012068564908176094,25,0.43333333333333335,0.012068564908176094,1.0,0.8402323397072076,0.9919844544195562,False
13,0.43333333333333335,0.8437217055994035,-0.012086622858061169,25,0.4,0.012086622858061169,1.0,0.8269183680161415,0.9899034876975233,False
14,0.4666666666666667,0.8316134596273643,-0.012108245972039189,25,0.3666666666666667,0.012108245972039189,1.0,0.8136043963250754,0.9873900586959261,False
15,0.5,0.8194792383095519,-0.012134221317812388,25,0.33333333333333337,0.012134221317812388,1.0,0.8002904246340092,0.9843571227788716,False
16,0.5333333333333333,0.807313728478521,-0.01216550983103093,25,0.30000000000000004,0.01216550983103093,1.0,0.7869764529429433,0.9806984165974398,False
17,0.5666666666666667,0.7951104492860628,-0.012203279192458227,25,0.2666666666666667,0.012203279192458227,1.0,0.7736624812518773,0.9762843231874618,False
18,0.6,0.7828615099572581,-0.012248939328804664,25,0.2333333333333334,0.012248939328804664,1.0,0.7603485095608111,0.9709570270505601,False
19,0.6333333333333333,0.7705573306577161,-0.012304179299541973,25,0.20000000000000007,0.012304179299541973,1.0,0.7470345378697452,0.9645249314989086,False
20,0.6666666666666666,0.7581863256211372,-0.012371005036578953,25,0.16666666666666674,0.012371005036578953,1.0,0.7337205661786791,0.9567563212065191,False
21,0.7,0.7457345440863444,-0.01245178153479276,25,0.13333333333333341,0.01245178153479276,1.0,0.7204065944876131,0.9473721809498499,False
22,0.7333333333333333,0.7331852476514379,-0.012549296434906543,25,0.10000000000000009,0.012549296434906543,1.0,0.7070926227965469,0.9360377426909107,False
23,0.7666666666666666,0.7205183498144019,-0.012666897837036006,25,0.06666666666666676,0.012666897837036006,1.0,0.693778651105481,0.9223512763893793,False
24,0.8,0.7077095025566259,-0.01280884725777598,25,0.033333333333333326,0.01280884725777598,1.0,0.6804646794144149,0.9058258216730465,False
25,0.8333333333333334,0.6947282691707978,-0.012981233385828128,25,0.0,0.012981233385828128,1.0,0.6671507077233488,0.8858526443956751,False
26,0.8666666666666667,0.6353801662911931,-0.05934810287960468,25,-0.033333333333333326,0.05934810287960468,0.07692307692307693,0.6538367360322828,0.8616190003196961,True
27,0.9,0.621912388454955,-0.013467777836238093,25,-0.06666666666666665,0.05934810287960468,0.07692307692307693,0.6405227643412167,0.8319149340341232,True
28,0.9333333333333333,0.6080674322715922,-0.013844956183362789,25,-0.09999999999999998,0.05934810287960468,0.07692307692307693,0.6272087926501506,0.7946673008060554,True
29,0.9666666666666667,0.593637212159154,-0.014430220112438219,25,-0.1333333333333333,0.05934810287960468,0.07692307692307693,0.6138948209590845,0.7457143889964821,True
30,1.0,0.578094451971412,-0.015542760187742033,25,-0.16666666666666663,0.05934810287960468,0.07692307692307693,0.6005808492680187,0.6745106756808266,True
