perturbation_index,perturbation_level,recoverability,delta_persistence,k_star,safety_margin,confidence,final_morphology_match,trajectory_coherence,interaction_support_retention,spatial_continuity_retention,visible_failure
0,0.0,0.9735417612540826,0.0,26,0.8666666666666667,0.0,0.9537052156467829,0.9679529243053396,1.0,1.0,False
1,0.03333333333333333,0.9650209021629911,-0.00852085909109157,26,0.8333333333333334,0.00852085909109157,0.9427429832362548,0.9629741352359321,0.9876365390192148,1.0,False
2,0.06666666666666667,0.9555897501716318,-0.009431151991359243,26,0.8,0.009431151991359243,0.9296642400023845,0.9574656145662185,0.9752730780384297,1.0,False
3,0.1,0.945660927368803,-0.009928822802828807,26,0.7666666666666667,0.009928822802828807,0.9154451439793706,0.9516491334737882,0.9629096170576444,1.0,False
4,0.13333333333333333,0.9354427623996185,-0.010218164969184484,26,0.7333333333333334,0.010218164969184484,0.9005734590075356,0.9456422272742699,0.9505461560768593,1.0,False
5,0.16666666666666666,0.9250449189852957,-0.010397843414322816,26,0.7000000000000001,0.010397843414322816,0.8853024975698185,0.9395105345682522,0.9381826950960741,1.0,False
6,0.2,0.9145288990595356,-0.010516019925760123,26,0.6666666666666667,0.010516019925760123,0.869772422862881,0.9332929454022038,0.9258192341152888,1.0,False
7,0.23333333333333334,0.9039313576903655,-0.010597541369170127,26,0.6333333333333333,0.010597541369170127,0.8540657343572874,0.9270137730677783,0.9134557731345037,1.0,False
8,0.26666666666666666,0.8932753277586,-0.01065602993176551,26,0.6000000000000001,0.01065602993176551,0.8382336870014773,0.920688935217667,0.9010923121537184,1.0,False
9,0.3,0.8825759453899688,-0.010699382368631216,26,0.5666666666666667,0.010699382368631216,0.8223096192062659,0.9143292683579451,0.8887288511729332,1.0,False
10,0.3333333333333333,0.8718435405806576,-0.010732404809311147,26,0.5333333333333334,0.010732404809311147,0.8063160728407998,0.9079423985573146,0.876365390192148,1.0,False
11,0.36666666666666664,0.8610853929822001,-0.010758147598457501,26,0.5,0.010758147598457501,0.7902687992920235,0.9015338466473471,0.8640019292113628,1.0,False
12,0.4,0.8503067751482722,-0.010778617833927862,26,0.4666666666666667,0.010778617833927862,0.7741791187560569,0.8951077078937747,0.8516384682305776,1.0,False
13,0.43333333333333335,0.8395115971631287,-0.010795177985143511,26,0.43333333333333335,0.010795177985143511,0.7580553662226841,0.888667084914816,0.8392750072497925,1.0,False
14,0.4666666666666667,0.8287028188180159,-0.010808778345112846,26,0.4,0.010808778345112846,0.741903809124143,0.8822143720541066,0.8269115462690073,1.0,False
15,0.5,0.8178827211784286,-0.010820097639587245,26,0.3666666666666667,0.010820097639587245,0.7257292477585137,0.875751447315292,0.8145480852882221,1.0,False
16,0.5333333333333333,0.8070530903000466,-0.010829630878382068,26,0.33333333333333337,0.010829630878382068,0.7095354188720131,0.8692798050561962,0.8021846243074368,1.0,False
17,0.5666666666666667,0.7962153444576971,-0.010837745842349422,26,0.30000000000000004,0.010837745842349422,0.6933252734821704,0.8628006497102332,0.7898211633266516,1.0,False
18,0.6,0.7853706241133671,-0.010844720344330039,26,0.2666666666666667,0.010844720344330039,0.6771011722385123,0.8563149632606913,0.7774577023458664,1.0,False
19,0.6333333333333333,0.7745198567363546,-0.010850767377012516,26,0.2333333333333334,0.010850767377012516,0.6608650254378103,0.8498235546620334,0.7650942413650813,1.0,False
20,0.6666666666666666,0.763663804297783,-0.010856052438571573,26,0.20000000000000007,0.010856052438571573,0.6446183951080761,0.8433270966058828,0.752730780384296,1.0,False
21,0.7,0.7528030986044925,-0.010860705693290562,26,0.16666666666666674,0.010860705693290562,0.6283625706000109,0.8368261532612843,0.740367319403511,1.0,False
22,0.7333333333333333,0.7419382679522748,-0.01086483065221766,26,0.13333333333333341,0.01086483065221766,0.6120986253550036,0.8303212014760696,0.7280038584227256,1.0,False
23,0.7666666666666666,0.7310697574865473,-0.010868510465727454,26,0.10000000000000009,0.010868510465727454,0.5958274600881182,0.8238126471725652,0.7156403974419405,1.0,False
24,0.8,0.7201979449369734,-0.010871812549573923,26,0.06666666666666665,0.010871812549573923,0.5795498360256319,0.8173008381647295,0.7032769364611553,1.0,False
25,0.8333333333333334,0.7093231529070109,-0.010874792029962554,26,0.033333333333333326,0.010874792029962554,0.5632664007655501,0.8107860742780494,0.6909134754803701,1.0,False
26,0.8666666666666667,0.6984456585671944,-0.01087749433981644,26,0.0,0.01087749433981644,0.5469777085997941,0.8042686154136574,0.6785500144995849,1.0,False
27,0.9,0.6875657013702351,-0.010879957196959333,26,-0.033333333333333326,0.010879957196959333,0.5306842366318825,0.797748688029301,0.6661865535187997,1.0,False
28,0.9333333333333333,0.6766834892434624,-0.01088221212677265,26,-0.06666666666666665,0.01088221212677265,0.514386397669584,0.791226490389389,0.6538230925380145,1.0,False
29,0.9666666666666667,0.6657992035981213,-0.010884285645341163,26,-0.09999999999999998,0.010884285645341163,0.4980845506200219,0.7847021968493948,0.6414596315572293,1.0,True
30,1.0,0.654913003411203,-0.010886200186918327,26,-0.1333333333333333,0.010886200186918327,0.4817790089332711,0.7781759613763972,0.6290961705764441,1.0,True
