perturbation_index,perturbation_level,recoverability,delta_persistence,k_star,safety_margin,confidence,largest_component_fraction,weighted_degree_retention,spatial_coherence_retention,propagation_retention,visible_failure
0,0.0,1.0,0.0,24,0.8,0.0,1.0,1.0,1.0,1.0,False
1,0.03333333333333333,0.98815815510522,-0.011841844894780018,24,0.7666666666666667,0.011841844894780018,1.0,0.9801038789340831,0.9884904077171958,0.9999253843705576,False
2,0.06666666666666667,0.9762919574263441,-0.011866197678875867,24,0.7333333333333334,0.011866197678875867,1.0,0.9602077578681661,0.9769808154343915,0.9996884168471435,False
3,0.1,0.9643981862342181,-0.01189377119212598,24,0.7000000000000001,0.01189377119212598,1.0,0.9403116368022493,0.9654712231515871,0.9992676259020618,False
4,0.13333333333333333,0.9524732287375762,-0.011924957496641908,24,0.6666666666666667,0.011924957496641908,1.0,0.9204155157363322,0.9539616308687828,0.9986389262602076,False
5,0.16666666666666666,0.9405130339875204,-0.01196019475005583,24,0.6333333333333334,0.01196019475005583,1.0,0.9005193946704154,0.9424520385859786,0.9977753115955919,False
6,0.2,0.9285130622301756,-0.011999971757344796,24,0.6000000000000001,0.011999971757344796,1.0,0.8806232736044984,0.9309424463031744,0.9966465168823845,False
7,0.23333333333333334,0.9164682296141755,-0.01204483261600009,24,0.5666666666666667,0.01204483261600009,1.0,0.8607271525385815,0.91943285402037,0.995218649778142,False
8,0.26666666666666666,0.9043728483088028,-0.012095381305372688,24,0.5333333333333334,0.012095381305372688,1.0,0.8408310314726645,0.9079232617375657,0.9934537914114161,False
9,0.3,0.8922205623030429,-0.012152286005759905,24,0.5,0.012152286005759905,1.0,0.8209349104067476,0.8964136694547614,0.9913095683754412,False
10,0.3333333333333333,0.880004279454147,-0.012216282848895865,24,0.46666666666666673,0.012216282848895865,1.0,0.8010387893408306,0.8849040771719572,0.9887386997185601,False
11,0.36666666666666664,0.8677161007584405,-0.012288178695706531,24,0.4333333333333334,0.012288178695706531,1.0,0.7811426682749137,0.8733944848891528,0.9856885254162736,False
12,0.4,0.8553472483515612,-0.01236885240687935,24,0.4,0.01236885240687935,1.0,0.7612465472089966,0.8618848926063486,0.9821005263728371,False
13,0.43333333333333335,0.8428879944359046,-0.01245925391565661,24,0.3666666666666667,0.01245925391565661,1.0,0.7413504261430799,0.8503753003235442,0.9779098506042168,False
14,0.4666666666666667,0.8303275942041147,-0.012560400231789837,24,0.33333333333333337,0.012560400231789837,1.0,0.7214543050771628,0.83886570804074,0.9730448660613766,False
15,0.5,0.817654226897141,-0.01267336730697377,24,0.30000000000000004,0.01267336730697377,1.0,0.7015581840112459,0.8273561157579357,0.9674267676839761,False
16,0.5333333333333333,0.8048549504077966,-0.012799276489344313,24,0.2666666666666667,0.012799276489344313,1.0,0.6816620629453292,0.8158465234751314,0.9609692747574381,False
17,0.5666666666666667,0.7919156762943522,-0.012939274113444421,24,0.2333333333333334,0.012939274113444421,1.0,0.6617659418794121,0.8043369311923271,0.9535784643369004,False
18,0.6,0.7788211736388624,-0.013094502655489837,24,0.20000000000000007,0.013094502655489837,1.0,0.6418698208134952,0.7928273389095228,0.9451527969693931,False
19,0.6333333333333333,0.7655551117401033,-0.013266061898759118,24,0.16666666666666674,0.013266061898759118,1.0,0.6219736997475782,0.7813177466267185,0.9355834013134221,False
20,0.6666666666666666,0.7521001529399476,-0.01345495880015568,24,0.13333333333333341,0.01345495880015568,1.0,0.6020775786816612,0.7698081543439141,0.9247546929814765,False
21,0.7,0.738438107570596,-0.013662045369351561,24,0.10000000000000009,0.013662045369351561,1.0,0.5821814576157442,0.75829856206111,0.9125454075215577,False
22,0.7333333333333333,0.7245501625027625,-0.01388794506783353,24,0.06666666666666676,0.01388794506783353,1.0,0.5622853365498275,0.7467889697783057,0.8988301240717583,False
23,0.7666666666666666,0.7104171922093538,-0.014132970293408653,24,0.03333333333333344,0.014132970293408653,1.0,0.5423892154839104,0.7352793774955013,0.8834813391181255,False
24,0.8,0.6960201553389092,-0.01439703687044469,24,0.0,0.01439703687044469,1.0,0.5224930944179933,0.723769785212697,0.8663721103175869,False
25,0.8333333333333334,0.6813405684764795,-0.01467958686242965,24,-0.033333333333333326,0.01467958686242965,1.0,0.5025969733520765,0.7122601929298927,0.8473792149038123,False
26,0.8666666666666667,0.6663610284897042,-0.014979539986775259,24,-0.06666666666666665,0.014979539986775259,1.0,0.48270085228615955,0.7007506006470885,0.8263866319944022,False
27,0.9,0.6510657182964794,-0.015295310193224831,24,-0.09999999999999998,0.015295310193224831,1.0,0.46280473122024257,0.6892410083642841,0.8032889143753288,False
28,0.9333333333333333,0.6330970096872591,-0.017968708609220285,24,-0.1333333333333333,0.017968708609220285,0.984375,0.4429086101543257,0.6777314160814799,0.7779935406496176,False
29,0.9666666666666667,0.6030678614499533,-0.030029148237305847,24,-0.16666666666666663,0.030029148237305847,0.890625,0.4230124890884087,0.6662218237986756,0.7504202360700032,False
30,1.0,0.5633103958933554,-0.03975746555659787,24,-0.19999999999999996,0.03975746555659787,0.734375,0.4031163680224918,0.6547122315158713,0.7204914826951081,True
