left_observation_id,right_observation_id,component,value,availability,normalization_method,source_fields,warnings
obs_c21d789f14a613fc6b0083e2,obs_c21d789f14a613fc6b0083e2,d_addr,0.0,available,exact operational branch-signature match,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_c21d789f14a613fc6b0083e2,d_causal,0.0,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_c21d789f14a613fc6b0083e2,d_inv,0.0,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_c21d789f14a613fc6b0083e2,d_spec,0.0,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_c21d789f14a613fc6b0083e2,d_struct,0.0,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_c21d789f14a613fc6b0083e2,d_time,0.0,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_afd8912a0e32fb71b5407b81,d_addr,0.25,available,operational address mismatch from dominant prefix/depth fields,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_afd8912a0e32fb71b5407b81,d_causal,0.17977763590786575,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_afd8912a0e32fb71b5407b81,d_inv,0.3372410553516729,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_afd8912a0e32fb71b5407b81,d_spec,0.23279508364559562,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_afd8912a0e32fb71b5407b81,d_struct,0.0,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_afd8912a0e32fb71b5407b81,d_time,0.018140561224489794,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_ed1f0ceddbbf708b259ea1a6,d_addr,0.0,available,exact operational branch-signature match,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_ed1f0ceddbbf708b259ea1a6,d_causal,0.0,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_ed1f0ceddbbf708b259ea1a6,d_inv,0.3770421455678638,available,mean bounded relative numeric difference,invariant_summary,
obs_c21d789f14a613fc6b0083e2,obs_ed1f0ceddbbf708b259ea1a6,d_spec,0.47727968175725527,available,mean bounded relative low-mode descriptor difference,spectral_low_mode_summary,
obs_c21d789f14a613fc6b0083e2,obs_ed1f0ceddbbf708b259ea1a6,d_struct,0.33333333333333337,available,edge-set Jaccard plus bounded edge-count drift,influence_edge_summary.edges|influence_edge_summary.edge_count,
obs_c21d789f14a613fc6b0083e2,obs_ed1f0ceddbbf708b259ea1a6,d_time,0.17819353741496596,available,event-chain rank distance plus tau-grid normalized event-time drift,event_chain_summary.chain_signature|event_chain_summary.event_times,
obs_c21d789f14a613fc6b0083e2,obs_46ade388243f3a4581ba4489,d_addr,0.25,available,operational address mismatch from dominant prefix/depth fields,branch_signature_id|address_summary,
obs_c21d789f14a613fc6b0083e2,obs_46ade388243f3a4581ba4489,d_causal,0.17977763590786575,available,"bounded causal-depth, acyclicity, and order-compatibility differences",causal_summary,
obs_c21d789f14a613fc6b0083e2,obs_46ade388243f3a4581ba4489,d_inv,0.33641298410684595,available,mean bounded relative numeric difference,invariant_summary,
