variant_type,component_under_test,enabled_components,control_scope,target_mean,target_variance,control_mean,control_variance,failing_control_families,variant_verdict,base_verdict,verdict_changed,flags,reasons
single_component,d_inv,d_inv,focus_controls,0.2857688283663579,0.004639825656019585,0.055646325496553364,0.011648583443803808,periodic_diagonal_augmented_control|randomized_edge_control|shuffled_structure_control,FAIL,FAIL,False,single_component_reproduces_base_verdict|control_reversal,target distances exceed closure threshold|pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
single_component,d_inv,d_inv,all_negative_controls,0.2857688283663579,0.004639825656019585,0.19051509187947527,0.11684872387086857,periodic_diagonal_augmented_control|shuffled_structure_control|randomized_edge_control|degraded_signal_control|label_permutation_control|generic_graph_operator_control,FAIL,FAIL,False,single_component_reproduces_base_verdict|control_reversal,target distances exceed closure threshold|pooled controls equal or beat target|degraded_signal_control equals or beats target|generic_graph_operator_control equals or beats target|label_permutation_control equals or beats target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
leave_one_out,d_inv,d_struct|d_spec|d_causal|d_time|d_addr,focus_controls,0.19453079028061518,5.241335270811964e-05,0.19646166767660972,0.0016031105502531799,periodic_diagonal_augmented_control,FAIL,FAIL,False,control_reversal,periodic_diagonal_augmented_control equals or beats target|seed count below configured PASS minimum
leave_one_out,d_inv,d_struct|d_spec|d_causal|d_time|d_addr,all_negative_controls,0.19453079028061518,5.241335270811964e-05,0.30552986569919666,0.015169278626084404,periodic_diagonal_augmented_control,FAIL,FAIL,False,control_reversal,periodic_diagonal_augmented_control equals or beats target|seed count below configured PASS minimum
single_component,d_struct,d_struct,focus_controls,0.37373737373737376,0.003264972961942656,0.3691077441077441,0.0225321750048181,periodic_diagonal_augmented_control,FAIL,FAIL,False,single_component_reproduces_base_verdict|control_reversal,target distances exceed closure threshold|pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|seed count below configured PASS minimum
single_component,d_struct,d_struct,all_negative_controls,0.37373737373737376,0.003264972961942656,0.5078763828763828,0.045588339619424274,periodic_diagonal_augmented_control,FAIL,FAIL,False,single_component_reproduces_base_verdict|control_reversal,target distances exceed closure threshold|periodic_diagonal_augmented_control equals or beats target|seed count below configured PASS minimum
leave_one_out,d_struct,d_inv|d_spec|d_causal|d_time|d_addr,focus_controls,0.17693708120641202,0.00043884062725461383,0.13376938395437155,0.002205977057242499,periodic_diagonal_augmented_control|randomized_edge_control|shuffled_structure_control,FAIL,FAIL,False,control_reversal,pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
leave_one_out,d_struct,d_inv|d_spec|d_causal|d_time|d_addr,all_negative_controls,0.17693708120641202,0.00043884062725461383,0.24205760749981511,0.028246253888499342,periodic_diagonal_augmented_control|shuffled_structure_control|randomized_edge_control|label_permutation_control,FAIL,FAIL,False,control_reversal,label_permutation_control equals or beats target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
single_component,d_spec,d_spec,focus_controls,0.4345174733573122,0.0011504379593388148,0.11707917838950212,0.04245521245452783,periodic_diagonal_augmented_control|randomized_edge_control|shuffled_structure_control,FAIL,FAIL,False,single_component_reproduces_base_verdict|control_reversal,target distances exceed closure threshold|pooled controls equal or beat target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
single_component,d_spec,d_spec,all_negative_controls,0.4345174733573122,0.0011504379593388148,0.24065298121454853,0.12488604984851834,periodic_diagonal_augmented_control|shuffled_structure_control|randomized_edge_control|degraded_signal_control|label_permutation_control|generic_graph_operator_control,FAIL,FAIL,False,single_component_reproduces_base_verdict|control_reversal,target distances exceed closure threshold|pooled controls equal or beat target|degraded_signal_control equals or beats target|generic_graph_operator_control equals or beats target|label_permutation_control equals or beats target|periodic_diagonal_augmented_control equals or beats target|randomized_edge_control equals or beats target|shuffled_structure_control equals or beats target|seed count below configured PASS minimum
