mode,lambda,observed_decay_rate,predicted_decay_rate,residual,relative_residual,scale_class
1,0.00963054665561,0.00173473173336,0.00173356318706,1.16854629851e-06,0.000673617871882,long_wavelength
2,0.0384294391935,0.00693694540884,0.00693263947773,4.30593111683e-06,0.000620724376949,long_wavelength
3,0.0861193285356,0.0156002082128,0.0155918250086,8.38320423584e-06,0.000537377714546,long_wavelength
4,0.152240934977,0.0277121918582,0.0277002608729,1.19309853111e-05,0.00043053199733,long_wavelength
5,0.236157471303,0.0432523333887,0.0432389502652,1.33831235161e-05,0.000309419688316,shorter_wavelength
6,0.337060775395,0.0621887003187,0.0621771901777,1.15101409433e-05,0.00018508412114,shorter_wavelength
7,0.453979093275,0.0844741946774,0.0844682961718,5.89850554189e-06,6.98261234027e-05,shorter_wavelength
8,0.585786437627,0.110042261504,0.110044837055,-2.57555096715e-06,2.34051075646e-05,shorter_wavelength
9,0.731213431673,0.138802293204,0.138813625762,-1.13325584595e-05,8.16453258654e-05,shorter_wavelength
10,0.888859533961,0.170634941257,0.170650732138,-1.579088046e-05,9.2541892907e-05,shorter_wavelength
11,1.05720652635,0.20538756057,0.205396791787,-9.23121659316e-06,4.49453538838e-05,shorter_wavelength
12,1.23463313527,0.242870018922,0.242852882325,1.71365970055e-05,7.05587172991e-05,shorter_wavelength
