partition,condition,admissible,seed,perturbation_family,magnitude,eta,inequality_margin,post_state_error,final_state_error,state_recovery_gain,post_trajectory_error,final_trajectory_error,trajectory_recovery_gain,operator_recovery,identity_sign_agreement,identity_margin_score,node_rank_identity,functional_recovery,final_functional_error,overshoot,corrective_cost,variance_ratio,mean_shift
calibration,target,True,6101,localized_block_shock,0.2,0.7,0.05,0.08983615372180931,1.3435726145965583e-05,0.9998504418812545,0.19999999999999996,0.12507438734544982,0.3746280632727508,0.9829059829059829,1.0,0.9916103280910038,0.9934065934065933,0.09948777181103897,0.04778124339872296,0.0,0.001481129107615996,0.9979763338459195,2.7755575615628914e-17
calibration,target,True,6101,localized_block_shock,0.45,0.7,0.05,0.30618308729472565,0.0004863494513075202,0.9984115731028624,0.45,0.18908283841970552,0.5798159146228766,0.9658119658119658,1.0,0.9833965106926792,0.9798076923076922,0.164012581140726,0.09980449287514567,0.0,0.015005176925769904,1.036459361285452,5.551115123125783e-17
calibration,target,True,6101,localized_block_shock,0.7,0.7,0.05,0.546818999079189,0.000781546560400273,0.9985707399309162,0.6999999999999998,0.23900376037423982,0.6585660566082288,0.9572649572649573,1.0,0.9782582980835146,0.97014652014652,0.21019716758766735,0.14667448222148427,0.0,0.05344049453395256,1.0940511402743371,2.7755575615628914e-17
calibration,target,True,6101,sparse_node_corruption,0.2,0.7,0.05,0.08403419459779268,4.299707074463048e-05,0.999488338396644,0.19999999999999998,0.15579434707286616,0.22102826463566916,0.9658119658119658,1.0,0.981007111320763,0.9919871794871794,0.15312915075767808,0.05942694427275996,0.0,0.0012140012960638476,1.0731622005814077,0.0
calibration,target,True,6101,sparse_node_corruption,0.45,0.7,0.05,0.2774052572056608,7.946560454667739e-05,0.9997135396590996,0.45,0.28747427216080834,0.3611682840870926,0.9444444444444444,1.0,0.972717834071042,0.9748626373626372,0.13798261500107728,0.13610207870444957,0.0,0.012985891702121074,1.229510480879444,2.7755575615628914e-17
calibration,target,True,6101,sparse_node_corruption,0.7,0.7,0.05,0.5022869764988174,0.00013352082577904978,0.9997341742230513,0.6999999999999998,0.4181741380005649,0.40260837428490714,0.9273504273504274,1.0,0.9679609003668064,0.9681318681318679,0.13137656174081483,0.21333681336379245,0.0,0.04345628622894178,1.4362307222554405,2.7755575615628914e-17
calibration,target,True,6101,relational_twist,0.2,0.7,0.05,0.06532388264293675,2.634183276938406e-07,0.9999959675035066,0.2,0.1611527881006631,0.19423605949668452,0.9358974358974359,1.0,0.9707909333278778,0.9892399267399264,0.0,0.009515215124298104,0.0,0.0007144942318330318,1.0363517688524602,8.326672684688674e-17
calibration,target,True,6101,relational_twist,0.45,0.7,0.05,0.237524714524528,0.00033675607491101046,0.9985822272196595,0.44999999999999996,0.2757027497644836,0.3873272227455919,0.8846153846153846,1.0,0.9545351941204545,0.9742673992673992,0.0,0.04371923681277711,0.0,0.010505543530765804,1.1488768930330802,2.7755575615628914e-17
calibration,target,True,6101,relational_twist,0.7,0.7,0.05,0.45311145042431616,0.0005643093050909,0.9987545904996168,0.7,0.35441032568637776,0.493699534733746,0.8803418803418803,1.0,0.9479638930202269,0.962087912087912,0.0,0.10095198696055269,0.0,0.036539017562259336,1.3045297809243601,5.551115123125783e-17
calibration,target,True,6102,localized_block_shock,0.2,0.7,0.05,0.12911895433592588,2.694109200616558e-07,0.9999979134673026,0.2,0.11861606029114866,0.40691969854425675,0.9957805907172996,1.0,0.9968747681535691,0.9993131868131866,0.05598830501350517,0.05270126746639019,0.0,0.0028232823652078196,1.0961140971842323,0.0
calibration,target,True,6102,localized_block_shock,0.45,0.7,0.05,0.35378372558844384,0.00012288211213206394,0.9996526631858837,0.45000000000000007,0.2606509917669369,0.4207755738512514,0.9831223628691983,1.0,0.9935068251637105,0.9986721611721611,0.042422179442454556,0.12028190063267048,0.0,0.020897451274891277,1.2646044729049402,0.0
calibration,target,True,6102,localized_block_shock,0.7,0.7,0.05,0.5861900152088321,0.00022973276777634916,0.9996080916395437,0.7,0.397328030740663,0.43238852751333856,0.9831223628691983,1.0,0.9933366735867883,0.9985805860805859,0.04496238339413873,0.18660883757245564,0.0,0.06810257429726206,1.473512137077194,0.0
calibration,target,True,6102,sparse_node_corruption,0.2,0.7,0.05,0.07525043011504162,1.252773700655108e-05,0.9998335193966679,0.20000000000000004,0.1594716515421907,0.20264174228904666,0.9662447257383966,1.0,0.9840601455388223,0.9874084249084248,-0.0011593551019743117,0.07595669767333191,0.0,0.0010227466515874183,1.0660601532922396,0.0
calibration,target,True,6102,sparse_node_corruption,0.45,0.7,0.05,0.256780935350578,0.0002980496017515162,0.9988392845389998,0.45000000000000007,0.28232381014623603,0.3726137552305867,0.919831223628692,1.0,0.9662763536367487,0.9681776556776556,0.037361348716570195,0.1643269060225598,0.0,0.011916812947745313,1.2154880434249433,0.0
