condition,component,metric,value
known_positive,shell,class_counts_0,1
known_positive,shell,class_counts_1,4
known_positive,shell,class_counts_2,4
known_positive,shell,class_counts_3,8
known_positive,shell,class_counts_4,88
known_positive,shell,class_counts_5,184
known_positive,shell,prime_count,100
known_positive,shell,distinct_prime_shells,14
known_positive,shell,prime_shell_alignment,1
known_positive,shell,prime_shell_entropy,3.76385618977
known_positive,spectral,eigenvalues_0,-1.57487501696e-16
known_positive,spectral,eigenvalues_1,0.0110539702987
known_positive,spectral,eigenvalues_2,0.0110539702987
known_positive,spectral,eigenvalues_3,0.0212952086784
known_positive,spectral,eigenvalues_4,0.0212952086784
known_positive,spectral,eigenvalues_5,0.0397101435025
known_positive,spectral,eigenvalues_6,0.0544465909941
known_positive,spectral,eigenvalues_7,0.0544465909941
known_positive,spectral,eigenvalues_8,0.0573359330888
known_positive,spectral,eigenvalues_9,0.0573359330888
known_positive,spectral,eigenvalues_10,0.0676941515114
known_positive,spectral,eigenvalues_11,0.0771764648858
known_positive,spectral,spectral_gap,0.0110539702987
known_positive,spectral,zero_mode_count,1
known_positive,spectral,low_mode_sum,0.47284416602
known_positive,norm_lift,edge_norm_gradient_mean,8
known_positive,norm_lift,edge_norm_gradient_std,4.58257569496
known_positive,norm_lift,origin_graph_radial_correlation,0.973995128201
known_positive,norm_lift,finite_origin_reachability,1
known_positive,cochain,edge_flow_abs_mean,8
known_positive,cochain,edge_flow_abs_std,4.58257569496
known_positive,cochain,divergence_l2,0.455645099554
known_positive,cochain,divergence_abs_mean,6.22837370242
rotation_invariance_control,shell,class_counts_0,1
rotation_invariance_control,shell,class_counts_1,4
rotation_invariance_control,shell,class_counts_2,4
rotation_invariance_control,shell,class_counts_3,8
rotation_invariance_control,shell,class_counts_4,88
rotation_invariance_control,shell,class_counts_5,184
rotation_invariance_control,shell,prime_count,100
rotation_invariance_control,shell,distinct_prime_shells,14
rotation_invariance_control,shell,prime_shell_alignment,1
rotation_invariance_control,shell,prime_shell_entropy,3.76385618977
rotation_invariance_control,spectral,eigenvalues_0,-1.57487501696e-16
rotation_invariance_control,spectral,eigenvalues_1,0.0110539702987
rotation_invariance_control,spectral,eigenvalues_2,0.0110539702987
rotation_invariance_control,spectral,eigenvalues_3,0.0212952086784
rotation_invariance_control,spectral,eigenvalues_4,0.0212952086784
rotation_invariance_control,spectral,eigenvalues_5,0.0397101435025
rotation_invariance_control,spectral,eigenvalues_6,0.0544465909941
rotation_invariance_control,spectral,eigenvalues_7,0.0544465909941
rotation_invariance_control,spectral,eigenvalues_8,0.0573359330888
rotation_invariance_control,spectral,eigenvalues_9,0.0573359330888
rotation_invariance_control,spectral,eigenvalues_10,0.0676941515114
rotation_invariance_control,spectral,eigenvalues_11,0.0771764648858
rotation_invariance_control,spectral,spectral_gap,0.0110539702987
rotation_invariance_control,spectral,zero_mode_count,1
