node_id,a,b,norm,gaussian_class
0,-8,-8,128,composite_or_nonprime
1,-8,-7,113,split_norm_prime
2,-8,-6,100,composite_or_nonprime
3,-8,-5,89,split_norm_prime
4,-8,-4,80,composite_or_nonprime
5,-8,-3,73,split_norm_prime
6,-8,-2,68,composite_or_nonprime
7,-8,-1,65,composite_or_nonprime
8,-8,0,64,composite_or_nonprime
9,-8,1,65,composite_or_nonprime
10,-8,2,68,composite_or_nonprime
11,-8,3,73,split_norm_prime
12,-8,4,80,composite_or_nonprime
13,-8,5,89,split_norm_prime
14,-8,6,100,composite_or_nonprime
15,-8,7,113,split_norm_prime
16,-8,8,128,composite_or_nonprime
17,-7,-8,113,split_norm_prime
18,-7,-7,98,composite_or_nonprime
19,-7,-6,85,composite_or_nonprime
20,-7,-5,74,composite_or_nonprime
21,-7,-4,65,composite_or_nonprime
22,-7,-3,58,composite_or_nonprime
23,-7,-2,53,split_norm_prime
24,-7,-1,50,composite_or_nonprime
25,-7,0,49,inert_axis_prime
26,-7,1,50,composite_or_nonprime
27,-7,2,53,split_norm_prime
28,-7,3,58,composite_or_nonprime
29,-7,4,65,composite_or_nonprime
30,-7,5,74,composite_or_nonprime
31,-7,6,85,composite_or_nonprime
32,-7,7,98,composite_or_nonprime
33,-7,8,113,split_norm_prime
34,-6,-8,100,composite_or_nonprime
35,-6,-7,85,composite_or_nonprime
36,-6,-6,72,composite_or_nonprime
37,-6,-5,61,split_norm_prime
38,-6,-4,52,composite_or_nonprime
39,-6,-3,45,composite_or_nonprime
40,-6,-2,40,composite_or_nonprime
41,-6,-1,37,split_norm_prime
42,-6,0,36,composite_or_nonprime
43,-6,1,37,split_norm_prime
44,-6,2,40,composite_or_nonprime
45,-6,3,45,composite_or_nonprime
46,-6,4,52,composite_or_nonprime
47,-6,5,61,split_norm_prime
48,-6,6,72,composite_or_nonprime
49,-6,7,85,composite_or_nonprime
50,-6,8,100,composite_or_nonprime
51,-5,-8,89,split_norm_prime
52,-5,-7,74,composite_or_nonprime
53,-5,-6,61,split_norm_prime
54,-5,-5,50,composite_or_nonprime
55,-5,-4,41,split_norm_prime
56,-5,-3,34,composite_or_nonprime
57,-5,-2,29,split_norm_prime
58,-5,-1,26,composite_or_nonprime
59,-5,0,25,composite_or_nonprime
60,-5,1,26,composite_or_nonprime
61,-5,2,29,split_norm_prime
62,-5,3,34,composite_or_nonprime
63,-5,4,41,split_norm_prime
64,-5,5,50,composite_or_nonprime
65,-5,6,61,split_norm_prime
66,-5,7,74,composite_or_nonprime
67,-5,8,89,split_norm_prime
68,-4,-8,80,composite_or_nonprime
69,-4,-7,65,composite_or_nonprime
70,-4,-6,52,composite_or_nonprime
71,-4,-5,41,split_norm_prime
72,-4,-4,32,composite_or_nonprime
73,-4,-3,25,composite_or_nonprime
74,-4,-2,20,composite_or_nonprime
75,-4,-1,17,split_norm_prime
76,-4,0,16,composite_or_nonprime
77,-4,1,17,split_norm_prime
78,-4,2,20,composite_or_nonprime
79,-4,3,25,composite_or_nonprime
80,-4,4,32,composite_or_nonprime
81,-4,5,41,split_norm_prime
82,-4,6,52,composite_or_nonprime
83,-4,7,65,composite_or_nonprime
84,-4,8,80,composite_or_nonprime
85,-3,-8,73,split_norm_prime
86,-3,-7,58,composite_or_nonprime
87,-3,-6,45,composite_or_nonprime
88,-3,-5,34,composite_or_nonprime
89,-3,-4,25,composite_or_nonprime
90,-3,-3,18,composite_or_nonprime
91,-3,-2,13,split_norm_prime
92,-3,-1,10,composite_or_nonprime
93,-3,0,9,inert_axis_prime
94,-3,1,10,composite_or_nonprime
95,-3,2,13,split_norm_prime
96,-3,3,18,composite_or_nonprime
97,-3,4,25,composite_or_nonprime
98,-3,5,34,composite_or_nonprime
99,-3,6,45,composite_or_nonprime
100,-3,7,58,composite_or_nonprime
101,-3,8,73,split_norm_prime
102,-2,-8,68,composite_or_nonprime
103,-2,-7,53,split_norm_prime
104,-2,-6,40,composite_or_nonprime
105,-2,-5,29,split_norm_prime
106,-2,-4,20,composite_or_nonprime
107,-2,-3,13,split_norm_prime
108,-2,-2,8,composite_or_nonprime
109,-2,-1,5,split_norm_prime
110,-2,0,4,composite_or_nonprime
111,-2,1,5,split_norm_prime
112,-2,2,8,composite_or_nonprime
113,-2,3,13,split_norm_prime
114,-2,4,20,composite_or_nonprime
115,-2,5,29,split_norm_prime
116,-2,6,40,composite_or_nonprime
117,-2,7,53,split_norm_prime
118,-2,8,68,composite_or_nonprime
119,-1,-8,65,composite_or_nonprime
120,-1,-7,50,composite_or_nonprime
121,-1,-6,37,split_norm_prime
122,-1,-5,26,composite_or_nonprime
123,-1,-4,17,split_norm_prime
124,-1,-3,10,composite_or_nonprime
125,-1,-2,5,split_norm_prime
126,-1,-1,2,ramified_norm2
127,-1,0,1,unit
128,-1,1,2,ramified_norm2
129,-1,2,5,split_norm_prime
130,-1,3,10,composite_or_nonprime
131,-1,4,17,split_norm_prime
132,-1,5,26,composite_or_nonprime
133,-1,6,37,split_norm_prime
134,-1,7,50,composite_or_nonprime
135,-1,8,65,composite_or_nonprime
136,0,-8,64,composite_or_nonprime
137,0,-7,49,inert_axis_prime
138,0,-6,36,composite_or_nonprime
139,0,-5,25,composite_or_nonprime
140,0,-4,16,composite_or_nonprime
141,0,-3,9,inert_axis_prime
142,0,-2,4,composite_or_nonprime
143,0,-1,1,unit
144,0,0,0,origin
145,0,1,1,unit
146,0,2,4,composite_or_nonprime
147,0,3,9,inert_axis_prime
148,0,4,16,composite_or_nonprime
149,0,5,25,composite_or_nonprime
150,0,6,36,composite_or_nonprime
151,0,7,49,inert_axis_prime
152,0,8,64,composite_or_nonprime
153,1,-8,65,composite_or_nonprime
154,1,-7,50,composite_or_nonprime
155,1,-6,37,split_norm_prime
156,1,-5,26,composite_or_nonprime
157,1,-4,17,split_norm_prime
158,1,-3,10,composite_or_nonprime
159,1,-2,5,split_norm_prime
160,1,-1,2,ramified_norm2
161,1,0,1,unit
162,1,1,2,ramified_norm2
163,1,2,5,split_norm_prime
164,1,3,10,composite_or_nonprime
165,1,4,17,split_norm_prime
166,1,5,26,composite_or_nonprime
167,1,6,37,split_norm_prime
168,1,7,50,composite_or_nonprime
169,1,8,65,composite_or_nonprime
170,2,-8,68,composite_or_nonprime
171,2,-7,53,split_norm_prime
172,2,-6,40,composite_or_nonprime
173,2,-5,29,split_norm_prime
174,2,-4,20,composite_or_nonprime
175,2,-3,13,split_norm_prime
176,2,-2,8,composite_or_nonprime
177,2,-1,5,split_norm_prime
178,2,0,4,composite_or_nonprime
179,2,1,5,split_norm_prime
180,2,2,8,composite_or_nonprime
181,2,3,13,split_norm_prime
182,2,4,20,composite_or_nonprime
183,2,5,29,split_norm_prime
184,2,6,40,composite_or_nonprime
185,2,7,53,split_norm_prime
186,2,8,68,composite_or_nonprime
187,3,-8,73,split_norm_prime
188,3,-7,58,composite_or_nonprime
189,3,-6,45,composite_or_nonprime
190,3,-5,34,composite_or_nonprime
191,3,-4,25,composite_or_nonprime
192,3,-3,18,composite_or_nonprime
193,3,-2,13,split_norm_prime
194,3,-1,10,composite_or_nonprime
195,3,0,9,inert_axis_prime
196,3,1,10,composite_or_nonprime
197,3,2,13,split_norm_prime
198,3,3,18,composite_or_nonprime
199,3,4,25,composite_or_nonprime
200,3,5,34,composite_or_nonprime
201,3,6,45,composite_or_nonprime
202,3,7,58,composite_or_nonprime
203,3,8,73,split_norm_prime
204,4,-8,80,composite_or_nonprime
205,4,-7,65,composite_or_nonprime
206,4,-6,52,composite_or_nonprime
207,4,-5,41,split_norm_prime
208,4,-4,32,composite_or_nonprime
209,4,-3,25,composite_or_nonprime
210,4,-2,20,composite_or_nonprime
211,4,-1,17,split_norm_prime
212,4,0,16,composite_or_nonprime
213,4,1,17,split_norm_prime
214,4,2,20,composite_or_nonprime
215,4,3,25,composite_or_nonprime
216,4,4,32,composite_or_nonprime
217,4,5,41,split_norm_prime
218,4,6,52,composite_or_nonprime
219,4,7,65,composite_or_nonprime
220,4,8,80,composite_or_nonprime
221,5,-8,89,split_norm_prime
222,5,-7,74,composite_or_nonprime
223,5,-6,61,split_norm_prime
224,5,-5,50,composite_or_nonprime
225,5,-4,41,split_norm_prime
226,5,-3,34,composite_or_nonprime
227,5,-2,29,split_norm_prime
228,5,-1,26,composite_or_nonprime
229,5,0,25,composite_or_nonprime
230,5,1,26,composite_or_nonprime
231,5,2,29,split_norm_prime
232,5,3,34,composite_or_nonprime
233,5,4,41,split_norm_prime
234,5,5,50,composite_or_nonprime
235,5,6,61,split_norm_prime
236,5,7,74,composite_or_nonprime
237,5,8,89,split_norm_prime
238,6,-8,100,composite_or_nonprime
239,6,-7,85,composite_or_nonprime
240,6,-6,72,composite_or_nonprime
241,6,-5,61,split_norm_prime
242,6,-4,52,composite_or_nonprime
243,6,-3,45,composite_or_nonprime
244,6,-2,40,composite_or_nonprime
245,6,-1,37,split_norm_prime
246,6,0,36,composite_or_nonprime
247,6,1,37,split_norm_prime
248,6,2,40,composite_or_nonprime
249,6,3,45,composite_or_nonprime
250,6,4,52,composite_or_nonprime
251,6,5,61,split_norm_prime
252,6,6,72,composite_or_nonprime
253,6,7,85,composite_or_nonprime
254,6,8,100,composite_or_nonprime
255,7,-8,113,split_norm_prime
256,7,-7,98,composite_or_nonprime
257,7,-6,85,composite_or_nonprime
258,7,-5,74,composite_or_nonprime
259,7,-4,65,composite_or_nonprime
260,7,-3,58,composite_or_nonprime
261,7,-2,53,split_norm_prime
262,7,-1,50,composite_or_nonprime
263,7,0,49,inert_axis_prime
264,7,1,50,composite_or_nonprime
265,7,2,53,split_norm_prime
266,7,3,58,composite_or_nonprime
267,7,4,65,composite_or_nonprime
268,7,5,74,composite_or_nonprime
269,7,6,85,composite_or_nonprime
270,7,7,98,composite_or_nonprime
271,7,8,113,split_norm_prime
272,8,-8,128,composite_or_nonprime
273,8,-7,113,split_norm_prime
274,8,-6,100,composite_or_nonprime
275,8,-5,89,split_norm_prime
276,8,-4,80,composite_or_nonprime
277,8,-3,73,split_norm_prime
278,8,-2,68,composite_or_nonprime
279,8,-1,65,composite_or_nonprime
280,8,0,64,composite_or_nonprime
281,8,1,65,composite_or_nonprime
282,8,2,68,composite_or_nonprime
283,8,3,73,split_norm_prime
