seed,replacement_count,support,component_count,edge_count,edge_count_delta,edge_jaccard_distance_to_reference,false_positive
0,6,"[2,61,5,7,11,13,43,53,23,73,79,41,47,67,71]",4,30,3,0.788461538462,false
1,4,"[2,3,5,7,11,13,17,19,73,29,79,43,47,61,71]",3,40,7,0.510204081633,false
2,1,"[2,3,5,43,11,13,17,19,23,29,31,41,47,59,71]",4,26,7,0.264705882353,false
3,3,"[2,73,5,61,11,13,17,19,23,29,31,41,67,59,71]",3,33,0,0.625,false
4,7,"[67,79,73,7,11,61,17,19,23,29,37,41,47,53,43]",4,29,4,0.830188679245,false
5,1,"[2,73,5,7,11,13,17,19,23,29,31,41,47,59,71]",4,31,2,0.358974358974,true
6,3,"[2,3,37,7,43,13,17,19,61,29,31,41,47,59,71]",6,36,3,0.5625,false
7,2,"[2,3,5,7,11,13,17,19,23,53,31,41,79,59,71]",3,33,0,0.35,false
8,2,"[2,3,5,7,11,13,17,19,23,29,31,41,37,43,71]",3,40,7,0.175,false
9,5,"[2,3,5,37,11,13,53,19,23,43,67,41,47,61,71]",3,33,0,0.754716981132,false
10,3,"[2,3,5,7,11,61,17,19,23,67,53,41,47,59,71]",3,33,0,0.595744680851,false
11,3,"[2,43,5,7,11,13,17,79,23,29,31,41,47,73,71]",4,31,2,0.439024390244,true
12,6,"[2,3,73,79,43,13,17,19,23,61,31,41,53,37,71]",4,39,6,0.8,false
13,3,"[37,3,43,7,11,13,17,19,23,79,31,41,47,59,71]",4,21,12,0.615384615385,false
14,2,"[2,3,5,7,11,53,17,19,79,29,31,41,47,59,71]",5,31,2,0.4,false
15,4,"[2,79,43,73,11,13,17,19,23,29,31,41,47,59,37]",5,25,8,0.711111111111,false
16,5,"[2,3,5,37,11,13,17,73,23,29,53,67,43,59,71]",4,39,6,0.714285714286,false
17,2,"[2,3,5,7,11,13,17,53,37,29,31,41,47,59,71]",5,45,12,0.375,false
18,4,"[2,3,5,7,11,53,17,19,23,67,31,41,79,59,37]",3,32,1,0.555555555556,false
19,6,"[2,3,79,7,11,13,61,19,73,43,67,41,37,59,71]",3,32,1,0.75,false
20,5,"[2,3,5,7,11,13,17,61,79,73,43,41,47,59,53]",4,46,13,0.589285714286,false
21,5,"[2,3,5,7,61,37,17,19,43,29,73,41,79,59,71]",5,44,11,0.625,false
