threshold,edge_count,betti0,component_size_distribution,largest_component_size,edge_jaccard_distance_to_reference,status_region
2.0,7,10,"[6,1,1,1,1,1,1,1,1,1]",6,0.787878787879,BETTI_SHIFT
2.5,9,9,"[7,1,1,1,1,1,1,1,1]",7,0.727272727273,BETTI_SHIFT
3.0,12,9,"[7,1,1,1,1,1,1,1,1]",7,0.636363636364,BETTI_SHIFT
3.5,15,9,"[7,1,1,1,1,1,1,1,1]",7,0.545454545455,BETTI_SHIFT
4.0,18,6,"[9,2,1,1,1,1]",9,0.454545454545,BETTI_SHIFT
4.5,21,6,"[9,2,1,1,1,1]",9,0.363636363636,BETTI_SHIFT
5.0,22,6,"[9,2,1,1,1,1]",9,0.333333333333,BETTI_SHIFT
5.5,24,6,"[9,2,1,1,1,1]",9,0.272727272727,BETTI_SHIFT
6.0,26,6,"[9,2,1,1,1,1]",9,0.212121212121,BETTI_SHIFT
6.5,28,6,"[9,2,1,1,1,1]",9,0.151515151515,BETTI_SHIFT
7.0,28,6,"[9,2,1,1,1,1]",9,0.151515151515,BETTI_SHIFT
7.5,30,6,"[9,2,1,1,1,1]",9,0.0909090909091,BETTI_SHIFT
8.0,33,4,"[12,1,1,1]",12,0,REFERENCE_THRESHOLD
8.5,33,4,"[12,1,1,1]",12,0,BETTI_AND_EDGE_STABLE
9.0,34,4,"[12,1,1,1]",12,0.0294117647059,BETTI_STABLE_EDGE_NEIGHBORHOOD
9.5,35,4,"[12,1,1,1]",12,0.0571428571429,BETTI_STABLE_EDGE_NEIGHBORHOOD
10.0,35,4,"[12,1,1,1]",12,0.0571428571429,BETTI_STABLE_EDGE_NEIGHBORHOOD
10.5,38,4,"[12,1,1,1]",12,0.131578947368,BETTI_STABLE_EDGE_DRIFT
11.0,39,4,"[12,1,1,1]",12,0.153846153846,BETTI_STABLE_EDGE_DRIFT
11.5,39,4,"[12,1,1,1]",12,0.153846153846,BETTI_STABLE_EDGE_DRIFT
12.0,44,2,"[12,3]",12,0.25,BETTI_SHIFT
