condition,component,metric,value
known_positive,support,monster_prime_support_0,2
known_positive,support,monster_prime_support_1,3
known_positive,support,monster_prime_support_2,5
known_positive,support,monster_prime_support_3,7
known_positive,support,monster_prime_support_4,11
known_positive,support,monster_prime_support_5,13
known_positive,support,monster_prime_support_6,17
known_positive,support,monster_prime_support_7,19
known_positive,support,monster_prime_support_8,23
known_positive,support,monster_prime_support_9,29
known_positive,support,monster_prime_support_10,31
known_positive,support,monster_prime_support_11,41
known_positive,support,monster_prime_support_12,47
known_positive,support,monster_prime_support_13,59
known_positive,support,monster_prime_support_14,71
known_positive,support,supersingular_primes_0,2
known_positive,support,supersingular_primes_1,3
known_positive,support,supersingular_primes_2,5
known_positive,support,supersingular_primes_3,7
known_positive,support,supersingular_primes_4,11
known_positive,support,supersingular_primes_5,13
known_positive,support,supersingular_primes_6,17
known_positive,support,supersingular_primes_7,19
known_positive,support,supersingular_primes_8,23
known_positive,support,supersingular_primes_9,29
known_positive,support,supersingular_primes_10,31
known_positive,support,supersingular_primes_11,41
known_positive,support,supersingular_primes_12,47
known_positive,support,supersingular_primes_13,59
known_positive,support,supersingular_primes_14,71
known_positive,support,support_jaccard,1.0
known_positive,support,support_count,15
known_positive,exponent,exponent_vector_0,46
known_positive,exponent,exponent_vector_1,20
known_positive,exponent,exponent_vector_2,9
known_positive,exponent,exponent_vector_3,6
known_positive,exponent,exponent_vector_4,2
known_positive,exponent,exponent_vector_5,3
known_positive,exponent,exponent_vector_6,1
known_positive,exponent,exponent_vector_7,1
known_positive,exponent,exponent_vector_8,1
known_positive,exponent,exponent_vector_9,1
known_positive,exponent,exponent_vector_10,1
known_positive,exponent,exponent_vector_11,1
known_positive,exponent,exponent_vector_12,1
known_positive,exponent,exponent_vector_13,1
known_positive,exponent,exponent_vector_14,1
known_positive,exponent,exponent_sum,95
known_positive,exponent,nonzero_exponent_count,15
known_positive,exponent,log10_order,53.90742072638165
known_positive,decomposition,residual_abs_sum,0
known_positive,decomposition,exact_witness_count,3
known_positive,decomposition,witness_count,3
known_positive,decomposition,irrep_factor_support_coverage,1.0
known_positive,gaussian_class,class_vector_0,0
known_positive,gaussian_class,class_vector_1,-1
known_positive,gaussian_class,class_vector_2,1
known_positive,gaussian_class,class_vector_3,-1
known_positive,gaussian_class,class_vector_4,-1
known_positive,gaussian_class,class_vector_5,1
known_positive,gaussian_class,class_vector_6,1
known_positive,gaussian_class,class_vector_7,-1
known_positive,gaussian_class,class_vector_8,-1
