control_name,split,family,seed,distance_spearman,orientation_accuracy,transform_accuracy,relation_accuracy,status
label_permutation_control,calibration,ring,2101,-0.228571428571,0,0,0,DEGRADED
label_permutation_control,calibration,ring,2102,-0.0718146718147,0,0,0,DEGRADED
label_permutation_control,calibration,ring,2103,0.109137709138,0,0,0,DEGRADED
label_permutation_control,calibration,ring,2104,0.101158301158,0,0,0,DEGRADED
label_permutation_control,calibration,grid,2101,0.110682110682,0,0,0,DEGRADED
label_permutation_control,calibration,grid,2102,-0.0846846846847,0,0,0,DEGRADED
label_permutation_control,calibration,grid,2103,0.267953667954,0,0,0,DEGRADED
label_permutation_control,calibration,grid,2104,0.000772200772201,0,0,0,DEGRADED
label_permutation_control,holdout,spiral,2101,0.223938223938,0,0,0,DEGRADED
label_permutation_control,holdout,spiral,2102,0.119948519949,0,0,0,DEGRADED
label_permutation_control,holdout,spiral,2103,-0.047619047619,0,0,0,DEGRADED
label_permutation_control,holdout,spiral,2104,0.17323037323,0,0,0,DEGRADED
topology_destroyed_control,calibration,ring,2101,0.100410422464,0,0,0,DEGRADED
topology_destroyed_control,calibration,ring,2102,0.0642109568547,0,0,0,DEGRADED
topology_destroyed_control,calibration,ring,2103,0.0254258151304,0,0,0,DEGRADED
topology_destroyed_control,calibration,ring,2104,0.0586086586056,0,0,0,DEGRADED
topology_destroyed_control,calibration,grid,2101,-0.0129283805748,0,0,0,DEGRADED
topology_destroyed_control,calibration,grid,2102,0.0241329770729,0,0,0,DEGRADED
topology_destroyed_control,calibration,grid,2103,-0.0754155533528,0,0,0,DEGRADED
topology_destroyed_control,calibration,grid,2104,-0.0280114912453,0,0,0,DEGRADED
topology_destroyed_control,holdout,spiral,2101,-0.405089258009,0,0,0,DEGRADED
topology_destroyed_control,holdout,spiral,2102,-0.427067504986,0,0,0,DEGRADED
topology_destroyed_control,holdout,spiral,2103,-0.411122502277,0,0,0,DEGRADED
topology_destroyed_control,holdout,spiral,2104,-0.406382096067,0,0,0,DEGRADED
orientation_destroyed_control,calibration,ring,2101,0.343371943372,0,0,0,DEGRADED
orientation_destroyed_control,calibration,ring,2102,0.369092156363,0,0,0,DEGRADED
orientation_destroyed_control,calibration,ring,2103,0.39245720495,0,0,0,DEGRADED
orientation_destroyed_control,calibration,ring,2104,0.369874496145,0,0,0,DEGRADED
orientation_destroyed_control,calibration,grid,2101,0.521313694682,0,0,0,DEGRADED
orientation_destroyed_control,calibration,grid,2102,0.433500740461,0,0,0,DEGRADED
orientation_destroyed_control,calibration,grid,2103,0.431826992428,0,0,0,DEGRADED
orientation_destroyed_control,calibration,grid,2104,0.437620735618,0,0,0,DEGRADED
orientation_destroyed_control,holdout,spiral,2101,0.338976522224,0,0,0,DEGRADED
orientation_destroyed_control,holdout,spiral,2102,0.397708991106,0,0,0,DEGRADED
orientation_destroyed_control,holdout,spiral,2103,0.429527613289,0,0,0,DEGRADED
orientation_destroyed_control,holdout,spiral,2104,0.467460597112,0,0,0,DEGRADED
parameter_matched_null_control,calibration,ring,2101,0.423680823681,0,0,0,DEGRADED
parameter_matched_null_control,calibration,ring,2102,0.389189189189,0,0,0,DEGRADED
parameter_matched_null_control,calibration,ring,2103,0.414246297056,0,0,0,DEGRADED
parameter_matched_null_control,calibration,ring,2104,0.288916182928,0,0,0,DEGRADED
parameter_matched_null_control,calibration,grid,2101,0.503069419539,0,0,0,DEGRADED
parameter_matched_null_control,calibration,grid,2102,0.455014723238,0,0,0,DEGRADED
parameter_matched_null_control,calibration,grid,2103,0.341488585086,0,0,0,DEGRADED
parameter_matched_null_control,calibration,grid,2104,0.415754096812,0,0,0,DEGRADED
parameter_matched_null_control,holdout,spiral,2101,0.40592020592,0,0,0,DEGRADED
parameter_matched_null_control,holdout,spiral,2102,0.567308368944,0,0,0,DEGRADED
parameter_matched_null_control,holdout,spiral,2103,0.700386100386,0,0,0,DEGRADED
parameter_matched_null_control,holdout,spiral,2104,0.560283260433,0,0,0,DEGRADED
seed_repeat_control,calibration,ring,2101,0.370141570142,0,0,0,DEGRADED
seed_repeat_control,calibration,ring,2102,0.396396396396,0,0,0,DEGRADED
seed_repeat_control,calibration,ring,2103,0.456885456885,0,0,0,DEGRADED
seed_repeat_control,calibration,ring,2104,0.281595881596,0,0,0,DEGRADED
seed_repeat_control,calibration,grid,2101,0.540797940798,0,0,0,DEGRADED
seed_repeat_control,calibration,grid,2102,0.496782496782,0,0,0,DEGRADED
seed_repeat_control,calibration,grid,2103,0.437837837838,0,0,0,DEGRADED
seed_repeat_control,calibration,grid,2104,0.443758043758,0,0,0,DEGRADED
seed_repeat_control,holdout,spiral,2101,0.365765765766,0,0,0,DEGRADED
seed_repeat_control,holdout,spiral,2102,0.451737451737,0,0,0,DEGRADED
seed_repeat_control,holdout,spiral,2103,0.542857142857,0,0,0,DEGRADED
seed_repeat_control,holdout,spiral,2104,0.481853281853,0,0,0,DEGRADED
leakage_positive_control,calibration,ring,2101,0.370141570142,1,1,1,DETECTED
leakage_positive_control,calibration,ring,2102,0.396396396396,1,1,1,DETECTED
leakage_positive_control,calibration,ring,2103,0.456885456885,1,1,1,DETECTED
leakage_positive_control,calibration,ring,2104,0.281595881596,1,1,1,DETECTED
leakage_positive_control,calibration,grid,2101,0.540797940798,1,1,1,DETECTED
leakage_positive_control,calibration,grid,2102,0.496782496782,1,1,1,DETECTED
leakage_positive_control,calibration,grid,2103,0.437837837838,1,1,1,DETECTED
leakage_positive_control,calibration,grid,2104,0.443758043758,1,1,1,DETECTED
leakage_positive_control,holdout,spiral,2101,0.365765765766,1,1,1,DETECTED
leakage_positive_control,holdout,spiral,2102,0.451737451737,1,1,1,DETECTED
leakage_positive_control,holdout,spiral,2103,0.542857142857,1,1,1,DETECTED
leakage_positive_control,holdout,spiral,2104,0.481853281853,1,1,1,DETECTED
