split,family,seed,transformation,distance_true,distance_predicted,orientation_true,orientation_predicted,transform_true,transform_predicted,relation_true,relation_predicted,fiedler_sign_stability,fiedler_variant_gap,fiedler_variant_agreement,cheeger_conductance
calibration,ring,2101,identity,1.41928720485,1.733947387,1,1,identity,identity,1,1,0.0,0.026029364120297188,0.0,0.2129427533108562
calibration,ring,2101,rotation,1.41928720485,1.733947387,1,1,rotation,rotation,1,1,0.1111111111111111,0.02602936412029702,0.0,0.21294275331085624
calibration,ring,2101,reflection,1.41928720485,1.733947387,0,0,reflection,reflection,1,1,1.0,0.026029364120296918,0.0,0.21294275331085616
calibration,ring,2101,scale_shift,1.56121592533,2.05656409815,1,1,scale_shift,scale_shift,1,1,0.4444444444444444,0.4652631498698885,0.0,0.0
calibration,ring,2102,identity,1.41464146787,1.73264321823,1,1,identity,identity,1,1,0.2222222222222222,0.112572434422949,0.0,0.21137834013915316
calibration,ring,2102,rotation,1.41464146787,1.73264321823,1,1,rotation,rotation,1,1,1.0,0.018079656511213953,0.0,0.21137834013915316
calibration,ring,2102,reflection,1.41464146787,1.73264321823,0,0,reflection,reflection,1,1,0.7777777777777778,0.1125724344229491,0.0,0.21137834013915321
calibration,ring,2102,scale_shift,1.55610561466,2.06997878872,1,1,scale_shift,scale_shift,1,1,0.2222222222222222,0.4584842794276275,0.0,0.0
calibration,ring,2103,identity,1.41319073652,1.74347510643,1,1,identity,identity,1,1,0.8888888888888888,0.11414203280946306,0.0,0.20263137670049963
calibration,ring,2103,rotation,1.41319073652,1.74347510643,1,1,rotation,rotation,1,1,0.1111111111111111,0.11414203280946314,0.0,0.20263137670049958
calibration,ring,2103,reflection,1.41319073652,1.74347510643,0,0,reflection,reflection,1,1,1.0,0.11414203280946336,0.0,0.20263137670049963
calibration,ring,2103,scale_shift,1.55450981017,2.41371729232,1,1,scale_shift,scale_shift,1,1,0.1111111111111111,0.4552404166502703,0.0,0.0
calibration,ring,2104,identity,1.41550755851,1.9541715621,1,1,identity,identity,1,1,1.0,0.36284923719928225,0.0,0.11555187393812663
calibration,ring,2104,rotation,1.41550755851,1.9541715621,1,1,rotation,rotation,1,1,0.0,0.2644450299672362,0.0,0.11555187393812665
calibration,ring,2104,reflection,1.41550755851,1.9541715621,0,0,reflection,reflection,1,1,0.0,0.362849237199282,0.0,0.11555187393812665
calibration,ring,2104,scale_shift,1.55705831436,2.14754377453,1,1,scale_shift,scale_shift,1,1,0.0,0.6823532454854605,0.0,0.0
calibration,grid,2101,identity,0.831292713288,1.32642562393,1,1,identity,identity,0,0,0.1111111111111111,0.021405493325738843,0.0,0.43777296067350324
calibration,grid,2101,rotation,0.831292713288,1.32642562393,1,1,rotation,rotation,0,0,0.1111111111111111,0.02140549332573844,0.0,0.43777296067350335
calibration,grid,2101,reflection,0.831292713288,1.32642562393,0,0,reflection,reflection,0,0,1.0,0.02140549332573907,0.0,0.43777296067350324
calibration,grid,2101,scale_shift,0.914421984617,1.51723082365,1,1,scale_shift,scale_shift,0,0,0.0,0.11184254215274067,0.0,0.33113295025566325
calibration,grid,2102,identity,0.826928702458,1.31320986246,1,1,identity,identity,0,0,1.0,0.11543018649283987,0.0,0.4433179562295004
calibration,grid,2102,rotation,0.826928702458,1.31320986246,1,1,rotation,rotation,0,0,0.0,0.11543018649284012,0.0,0.4433179562295006
