split,family,seed,transformation,state,orbit_size,stabilizer_size,equivalence_class,context_signal,target_probability,binary_target
calibration,ring,7101,identity,0,1,8,trivial,0.377415644609,0.0690431795955,0
calibration,ring,7101,pure_gauge,0,1,8,trivial,0.463091888158,0.0791157796519,0
calibration,ring,7101,nontrivial_flux,0,1,8,flux,0.538206974646,0.243996419552,0
calibration,ring,7101,orientation_reversal,0,1,8,orientation,0.588074972231,0.0890726994633,0
calibration,ring,7101,identity,1,2,4,trivial,0.420545020246,0.175798146998,0
calibration,ring,7101,pure_gauge,1,2,4,trivial,0.495557766758,0.27165232204,0
calibration,ring,7101,nontrivial_flux,1,2,4,flux,0.574270559875,0.678969184238,1
calibration,ring,7101,orientation_reversal,1,2,4,orientation,0.654980404092,0.491672191083,0
calibration,ring,7101,identity,2,3,2,trivial,0.496119066555,0.302906760898,0
calibration,ring,7101,pure_gauge,2,3,2,trivial,0.550979731013,0.334826524432,0
calibration,ring,7101,nontrivial_flux,2,3,2,flux,0.617643845864,0.654096282826,1
calibration,ring,7101,orientation_reversal,2,3,2,orientation,0.704291800245,0.364236432764,0
calibration,ring,7101,identity,3,4,2,trivial,0.539286121806,0.383132442482,0
calibration,ring,7101,pure_gauge,3,4,2,trivial,0.598252869001,0.520625767577,0
calibration,ring,7101,nontrivial_flux,3,4,2,flux,0.686581320336,0.860307227058,0
calibration,ring,7101,orientation_reversal,3,4,2,orientation,0.739955294347,0.737979072923,1
calibration,ring,7101,identity,4,1,8,trivial,0.594975948282,0.0874993806849,1
calibration,ring,7101,pure_gauge,4,1,8,trivial,0.641260019855,0.09997537439,0
calibration,ring,7101,nontrivial_flux,4,1,8,flux,0.711712913104,0.294429146088,0
calibration,ring,7101,orientation_reversal,4,1,8,orientation,0.784135641901,0.112237562768,0
calibration,ring,7101,identity,5,2,4,trivial,0.62116049605,0.220106530351,0
calibration,ring,7101,pure_gauge,5,2,4,trivial,0.692741403933,0.330434144658,0
calibration,ring,7101,nontrivial_flux,5,2,4,flux,0.786423562209,0.736735938714,1
calibration,ring,7101,orientation_reversal,5,2,4,orientation,0.843180470316,0.56136877852,1
calibration,ring,7101,identity,6,3,2,trivial,0.686455246038,0.363609202259,1
calibration,ring,7101,pure_gauge,6,3,2,trivial,0.743232277491,0.398271037746,0
calibration,ring,7101,nontrivial_flux,6,3,2,flux,0.830078241728,0.713175104552,1
calibration,ring,7101,orientation_reversal,6,3,2,orientation,0.890916977052,0.429654093869,1
calibration,ring,7101,identity,7,4,2,trivial,0.720484004112,0.439774463999,1
calibration,ring,7101,pure_gauge,7,4,2,trivial,0.799548881252,0.578531047157,1
calibration,ring,7101,nontrivial_flux,7,4,2,flux,0.877526978914,0.886153608845,1
calibration,ring,7101,orientation_reversal,7,4,2,orientation,0.939563515768,0.780689209687,1
calibration,ring,7102,identity,0,1,8,trivial,0.375193230219,0.0689599590302,0
calibration,ring,7102,pure_gauge,0,1,8,trivial,0.465795861432,0.0790214487151,0
calibration,ring,7102,nontrivial_flux,0,1,8,flux,0.536811754003,0.243757536118,0
calibration,ring,7102,orientation_reversal,0,1,8,orientation,0.59075490767,0.0889676436873,0
calibration,ring,7102,identity,1,2,4,trivial,0.434249551414,0.183040269564,0
calibration,ring,7102,pure_gauge,1,2,4,trivial,0.497509713105,0.281494572274,0
calibration,ring,7102,nontrivial_flux,1,2,4,flux,0.575990617059,0.689596595029,0
calibration,ring,7102,orientation_reversal,1,2,4,orientation,0.638473733846,0.503970187228,1
calibration,ring,7102,identity,2,3,2,trivial,0.471405712278,0.309132006906,0
calibration,ring,7102,pure_gauge,2,3,2,trivial,0.544605143797,0.341386511068,0
calibration,ring,7102,nontrivial_flux,2,3,2,flux,0.611403224357,0.660698352871,0
calibration,ring,7102,orientation_reversal,2,3,2,orientation,0.708027816043,0.371051201998,0
calibration,ring,7102,identity,3,4,2,trivial,0.5249415915,0.377111631121,0
calibration,ring,7102,pure_gauge,3,4,2,trivial,0.615713045978,0.514245507893,0
calibration,ring,7102,nontrivial_flux,3,4,2,flux,0.686275429173,0.857208000557,1
calibration,ring,7102,orientation_reversal,3,4,2,orientation,0.731329642308,0.733008139587,1
calibration,ring,7102,identity,4,1,8,trivial,0.585402038914,0.0901134184093,0
calibration,ring,7102,pure_gauge,4,1,8,trivial,0.665405876863,0.102920092857,0
calibration,ring,7102,nontrivial_flux,4,1,8,flux,0.739112546571,0.301184728525,0
calibration,ring,7102,orientation_reversal,4,1,8,orientation,0.792702670943,0.115497108628,0
calibration,ring,7102,identity,5,2,4,trivial,0.643432905818,0.2190696893,0
