control_name,split,element,inverse_accuracy,identity_accuracy,composition_accuracy,relation_accuracy,orbit_accuracy,stabilizer_accuracy,equivalence_accuracy,refinement_accuracy,status
label_permutation_control,development,e,0,0,1,0,0,0,0,0,DEGRADED
label_permutation_control,development,r,0,0,1,0,0,0,0,0,DEGRADED
label_permutation_control,calibration,r2,0,0,1,0,0,0,0,0,DEGRADED
label_permutation_control,calibration,r3,0,0,1,0,0,0,0,0,DEGRADED
label_permutation_control,development,s,0,0,1,0,0,0,1,0,DEGRADED
label_permutation_control,development,sr,0,0,1,0,1,1,1,0,DEGRADED
label_permutation_control,calibration,sr2,0,0,1,0,1,1,1,0,DEGRADED
label_permutation_control,holdout,sr3,0,1,1,0,0,0,0,0,DEGRADED
topology_destroyed_control,development,e,1,1,1,1,1,1,1,1,DEGRADED
topology_destroyed_control,development,r,0,1,1,0,0,0,0,0,DEGRADED
topology_destroyed_control,calibration,r2,0,1,1,1,0,0,1,0,DEGRADED
topology_destroyed_control,calibration,r3,0,1,1,0,0,0,0,0,DEGRADED
topology_destroyed_control,development,s,0,1,1,1,1,1,0,0,DEGRADED
topology_destroyed_control,development,sr,0,1,1,0,0,0,0,0,DEGRADED
topology_destroyed_control,calibration,sr2,0,1,1,1,0,0,0,0,DEGRADED
topology_destroyed_control,holdout,sr3,0,1,1,0,0,0,0,0,DEGRADED
signature_shuffle_control,development,e,0,0,1,0,0,0,0,0,DEGRADED
signature_shuffle_control,development,r,0,0,1,0,0,0,0,0,DEGRADED
signature_shuffle_control,calibration,r2,0,0,1,0,1,1,0,0,DEGRADED
signature_shuffle_control,calibration,r3,0,0,1,0,0,0,0,0,DEGRADED
signature_shuffle_control,development,s,0,0,1,0,0,0,1,0,DEGRADED
signature_shuffle_control,development,sr,0,1,1,0,0,0,0,0,DEGRADED
signature_shuffle_control,calibration,sr2,0,0,1,0,0,0,0,0,DEGRADED
signature_shuffle_control,holdout,sr3,0,0,1,0,1,1,0,0,DEGRADED
parameter_matched_null_control,development,e,1,1,1,1,1,1,1,1,DEGRADED
parameter_matched_null_control,development,r,1,0,1,1,1,1,1,1,DEGRADED
parameter_matched_null_control,calibration,r2,0,0,1,0,0,0,0,0,DEGRADED
parameter_matched_null_control,calibration,r3,0,0,1,1,1,1,1,0,DEGRADED
parameter_matched_null_control,development,s,0,0,1,0,0,0,0,0,DEGRADED
parameter_matched_null_control,development,sr,0,0,1,1,0,0,0,0,DEGRADED
parameter_matched_null_control,calibration,sr2,0,0,1,0,0,0,0,0,DEGRADED
parameter_matched_null_control,holdout,sr3,0,0,1,1,0,0,0,0,DEGRADED
seed_repeat_control,development,e,1,1,1,1,1,1,1,1,DEGRADED
seed_repeat_control,development,r,1,0,1,1,1,1,1,1,DEGRADED
seed_repeat_control,calibration,r2,1,0,1,1,1,1,1,1,DEGRADED
seed_repeat_control,calibration,r3,1,0,1,1,1,1,1,1,DEGRADED
seed_repeat_control,development,s,1,0,1,1,1,1,1,1,DEGRADED
seed_repeat_control,development,sr,1,0,1,1,1,1,1,1,DEGRADED
seed_repeat_control,calibration,sr2,1,0,1,1,1,1,1,1,DEGRADED
seed_repeat_control,holdout,sr3,1,0,1,1,1,1,1,1,DEGRADED
leakage_positive_control,development,e,1,1,1,1,1,1,1,1,DETECTED
leakage_positive_control,development,r,1,0,1,1,1,1,1,1,DETECTED
leakage_positive_control,calibration,r2,1,0,1,1,1,1,1,1,DETECTED
leakage_positive_control,calibration,r3,1,0,1,1,1,1,1,1,DETECTED
leakage_positive_control,development,s,1,0,1,1,1,1,1,1,DETECTED
leakage_positive_control,development,sr,1,0,1,1,1,1,1,1,DETECTED
leakage_positive_control,calibration,sr2,1,0,1,1,1,1,1,1,DETECTED
leakage_positive_control,holdout,sr3,1,0,1,1,1,1,1,1,DETECTED
