control_name,split,family,seed,spearman_true_vs_predicted,top_k_precision,adjacency_f1,mean_absolute_error,status
label_permutation_control,all,ring,4101,-0.0136422136422,0.444444444444,0.615384615385,0.256949106263,DEGRADED
topology_destroyed_control,all,ring,4101,0.659202059202,0.777777777778,0,0.140817681654,FAILED_TO_DEGRADE
degree_preserving_rewire_control,all,ring,4101,0.473359073359,0.740740740741,0.615384615385,0.199448427617,DEGRADED
parameter_matched_null_control,all,ring,4101,0.62958675998,0.740740740741,0.615384615385,0.140726162406,DEGRADED
seed_repeat_control,all,ring,4101,0.659202059202,0.777777777778,0.615384615385,0.140817681654,DEGRADED
leakage_positive_control,all,ring,4101,1,1,0.615384615385,0,DETECTED
label_permutation_control,all,ring,4102,0.292921492921,0.740740740741,0.615384615385,0.181158236594,DEGRADED
topology_destroyed_control,all,ring,4102,0.634234234234,0.740740740741,0,0.136527746743,FAILED_TO_DEGRADE
degree_preserving_rewire_control,all,ring,4102,0.235778635779,0.518518518519,0.615384615385,0.211285802686,DEGRADED
parameter_matched_null_control,all,ring,4102,0.595919944602,0.703703703704,0.615384615385,0.137470143486,DEGRADED
seed_repeat_control,all,ring,4102,0.634234234234,0.740740740741,0.615384615385,0.136527746743,DEGRADED
leakage_positive_control,all,ring,4102,1,1,0.615384615385,0,DETECTED
label_permutation_control,all,ring,4103,-0.0612809816098,0.259259259259,0.56,0.254905776915,DEGRADED
topology_destroyed_control,all,ring,4103,0.571796367742,0.703703703704,0,0.15804096072,FAILED_TO_DEGRADE
degree_preserving_rewire_control,all,ring,4103,0.306592881256,0.62962962963,0.56,0.181284960891,DEGRADED
parameter_matched_null_control,all,ring,4103,0.45207444779,0.740740740741,0.56,0.146157074916,DEGRADED
seed_repeat_control,all,ring,4103,0.571796367742,0.703703703704,0.56,0.15804096072,DEGRADED
leakage_positive_control,all,ring,4103,1,1,0.56,0,DETECTED
label_permutation_control,all,ring,4104,0.010296010296,0.333333333333,0.56,0.245537041019,DEGRADED
topology_destroyed_control,all,ring,4104,0.48416988417,0.666666666667,0,0.163998319932,FAILED_TO_DEGRADE
degree_preserving_rewire_control,all,ring,4104,0.0442899479413,0.407407407407,0.538461538462,0.268824937728,DEGRADED
parameter_matched_null_control,all,ring,4104,0.38720066944,0.666666666667,0.56,0.185059559172,DEGRADED
seed_repeat_control,all,ring,4104,0.48416988417,0.666666666667,0.56,0.163998319932,DEGRADED
leakage_positive_control,all,ring,4104,1,1,0.56,0,DETECTED
label_permutation_control,all,ring,4101,-0.0136422136422,0.444444444444,0.615384615385,0.256949106263,DEGRADED
topology_destroyed_control,all,ring,4101,0.659202059202,0.777777777778,0,0.140817681654,FAILED_TO_DEGRADE
degree_preserving_rewire_control,all,ring,4101,0.473359073359,0.740740740741,0.615384615385,0.199448427617,DEGRADED
parameter_matched_null_control,all,ring,4101,0.62958675998,0.740740740741,0.615384615385,0.140726162406,DEGRADED
seed_repeat_control,all,ring,4101,0.659202059202,0.777777777778,0.615384615385,0.140817681654,DEGRADED
leakage_positive_control,all,ring,4101,1,1,0.615384615385,0,DETECTED
label_permutation_control,all,ring,4102,0.292921492921,0.740740740741,0.615384615385,0.181158236594,DEGRADED
topology_destroyed_control,all,ring,4102,0.634234234234,0.740740740741,0,0.136527746743,FAILED_TO_DEGRADE
degree_preserving_rewire_control,all,ring,4102,0.235778635779,0.518518518519,0.615384615385,0.211285802686,DEGRADED
parameter_matched_null_control,all,ring,4102,0.595919944602,0.703703703704,0.615384615385,0.137470143486,DEGRADED
seed_repeat_control,all,ring,4102,0.634234234234,0.740740740741,0.615384615385,0.136527746743,DEGRADED
leakage_positive_control,all,ring,4102,1,1,0.615384615385,0,DETECTED
label_permutation_control,all,ring,4103,-0.0612809816098,0.259259259259,0.56,0.254905776915,DEGRADED
topology_destroyed_control,all,ring,4103,0.571796367742,0.703703703704,0,0.15804096072,FAILED_TO_DEGRADE
degree_preserving_rewire_control,all,ring,4103,0.306592881256,0.62962962963,0.56,0.181284960891,DEGRADED
parameter_matched_null_control,all,ring,4103,0.45207444779,0.740740740741,0.56,0.146157074916,DEGRADED
seed_repeat_control,all,ring,4103,0.571796367742,0.703703703704,0.56,0.15804096072,DEGRADED
leakage_positive_control,all,ring,4103,1,1,0.56,0,DETECTED
label_permutation_control,all,ring,4104,0.010296010296,0.333333333333,0.56,0.245537041019,DEGRADED
topology_destroyed_control,all,ring,4104,0.48416988417,0.666666666667,0,0.163998319932,FAILED_TO_DEGRADE
degree_preserving_rewire_control,all,ring,4104,0.0442899479413,0.407407407407,0.538461538462,0.268824937728,DEGRADED
parameter_matched_null_control,all,ring,4104,0.38720066944,0.666666666667,0.56,0.185059559172,DEGRADED
seed_repeat_control,all,ring,4104,0.48416988417,0.666666666667,0.56,0.163998319932,DEGRADED
leakage_positive_control,all,ring,4104,1,1,0.56,0,DETECTED
label_permutation_control,all,grid,4101,0.0352638352638,0.37037037037,0.833333333333,0.262224848648,DEGRADED
topology_destroyed_control,all,grid,4101,0.797425997426,0.851851851852,0,0.152010197642,FAILED_TO_DEGRADE
degree_preserving_rewire_control,all,grid,4101,0.719433719434,0.814814814815,0.888888888889,0.166658643384,DEGRADED
parameter_matched_null_control,all,grid,4101,0.794927935719,0.814814814815,0.888888888889,0.162721319015,WEAK
seed_repeat_control,all,grid,4101,0.797425997426,0.851851851852,0.833333333333,0.152010197642,WEAK
leakage_positive_control,all,grid,4101,1,1,1,0,DETECTED
label_permutation_control,all,grid,4102,0.0844272844273,0.407407407407,0.823529411765,0.244147559006,DEGRADED
topology_destroyed_control,all,grid,4102,0.804890604891,0.888888888889,0,0.155133274619,FAILED_TO_DEGRADE
degree_preserving_rewire_control,all,grid,4102,0.56036036036,0.703703703704,0.823529411765,0.173772565756,DEGRADED
parameter_matched_null_control,all,grid,4102,0.816216216216,0.888888888889,0.882352941176,0.158622071687,WEAK
seed_repeat_control,all,grid,4102,0.804890604891,0.888888888889,0.823529411765,0.155133274619,WEAK
leakage_positive_control,all,grid,4102,1,1,0.941176470588,0,DETECTED
label_permutation_control,all,grid,4103,0.0993564993565,0.407407407407,0.8125,0.231307093671,DEGRADED
topology_destroyed_control,all,grid,4103,0.786872586873,0.740740740741,0,0.163238213226,FAILED_TO_DEGRADE
degree_preserving_rewire_control,all,grid,4103,0.764478764479,0.703703703704,0.75,0.165573133466,WEAK
parameter_matched_null_control,all,grid,4103,0.787360027117,0.703703703704,0.875,0.162341919565,WEAK
seed_repeat_control,all,grid,4103,0.786872586873,0.740740740741,0.8125,0.163238213226,WEAK
leakage_positive_control,all,grid,4103,1,1,0.875,0,DETECTED
label_permutation_control,all,grid,4104,-0.0998712998713,0.37037037037,0.848484848485,0.260602756234,DEGRADED
topology_destroyed_control,all,grid,4104,0.750321750322,0.814814814815,0,0.145227558158,FAILED_TO_DEGRADE
degree_preserving_rewire_control,all,grid,4104,0.277477477477,0.592592592593,0.787878787879,0.210170504739,DEGRADED
parameter_matched_null_control,all,grid,4104,0.743629343629,0.814814814815,0.848484848485,0.137453707366,DEGRADED
seed_repeat_control,all,grid,4104,0.750321750322,0.814814814815,0.848484848485,0.145227558158,WEAK
leakage_positive_control,all,grid,4104,1,1,0.909090909091,0,DETECTED
label_permutation_control,all,spiral,4101,0.259716859717,0.407407407407,0.758620689655,0.234660340917,DEGRADED
topology_destroyed_control,all,spiral,4101,0.638867438867,0.62962962963,0,0.189530319432,FAILED_TO_DEGRADE
degree_preserving_rewire_control,all,spiral,4101,0.511969111969,0.481481481481,0.689655172414,0.189187258274,DEGRADED
parameter_matched_null_control,all,spiral,4101,0.630888030888,0.62962962963,0.758620689655,0.185457556714,DEGRADED
seed_repeat_control,all,spiral,4101,0.638867438867,0.62962962963,0.758620689655,0.189530319432,DEGRADED
leakage_positive_control,all,spiral,4101,1,1,0.758620689655,0,DETECTED
label_permutation_control,all,spiral,4102,-0.172715572716,0.296296296296,0.714285714286,0.283646390488,DEGRADED
topology_destroyed_control,all,spiral,4102,0.730759330759,0.666666666667,0,0.17465652994,FAILED_TO_DEGRADE
degree_preserving_rewire_control,all,spiral,4102,0.614414414414,0.518518518519,0.714285714286,0.192743310867,DEGRADED
parameter_matched_null_control,all,spiral,4102,0.691891891892,0.592592592593,0.714285714286,0.176210585795,DEGRADED
seed_repeat_control,all,spiral,4102,0.730759330759,0.666666666667,0.714285714286,0.17465652994,DEGRADED
leakage_positive_control,all,spiral,4102,1,1,0.714285714286,0,DETECTED
label_permutation_control,all,spiral,4103,0.438867438867,0.518518518519,0.8,0.213646155288,DEGRADED
topology_destroyed_control,all,spiral,4103,0.693951093951,0.666666666667,0,0.177458542542,FAILED_TO_DEGRADE
degree_preserving_rewire_control,all,spiral,4103,0.575032175032,0.592592592593,0.8,0.206732913023,DEGRADED
parameter_matched_null_control,all,spiral,4103,0.670012870013,0.62962962963,0.8,0.184194118546,DEGRADED
