split,family,seed,perturbation,node_left,node_right,true_distance,haos_distance,shortest_path_distance,spectral_distance,invariant_overlap,persistence_score,causal_depth,temporal_order_stability
all,ring,4101,frozen,0,1,0.324830267822,0.500309783617,0.115703907932,0.342179551054,0.0403404637243,0.961580260075,0.504960143419,0.71472958172
all,ring,4101,frozen,0,2,0.626580443151,0.805685767394,0.240053263078,0.780887358885,0.0403404637243,0.961580260075,0.504960143419,0.71472958172
all,ring,4101,frozen,0,3,0.836242602563,0.995099602651,0.36562310747,0.96602019758,0.0403404637243,0.961580260075,0.504960143419,0.71472958172
all,ring,4101,frozen,0,4,0.994938971092,0.93238078281,0.486521413617,0.907091935955,0.0403404637243,0.961580260075,0.504960143419,0.71472958172
all,ring,4101,frozen,0,5,1,0.890878893426,0.616134531872,0.837658211259,0.0403404637243,0.961580260075,0.504960143419,0.71472958172
all,ring,4101,frozen,0,6,0.894239985696,0.824884267567,0.747590081518,0.763793591022,0.0403404637243,0.961580260075,0.504960143419,0.71472958172
all,ring,4101,frozen,0,7,0.673421601683,0.884343002383,0.883732403739,0.813659473263,0.0403404637243,0.961580260075,0.504960143419,0.71472958172
all,ring,4101,frozen,0,8,0.396021331162,0.994424095928,1,1,0.0403404637243,0.961580260075,0.504960143419,0.71472958172
all,ring,4101,frozen,1,2,0.336183395177,0.571727349968,0.124349355146,0.441983594435,0.077876237796,0.961580260075,0.594952071811,0.687679194647
all,ring,4101,frozen,1,3,0.623318872033,0.708990297042,0.249919199538,0.650568480767,0.077876237796,0.961580260075,0.594952071811,0.687679194647
all,ring,4101,frozen,1,4,0.869693099803,0.765062558858,0.370817505685,0.68138936132,0.077876237796,0.961580260075,0.594952071811,0.687679194647
all,ring,4101,frozen,1,5,0.985866683717,0.819627875495,0.50043062394,0.762462724669,0.077876237796,0.961580260075,0.594952071811,0.687679194647
all,ring,4101,frozen,1,6,0.993558635753,0.808348126192,0.631886173586,0.729981743616,0.077876237796,0.961580260075,0.594952071811,0.687679194647
all,ring,4101,frozen,1,7,0.875298651854,0.737322721578,0.768028495807,0.679719222923,0.077876237796,0.961580260075,0.594952071811,0.687679194647
all,ring,4101,frozen,1,8,0.671797700943,0.883520532182,0.884296092068,0.812536572689,0.077876237796,0.961580260075,0.594952071811,0.687679194647
