control_name,split,family,seed,brier_score,log_loss,accuracy,status
label_permutation_control,,ring,6101,0.25764913441,0.708446629509,0,DEGRADED
label_permutation_control,,ring,6102,0.242664423986,0.678474964019,1,DEGRADED
label_permutation_control,,ring,6103,0.25242652753,0.698000273582,0,DEGRADED
label_permutation_control,,grid,6101,0.26296373662,0.719080355692,0,DEGRADED
label_permutation_control,,grid,6102,0.257246279111,0.707640742679,0,DEGRADED
label_permutation_control,,grid,6103,0.260946745804,0.715044114959,0,DEGRADED
topology_destroyed_control,,ring,6101,0.217772020398,0.628597093247,1,DEGRADED
topology_destroyed_control,,ring,6102,0.217772020398,0.628597093247,1,DEGRADED
topology_destroyed_control,,ring,6103,0.217772020398,0.628597093247,1,DEGRADED
topology_destroyed_control,,grid,6101,0.217772020398,0.628597093247,1,DEGRADED
topology_destroyed_control,,grid,6102,0.217772020398,0.628597093247,1,DEGRADED
topology_destroyed_control,,grid,6103,0.217772020398,0.628597093247,1,DEGRADED
feature_shuffle_control,,ring,6101,0.272011799566,0.737198351202,0,DEGRADED
feature_shuffle_control,,ring,6102,0.269681811561,0.732530575035,0,DEGRADED
feature_shuffle_control,,ring,6103,0.247668245237,0.688483637106,1,DEGRADED
feature_shuffle_control,,grid,6101,0.261767110451,0.716685672802,0,DEGRADED
feature_shuffle_control,,grid,6102,0.275053906265,0.743295486852,0,DEGRADED
feature_shuffle_control,,grid,6103,0.25202504619,0.697197295018,0,DEGRADED
parameter_matched_null_control,,ring,6101,0.268147684143,0.729458079933,0,DEGRADED
parameter_matched_null_control,,ring,6102,0.270489823616,0.734149111455,0,DEGRADED
parameter_matched_null_control,,ring,6103,0.247061184536,0.687269481646,1,DEGRADED
parameter_matched_null_control,,grid,6101,0.251153511941,0.695454208528,0,DEGRADED
parameter_matched_null_control,,grid,6102,0.270098293489,0.733364809034,0,DEGRADED
parameter_matched_null_control,,grid,6103,0.253253101244,0.699653474408,0,DEGRADED
seed_repeat_control,,ring,6101,0.267515123671,0.728191402843,0,DEGRADED
seed_repeat_control,,ring,6102,0.271526728298,0.736226442341,0,DEGRADED
seed_repeat_control,,ring,6103,0.247711083389,0.688569315249,1,DEGRADED
seed_repeat_control,,grid,6101,0.252850142396,0.698847526831,0,DEGRADED
seed_repeat_control,,grid,6102,0.271939986755,0.737054459199,0,DEGRADED
seed_repeat_control,,grid,6103,0.251717560492,0.696582315021,0,DEGRADED
leakage_positive_control,,ring,6101,0.233077839597,0.659289588579,1,NOT_DETECTED
leakage_positive_control,,ring,6102,0.229362195611,0.651847348843,1,NOT_DETECTED
leakage_positive_control,,ring,6103,0.252299443133,0.697746099137,0,NOT_DETECTED
leakage_positive_control,,grid,6101,0.247166012271,0.687479144146,1,NOT_DETECTED
leakage_positive_control,,grid,6102,0.228982678415,0.65108693698,1,NOT_DETECTED
leakage_positive_control,,grid,6103,0.248288319355,0.689723805862,1,NOT_DETECTED
