split,model,n,spearman,mae,rmse,roc_auc,pr_auc,brier_score,top_k_precision,spearman_ci_low,spearman_ci_high,seed_variance
development,algebraic_connectivity,96,0.03495419920013605,0.2841843030664583,0.3141294731504889,,1.0,0.12419418386489399,1.0,,,
development,betweenness_centrality,96,0.28156824711421,0.6289960901215208,0.6457928751540258,,1.0,0.47478495641792545,1.0,,,
development,closeness_centrality,96,0.05603109147725314,0.44958398993026044,0.48089352204019276,,1.0,0.2708134382417398,1.0,,,
development,degree_centrality,96,-4.0694795814798026e-05,0.5931756664633229,0.6136217254251739,,1.0,0.4304335320105979,1.0,,,
development,domain_diffusion_early_probe,96,0.7821079761258819,0.2264552108311979,0.2734916106527939,,1.0,0.10904791854602441,1.0,,,
development,eigenvector_centrality,96,-0.142580999603114,0.26701815133111456,0.3022911369554596,,1.0,0.11404998743431201,1.0,,,
development,graph_size_density,96,0.01161049631665305,0.03647431234327083,0.03941662884268605,,1.0,0.002130162488110231,1.0,,,
development,haos_ablated_score,96,0.8665897992403692,0.008753303034031249,0.011865058909409277,,1.0,0.0035971597068559166,1.0,,,
development,haos_calibrated_recovery_score,96,0.9001899077590887,0.006653105374406252,0.00849663093802503,,1.0,0.0035322514970035543,1.0,,,
development,leakage_positive_control,96,1.0000000000000002,0.0,0.0,,1.0,0.0035696446241632296,1.0,,,
development,mean_predictor,96,0.0,0.03647528843204166,0.03945193191144785,,1.0,0.0021403910769015404,1.0,,,
development,pagerank_centrality,96,-0.013212243707871092,0.5961892613477708,0.6183842232454936,,1.0,0.4362185612176687,1.0,,,
development,random_predictor,96,0.09451980466630495,0.42376481072098954,0.5108078864033865,,1.0,0.3014169546264441,1.0,,,
development,shortest_path_to_perturbation,96,-0.0391563185590146,0.7095496442513959,0.719724249458935,,1.0,0.5807356669643701,1.0,,,
development,supervised_graph_spectral_model,96,0.7901575459697259,0.012500745618416673,0.01615634941876671,,1.0,0.003150692796047037,1.0,,,
calibration,algebraic_connectivity,144,0.07789352202558322,0.499679371202507,0.5731615039065548,,1.0,0.37557345461025915,1.0,,,
calibration,betweenness_centrality,144,0.09578410095651474,0.6109245800379652,0.6357875436268616,,1.0,0.4603466686540518,1.0,,,
