model,bundle,train_n,holdout_n,calibration_spearman,holdout_spearman,holdout_mae,holdout_rmse,holdout_top_k_precision,weights_hash,scaler_hash
mean_predictor,baseline,17179,4321,0.000000,0.000000,0.021585,0.051606,0.020000,pb02_weights_mean_predictor_329bad963e661a519def48ac,pb02_scale_mean_predictor_01149e752fba92e43204fa82
random_predictor,baseline,17179,4321,0.014401,-0.004652,0.021584,0.051605,0.010000,pb02_weights_random_predictor_ab0722c5ab6355f3a2751c7c,pb02_scale_random_predictor_db7f3f09e4cca61e56c6d396
graph_size_density,baseline,17179,4321,0.000000,0.000000,0.021585,0.051606,0.020000,pb02_weights_graph_size_density_86591d1349eeece36bd3255c,pb02_scale_graph_size_density_71c52f05ad39cf9c1a64f0ac
degree_centrality,baseline,17179,4321,0.000000,0.000000,0.021585,0.051606,0.020000,pb02_weights_degree_centrality_13468d7d7b44b48a67a61559,pb02_scale_degree_centrality_98c3151405e8849f7e3a3b1c
betweenness_centrality,baseline,17179,4321,0.798011,0.810801,0.007050,0.043394,0.110000,pb02_weights_betweenness_centrality_32d9b34ee0d18c357429dbab,pb02_scale_betweenness_centrality_2a8b10e19f9ce70bbdb3bd82
closeness_centrality,baseline,17179,4321,0.993131,0.991454,0.007050,0.043394,0.130000,pb02_weights_closeness_centrality_d1a185d491c813c87e410970,pb02_scale_closeness_centrality_cb493ce16c3d420a1a54e83b
pagerank_centrality,baseline,17179,4321,0.000000,0.000000,0.021585,0.051606,0.020000,pb02_weights_pagerank_centrality_091b0ee62611140cdcc17456,pb02_scale_pagerank_centrality_489f1f7195b682a7cbec3501
eigenvector_centrality,baseline,17179,4321,0.000000,0.000000,0.021585,0.051606,0.020000,pb02_weights_eigenvector_centrality_091b0ee62611140cdcc17456,pb02_scale_eigenvector_centrality_489f1f7195b682a7cbec3501
shortest_path_to_perturbation,baseline,17179,4321,0.000000,0.000000,0.021585,0.051606,0.020000,pb02_weights_shortest_path_to_perturbation_091b0ee62611140cdcc17456,pb02_scale_shortest_path_to_perturbation_489f1f7195b682a7cbec3501
algebraic_connectivity,baseline,17179,4321,0.000000,0.000000,0.021585,0.051606,0.020000,pb02_weights_algebraic_connectivity_091b0ee62611140cdcc17456,pb02_scale_algebraic_connectivity_489f1f7195b682a7cbec3501
domain_diffusion_early_probe,baseline,17179,4321,0.752894,0.770554,0.007050,0.043394,0.110000,pb02_weights_domain_diffusion_early_probe_99895a804ce92adbb550a91e,pb02_scale_domain_diffusion_early_probe_5f15bf858ad2e9501247f423
supervised_graph_spectral_model,baseline,17179,4321,0.683718,0.707665,0.007050,0.043394,0.110000,pb02_weights_supervised_graph_spectral_model_c52ee3626ff3ccd13adea6a8,pb02_scale_supervised_graph_spectral_model_85202c901f422e8440889794
