source_file,sheet_name,trace_id,distance_um,thickness_nm,time_ps,computed_target_band_intensity,normalized_intensity
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,4.71116,1656.730785,1
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,9.71116,848.9964834,0.5124528928
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,14.71116,610.1917927,0.368310771
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,19.71116,391.3142418,0.2361966382
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,24.71116,261.3779657,0.1577673139
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,29.71116,246.2722962,0.1486495564
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,34.71116,144.5493002,0.08724972189
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,39.71116,147.2167268,0.08885977621
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,44.71116,109.506721,0.06609807821
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,49.71116,85.0013295,0.05130666387
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,54.71116,97.49899515,0.05885023447
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,59.71116,60.05205058,0.0362473198
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,64.71116,66.08369631,0.03988801133
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,69.71116,52.36080291,0.03160489525
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,74.71116,40.92008673,0.02469929762
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,79.71116,45.09581297,0.02721975917
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,84.71116,32.38995961,0.0195505268
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,89.71116,36.73860498,0.02217536205
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,94.71116,28.57105541,0.01724544245
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,99.71116,23.32870468,0.0140811681
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,104.71116,25.74331576,0.01553862341
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,109.71116,18.94087645,0.01143268214
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,114.71116,20.08533396,0.01212347482
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,119.71116,17.24218113,0.01040735241
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,124.71116,15.11052157,0.009120686176
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,129.71116,16.48505872,0.009950354563
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_0um,0,224,134.71116,12.47298118,0.007528671098
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_2um,2,224,4.71116,365.621349,0.2019672367
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_2um,2,224,9.71116,1028.618597,0.5682032961
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_2um,2,224,14.71116,1647.268705,0.9099422378
outputs/raw/Source data Fig.2.xlsx,Fig.2a,Source_data_Fig.2_Fig.2a_dR_R_2um,2,224,19.71116,1810.300299,1
