source_file,sheet_name,trace_id,distance_um,thickness_nm,time_ps,stft_intensity,normalized_intensity
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,5,1,1
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,10,0.70996,0.70996
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,15,0.59068,0.59068
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,20,0.41026,0.41026
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,25,0.31002,0.31002
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,30,0.23466,0.23466
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,35,0.17431,0.17431
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,40,0.13966,0.13966
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,45,0.10958,0.10958
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,50,0.07629,0.07629
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,55,0.06433,0.06433
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,60,0.05765,0.05765
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,65,0.05079,0.05079
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,70,0.0424,0.0424
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,75,0.03607,0.03607
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,80,0.02753,0.02753
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,85,0.02622,0.02622
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,90,0.02214,0.02214
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,95,0.01815,0.01815
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,100,0.0148,0.0148
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,105,0.01318,0.01318
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,110,0.01225,0.01225
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,115,0.01034,0.01034
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,120,0.009,0.009
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,125,0.00735,0.00735
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,130,0.00617,0.00617
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_0_96,0,96,135,0.00694,0.00694
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,5,0.12921,0.12921
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,10,0.28644,0.28644
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,15,0.55947,0.55947
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,20,0.75409,0.75409
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,25,0.88186,0.88186
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,30,1,1
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,35,0.93543,0.93543
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,40,0.81728,0.81728
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,45,0.65566,0.65566
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,50,0.46741,0.46741
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,55,0.43167,0.43167
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,60,0.40272,0.40272
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,65,0.33739,0.33739
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,70,0.30868,0.30868
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,75,0.27803,0.27803
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,80,0.2301,0.2301
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,85,0.2025,0.2025
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,90,0.16591,0.16591
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,95,0.15108,0.15108
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,100,0.12602,0.12602
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,105,0.08543,0.08543
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,110,0.08986,0.08986
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,115,0.07845,0.07845
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,120,0.06468,0.06468
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,125,0.0586,0.0586
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,130,0.04704,0.04704
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_2_96,2,96,135,0.03532,0.03532
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,5,0.000787792,0.000787792
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,10,8.23051e-05,8.23051e-05
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,15,0.000342769,0.000342769
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,20,0.01062,0.01062
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,25,0.04423,0.04423
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,30,0.11734,0.11734
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,35,0.21417,0.21417
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,40,0.39201,0.39201
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,45,0.55882,0.55882
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,50,0.82962,0.82962
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,55,1,1
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,60,0.96203,0.96203
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,65,0.98796,0.98796
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,70,0.88578,0.88578
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,75,0.87031,0.87031
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,80,0.76384,0.76384
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,85,0.70942,0.70942
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,90,0.67153,0.67153
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,95,0.57815,0.57815
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,100,0.4287,0.4287
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,105,0.45136,0.45136
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,110,0.3784,0.3784
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,115,0.31883,0.31883
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,120,0.35578,0.35578
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,125,0.30407,0.30407
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,130,0.29546,0.29546
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_4_96,4,96,135,0.29193,0.29193
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,5,0.00153,0.00153
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,10,0.01098,0.01098
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,15,0.00608,0.00608
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,20,0.00338,0.00338
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,25,0.00578,0.00578
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,30,0.00514,0.00514
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,35,0.00765,0.00765
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,40,0.02164,0.02164
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,45,0.05018,0.05018
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,50,0.0477,0.0477
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,55,0.11159,0.11159
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,60,0.2161,0.2161
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,65,0.30548,0.30548
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,70,0.45831,0.45831
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,75,0.63024,0.63024
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,80,0.65402,0.65402
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,85,0.786,0.786
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,90,0.89718,0.89718
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,95,0.80299,0.80299
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,100,0.82085,0.82085
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,105,0.796,0.796
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,110,1,1
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,115,0.57775,0.57775
outputs/raw/Source data Fig.2.xlsx,Fig.2d,Source_data_Fig.2_Fig.2d_STFT_Int_6_96,6,96,120,0.68935,0.68935
