source_mode,sample_id,condition_index,condition_type,condition_value,distance_um,time_ps,frequency_THz,peak_amplitude,peak_frequency_THz,linewidth_proxy,ferron_peak_recoverability,propagation_recoverability,temporal_recoverability,combined_recoverability,delta_persistence,k_star,safety_margin,confidence,visible_failure
REAL_DATA_LOADED,Source data Fig.1_Fig.1b,0,dataset,0,,,,172.2402713,3.135833119,0.005833331,1,,,1,0,,,0.9252511381,False
REAL_DATA_LOADED,Source data Fig.1_Fig.1c,0,dataset,0,,,,278.9445064,3.13333312,0.007499997,1,,,1,0,,,0.9954307481,False
REAL_DATA_LOADED,Source data Fig.1_Fig.1e,0,dataset,0,,,,0.00868,3.13574,0.04296,1,,,1,0,,,0.8654037886,False
REAL_DATA_LOADED,Source data Fig.2_Fig.2c,0,thickness_nm,96,,,,0.9999828681,3.13236,0.00693,1,,,1,0,,,0.9999828681,False
REAL_DATA_LOADED,Source data Fig.2_Fig.2c,1,thickness_nm,224,,,,0.9999853313,3.13236,0.00693,1,,,1,0,,,0.9999853313,False
REAL_DATA_LOADED,Source data Fig.4_Fig. 4c,0,dataset,0,,,,2.101074628,3.192,0,1,,,1,0,,,0.9999926836,False
REAL_DATA_LOADED,Source data Fig.1_Fig.1d,0,dataset,0,,,,10.91694917,3.135738832,0.04295532646,1,,1,1,0,,,0.9706124519,False
REAL_DATA_LOADED,Source data Fig.2_Fig.2a,0,distance_um,0,0,,,103.2266995,3.132363132,0.00693000693,1,1,1,1,0,,,0.9972195494,False
REAL_DATA_LOADED,Source data Fig.2_Fig.2a,1,distance_um,2,2,,,268.0176654,3.132363132,0.00693000693,1,1,1,1,0,,,0.9967750303,False
REAL_DATA_LOADED,Source data Fig.2_Fig.2a,2,distance_um,4,4,,,387.2971111,3.139293139,0.00693000693,0.9778761062,1,1,0.9926253687,-0.007374631268,,,0.9961002721,False
REAL_DATA_LOADED,Source data Fig.2_Fig.2a,3,distance_um,6,6,,,389.1565219,3.139293139,0.01386001386,0.7519864998,1,1,0.9173288333,-0.07529653547,,,0.9938450582,False
REAL_DATA_LOADED,Source data Fig.2_Fig.2b,0,distance_um,0,0,,,122.8808215,3.132363132,0.00693000693,1,1,1,1,0,,,0.9957526777,False
REAL_DATA_LOADED,Source data Fig.2_Fig.2b,1,distance_um,2,2,,,306.8967165,3.132363132,0.00693000693,1,1,1,1,0,,,0.9932329055,False
REAL_DATA_LOADED,Source data Fig.2_Fig.2b,2,distance_um,4,4,,,330.6872753,3.139293139,0.01386001386,0.7519864998,1,1,0.9173288333,-0.08267116674,,,0.9907357188,False
REAL_DATA_LOADED,Source data Fig.2_Fig.2b,3,distance_um,6,6,,,216.1906729,3.139293139,0.01386001386,0.7519864998,1,1,0.9173288333,0,,,0.9777241925,False
