sample,sample_role,model_family,data_kind,setting_pair,left_setting,right_setting,left_angle_rad,right_angle_rad,expectation,standard_error,trials,left_marginal,right_marginal,chsh_s,chsh_ci_low,chsh_ci_high,local_bound_margin,status
deterministic_local_response_enumeration,classical_bound,deterministic_local_bound,exhaustive_enumeration,aggregate,,,,,,,16,0,0,2,,,0,CLASSICAL_BOUND_REPRODUCED
quantum_singlet_reference_analytic,reference,quantum_singlet_reference,analytic,aggregate,,,,,,,0,0,0,2.82842712475,,,0.828427124746,REFERENCE_ANALYTIC_VIOLATION_REPRODUCED
quantum_singlet_reference_sampled,reference,quantum_singlet_reference,seeded_finite_sample,aggregate,,,,,,,50000,0.00664,0.00708,2.82032,2.80788834608,2.83275165392,0.82032,REFERENCE_VIOLATION_REPRODUCED
local_hidden_angle_control_sampled,negative_control,local_hidden_variable_reference,seeded_finite_sample,aggregate,,,,,,,50000,0.0042,0.00488,2.01056,1.99540473471,2.02571526529,0.01056,CLASSICAL_CONTROL_WITHIN_WARNING_MARGIN
uncorrelated_outcome_control_sampled,negative_control,uncorrelated_control,seeded_finite_sample,aggregate,,,,,,,50000,0.00724,0.01168,0.00788,0,0.0254108808053,-1.99212,CONTROL_NEAR_ZERO
quantum_singlet_reference_analytic,reference,quantum_singlet_reference,analytic,a_b,a,b,0,0.785398163397,-0.707106781187,,0,,,,,,,PAIR_RECORDED
quantum_singlet_reference_analytic,reference,quantum_singlet_reference,analytic,a_b_prime,a,b_prime,0,-0.785398163397,-0.707106781187,,0,,,,,,,PAIR_RECORDED
quantum_singlet_reference_analytic,reference,quantum_singlet_reference,analytic,a_prime_b,a_prime,b,1.57079632679,0.785398163397,-0.707106781187,,0,,,,,,,PAIR_RECORDED
quantum_singlet_reference_analytic,reference,quantum_singlet_reference,analytic,a_prime_b_prime,a_prime,b_prime,1.57079632679,-0.785398163397,0.707106781187,,0,,,,,,,PAIR_RECORDED
quantum_singlet_reference_sampled,reference,quantum_singlet_reference,seeded_finite_sample,a_b,a,b,0,0.785398163397,-0.70324,0.00317950817477,50000,-0.0006,-0.00104,,,,,PAIR_RECORDED
quantum_singlet_reference_sampled,reference,quantum_singlet_reference,seeded_finite_sample,a_b_prime,a,b_prime,0,-0.785398163397,-0.70728,0.00316153442777,50000,-0.00112,-0.00328,,,,,PAIR_RECORDED
quantum_singlet_reference_sampled,reference,quantum_singlet_reference,seeded_finite_sample,a_prime_b,a_prime,b,1.57079632679,0.785398163397,-0.70556,0.00316921166949,50000,0.00664,-0.0018,,,,,PAIR_RECORDED
quantum_singlet_reference_sampled,reference,quantum_singlet_reference,seeded_finite_sample,a_prime_b_prime,a_prime,b_prime,1.57079632679,-0.785398163397,0.70424,0.00317507827784,50000,0.00284,0.00708,,,,,PAIR_RECORDED
local_hidden_angle_control_sampled,negative_control,local_hidden_variable_reference,seeded_finite_sample,a_b,a,b,0,0.785398163397,-0.49732,0.00387991719334,50000,0.00148,0.00112,,,,,PAIR_RECORDED
local_hidden_angle_control_sampled,negative_control,local_hidden_variable_reference,seeded_finite_sample,a_b_prime,a,b_prime,0,-0.785398163397,-0.50052,0.00387167849774,50000,0.0014,-0.00488,,,,,PAIR_RECORDED
local_hidden_angle_control_sampled,negative_control,local_hidden_variable_reference,seeded_finite_sample,a_prime_b,a_prime,b,1.57079632679,0.785398163397,-0.50476,0.00386065343445,50000,0.0042,0.00176,,,,,PAIR_RECORDED
local_hidden_angle_control_sampled,negative_control,local_hidden_variable_reference,seeded_finite_sample,a_prime_b_prime,a_prime,b_prime,1.57079632679,-0.785398163397,0.50796,0.00385224993537,50000,-0.00132,-0.00248,,,,,PAIR_RECORDED
uncorrelated_outcome_control_sampled,negative_control,uncorrelated_control,seeded_finite_sample,a_b,a,b,0,0.785398163397,0.001,0.00447217844094,50000,0.00284,0.002,,,,,PAIR_RECORDED
uncorrelated_outcome_control_sampled,negative_control,uncorrelated_control,seeded_finite_sample,a_b_prime,a,b_prime,0,-0.785398163397,-0.0016,0.00447217495264,50000,0.00724,0.0074,,,,,PAIR_RECORDED
uncorrelated_outcome_control_sampled,negative_control,uncorrelated_control,seeded_finite_sample,a_prime_b,a_prime,b,1.57079632679,0.785398163397,-0.00304,0.00447216001193,50000,0.0012,-0.01168,,,,,PAIR_RECORDED
uncorrelated_outcome_control_sampled,negative_control,uncorrelated_control,seeded_finite_sample,a_prime_b_prime,a_prime,b_prime,1.57079632679,-0.785398163397,0.00424,0.00447214047731,50000,0.00128,-0.00168,,,,,PAIR_RECORDED
