control_id,pair_role,setting_left,setting_right,target_mean_G,control_mean_G,target_rank,control_rank,rank_delta
target_geometry,chsh_held_back,a0,b0,-0.0998300636581,-0.0998300636581,2,2,0
target_geometry,chsh_held_back,a0,b1,-0.00629732976511,-0.00629732976511,4,4,0
target_geometry,chsh_held_back,a1,b0,0.0620147597874,0.0620147597874,6,6,0
target_geometry,chsh_held_back,a1,b1,0.00601681682313,0.00601681682313,5,5,0
target_geometry,holdout,h0,h1,-0.18169529657,-0.18169529657,1,1,0
target_geometry,holdout,h0,h2,0.114072055756,0.114072055756,7,7,0
target_geometry,holdout,h3,h1,0.545676245683,0.545676245683,8,8,0
target_geometry,holdout,h3,h2,-0.0653040862355,-0.0653040862355,3,3,0
identity_pairing,chsh_held_back,a0,b0,-0.0998300636581,0.481108466956,2,8,6
identity_pairing,chsh_held_back,a0,b1,-0.00629732976511,0,4,4,0
identity_pairing,chsh_held_back,a1,b0,0.0620147597874,0,6,4,-2
identity_pairing,chsh_held_back,a1,b1,0.00601681682313,0,5,4,-1
identity_pairing,holdout,h0,h1,-0.18169529657,0,1,4,3
identity_pairing,holdout,h0,h2,0.114072055756,0,7,4,-3
identity_pairing,holdout,h3,h1,0.545676245683,0,8,4,-4
identity_pairing,holdout,h3,h2,-0.0653040862355,0,3,4,1
shuffled_pairing,chsh_held_back,a0,b0,-0.0998300636581,0.089848096308,2,7,5
shuffled_pairing,chsh_held_back,a0,b1,-0.00629732976511,-0.0107584511762,4,3,-1
shuffled_pairing,chsh_held_back,a1,b0,0.0620147597874,0.0488239925887,6,5,-1
shuffled_pairing,chsh_held_back,a1,b1,0.00601681682313,-0.0644256244563,5,2,-3
shuffled_pairing,holdout,h0,h1,-0.18169529657,-0.246931867224,1,1,0
shuffled_pairing,holdout,h0,h2,0.114072055756,0.07265536753,7,6,-1
shuffled_pairing,holdout,h3,h1,0.545676245683,0.180875808391,8,8,0
shuffled_pairing,holdout,h3,h2,-0.0653040862355,0.0021455494731,3,4,1
random_orthogonal_pairing,chsh_held_back,a0,b0,-0.0998300636581,0.0105843763861,2,4,2
random_orthogonal_pairing,chsh_held_back,a0,b1,-0.00629732976511,-0.0298397138514,4,3,-1
random_orthogonal_pairing,chsh_held_back,a1,b0,0.0620147597874,0.228281882323,6,8,2
random_orthogonal_pairing,chsh_held_back,a1,b1,0.00601681682313,0.118296560215,5,7,2
random_orthogonal_pairing,holdout,h0,h1,-0.18169529657,0.0540808504666,1,5,4
random_orthogonal_pairing,holdout,h0,h2,0.114072055756,-0.365300023103,7,1,-6
random_orthogonal_pairing,holdout,h3,h1,0.545676245683,-0.0342613990739,8,2,-6
random_orthogonal_pairing,holdout,h3,h2,-0.0653040862355,0.078672702083,3,6,3
topology_destroyed_pairing,chsh_held_back,a0,b0,-0.0998300636581,0,2,4.5,2.5
topology_destroyed_pairing,chsh_held_back,a0,b1,-0.00629732976511,0,4,4.5,0.5
topology_destroyed_pairing,chsh_held_back,a1,b0,0.0620147597874,0,6,4.5,-1.5
topology_destroyed_pairing,chsh_held_back,a1,b1,0.00601681682313,0,5,4.5,-0.5
topology_destroyed_pairing,holdout,h0,h1,-0.18169529657,0,1,4.5,3.5
topology_destroyed_pairing,holdout,h0,h2,0.114072055756,0,7,4.5,-2.5
topology_destroyed_pairing,holdout,h3,h1,0.545676245683,0,8,4.5,-3.5
topology_destroyed_pairing,holdout,h3,h2,-0.0653040862355,0,3,4.5,1.5
label_permuted_settings,chsh_held_back,a0,b0,-0.0998300636581,0.00601681682313,2,6,4
label_permuted_settings,chsh_held_back,a0,b1,-0.00629732976511,-0.034848003219,4,4,0
label_permuted_settings,chsh_held_back,a1,b0,0.0620147597874,-0.000416488984226,6,5,-1
label_permuted_settings,chsh_held_back,a1,b1,0.00601681682313,-0.18169529657,5,2,-3
label_permuted_settings,holdout,h0,h1,-0.18169529657,0.0653040862355,1,7,6
label_permuted_settings,holdout,h0,h2,0.114072055756,-0.080858086063,7,3,-4
label_permuted_settings,holdout,h3,h1,0.545676245683,-0.557412916012,8,1,-7
label_permuted_settings,holdout,h3,h2,-0.0653040862355,0.0998300636581,3,8,5
closure_vector_permutation,chsh_held_back,a0,b0,-0.0998300636581,-0.0105843763861,2,5,3
closure_vector_permutation,chsh_held_back,a0,b1,-0.00629732976511,-0.286620959034,4,1,-3
closure_vector_permutation,chsh_held_back,a1,b0,0.0620147597874,0.196854061481,6,8,2
closure_vector_permutation,chsh_held_back,a1,b1,0.00601681682313,-0.120850170924,5,3,-2
closure_vector_permutation,holdout,h0,h1,-0.18169529657,0.0314376255144,1,7,6
closure_vector_permutation,holdout,h0,h2,0.114072055756,0,7,6,-1
closure_vector_permutation,holdout,h3,h1,0.545676245683,-0.042798523451,8,4,-4
closure_vector_permutation,holdout,h3,h2,-0.0653040862355,-0.138327859803,3,2,-1
refinement_broken_control,chsh_held_back,a0,b0,-0.0998300636581,-0.165004884139,2,2,0
refinement_broken_control,chsh_held_back,a0,b1,-0.00629732976511,-0.00485773481649,4,4,0
refinement_broken_control,chsh_held_back,a1,b0,0.0620147597874,0.0237241596991,6,6,0
refinement_broken_control,chsh_held_back,a1,b1,0.00601681682313,0.0156166629504,5,5,0
refinement_broken_control,holdout,h0,h1,-0.18169529657,-0.210531498205,1,1,0
refinement_broken_control,holdout,h0,h2,0.114072055756,0.146117614001,7,7,0
refinement_broken_control,holdout,h3,h1,0.545676245683,0.63483079683,8,8,0
refinement_broken_control,holdout,h3,h2,-0.0653040862355,-0.0755589019114,3,3,0
