candidate_id,run_id,mutual_information_bits,tolerance_bits,source_bucket_count,setting_pair_count,status
local_sanity_candidate,local_sanity_candidate_seed_7201,0.0,0.002,16,4,SETTING_INDEPENDENCE_PASS
haos_local_recoverability_candidate,haos_local_recoverability_candidate_seed_7201,0.0,0.002,4,4,SETTING_INDEPENDENCE_PASS
haos_joint_closure_candidate,haos_joint_closure_candidate_seed_7201,0.0,0.002,4,4,SETTING_INDEPENDENCE_PASS
independent_random_control,independent_random_control_seed_7201,0.0,0.002,16,4,SETTING_INDEPENDENCE_PASS
deterministic_lhv_control,deterministic_lhv_control_seed_7201,0.0,0.002,16,4,SETTING_INDEPENDENCE_PASS
shared_randomness_local_control,shared_randomness_local_control_seed_7201,0.0,0.002,16,4,SETTING_INDEPENDENCE_PASS
source_setting_leakage_positive_control,source_setting_leakage_positive_control_seed_7201,2.0,0.002,4,4,SETTING_INDEPENDENCE_FAIL
post_selection_positive_control,post_selection_positive_control_seed_7201,0.006070057225352108,0.002,16,4,SETTING_INDEPENDENCE_FAIL
label_permutation_control,label_permutation_control_seed_7201,0.0,0.002,4,4,SETTING_INDEPENDENCE_PASS
setting_permutation_control,setting_permutation_control_seed_7201,0.027234721981836785,0.002,4,4,SETTING_INDEPENDENCE_FAIL
