event_id,target_specificity_score,best_control_sample,best_control_type,best_control_specificity_score,specificity_margin,event_window_specificity_margin,separation_z,control_false_positive_rate
surrogate_01,0.8259382767051463,envelope_locked_phase_control,event_envelope_preserved_phase_scramble,0.6949375573108735,0.13100071939427282,0.13100071939427282,2.522946682339616,0.1111111111111111
surrogate_02,0.9137576066886991,partial_overlap_scramble_control,partial_event_overlap_scramble,0.6196923273176842,0.2940652793710149,0.2940652793710149,3.365480302957258,0.0
surrogate_03,0.9150786336361976,partial_overlap_scramble_control,partial_event_overlap_scramble,0.6307632452494027,0.2843153883867948,0.2843153883867948,4.074225771643755,0.0
surrogate_04,0.8862851523664095,sliding_window_scramble_control,event_window_sliding_scramble,0.6879680001288462,0.1983171522375633,0.1983171522375633,2.884071884233512,0.0
surrogate_05,0.8343676284296841,partial_overlap_scramble_control,partial_event_overlap_scramble,0.6269775590009921,0.2073900694286921,0.2073900694286921,3.4899593140190053,0.0
surrogate_06,0.9080685625839431,sliding_window_scramble_control,event_window_sliding_scramble,0.7691064138748245,0.1389621487091186,0.1389621487091186,2.597430946760363,0.1111111111111111
surrogate_07,0.931746073403215,micro_chunk_scramble_control,event_window_micro_chunk_scramble,0.6708048696403884,0.2609412037628266,0.2609412037628266,3.2002295518929382,0.0
surrogate_08,0.7942345462493525,micro_chunk_scramble_control,event_window_micro_chunk_scramble,0.6541500073393944,0.1400845389099581,0.1400845389099581,2.445836345007015,0.0
surrogate_09,0.8302880322806998,partial_overlap_scramble_control,partial_event_overlap_scramble,0.6108741270911163,0.21941390518958348,0.21941390518958348,3.5168348670854757,0.0
surrogate_10,0.8468764940047098,micro_chunk_scramble_control,event_window_micro_chunk_scramble,0.6800687019871963,0.1668077920175135,0.1668077920175135,2.7290841732164735,0.0
surrogate_11,0.9076480559801748,partial_overlap_scramble_control,partial_event_overlap_scramble,0.6148392169060619,0.2928088390741129,0.2928088390741129,3.763626692611778,0.0
surrogate_12,0.9148248764098851,partial_overlap_scramble_control,partial_event_overlap_scramble,0.6414637955109631,0.27336108089892197,0.27336108089892197,3.515635852811282,0.0
