time_seconds,strain
0.000000000,2.101779045579e-01
0.000976562,-2.851756072952e+00
0.001953125,-5.819920411899e-01
0.002929688,-1.798419064195e+00
0.003906250,-1.153928554467e+00
0.004882812,-2.219420234796e+00
0.005859375,-9.706967910269e-01
0.006835938,-5.904003132400e-01
0.007812500,-1.766513394849e+00
0.008789062,-1.521400824057e+00
0.009765625,-5.733884081031e-01
0.010742188,-8.957768281647e-03
0.011718750,-1.339316756284e+00
0.012695312,-1.684560981303e+00
0.013671875,3.597306963289e-01
0.014648438,-9.391825046427e-01
0.015625000,1.058976636667e+00
0.016601562,-1.141808350931e+00
0.017578125,7.073122192607e-01
0.018554688,-2.117961273245e+00
0.019531250,-1.919010248799e+00
0.020507812,-4.956844385663e-01
0.021484375,6.378007531976e-01
0.022460938,9.807319828215e-02
0.023437500,-1.438189708237e+00
0.024414062,-9.719601827971e-01
0.025390625,-1.581063907929e-01
0.026367188,6.476149459304e-02
0.027343750,2.075694028021e-01
0.028320312,3.485997918931e-01
0.029296875,4.252945560225e-01
0.030273438,-5.142124800788e-01
0.031250000,-1.683273107693e+00
0.032226562,-1.214718763945e+00
0.033203125,-6.321714362036e-01
0.034179688,1.447897886264e+00
0.035156250,-1.140883855741e+00
0.036132812,3.715128430913e-01
0.037109375,-1.193273754204e+00
0.038085938,-4.176984124442e-01
0.039062500,1.025063850757e+00
0.040039062,-9.817980728218e-01
0.041015625,-6.133503872001e-01
0.041992188,-9.706130884568e-01
0.042968750,-5.480512674571e-01
0.043945312,-5.416080262580e-01
0.044921875,-1.851894681349e+00
0.045898438,-3.803232068460e-01
0.046875000,6.504575887436e-01
0.047851562,-2.156271922990e-01
0.048828125,-1.786375469150e+00
0.049804688,6.931908776359e-03
0.050781250,-1.304002735376e+00
0.051757812,-5.068771606143e-01
0.052734375,-1.566149302909e+00
0.053710938,-3.012985797454e-01
0.054687500,-7.854860137087e-01
0.055664062,-6.785450093170e-01
0.056640625,-3.517398155908e+00
0.057617188,-3.154153787427e-01
0.058593750,-1.740908724694e+00
0.059570312,-9.115865273321e-01
0.060546875,2.061300323204e-01
0.061523438,-3.207342734032e-01
0.062500000,-2.437870196894e-01
0.063476562,1.301560030454e-01
0.064453125,1.058891499398e-02
0.065429688,-1.122987871173e+00
0.066406250,-7.228326316973e-02
0.067382812,-1.531116416634e+00
0.068359375,-1.430553956270e+00
0.069335938,-1.478258390317e+00
0.070312500,-1.968613307870e+00
0.071289062,-1.745680704363e+00
0.072265625,-5.494700127393e-01
0.073242188,-1.256867058449e+00
0.074218750,-2.128737327900e+00
0.075195312,-1.966416130483e+00
0.076171875,-1.049038609644e+00
0.077148438,1.358486528195e-01
0.078125000,-7.884526732905e-02
0.079101562,-1.330764470014e+00
0.080078125,-4.821918251368e-01
0.081054688,-7.030274260458e-01
0.082031250,8.045812395860e-01
0.083007812,-1.313333587756e+00
0.083984375,-1.677283883356e+00
0.084960938,-1.888540575742e+00
0.085937500,-4.788260611771e-01
0.086914062,-3.380512474643e-02
0.087890625,4.460937263527e-01
0.088867188,6.200000913686e-01
0.089843750,-1.407859810985e+00
0.090820312,-6.923431606971e-02
0.091796875,8.263049927112e-01
0.092773438,1.646346430865e+00
0.093750000,-2.437702495126e+00
0.094726562,-1.020925432626e+00
0.095703125,-1.454910605539e+00
0.096679688,2.878094400141e-01
0.097656250,1.000248148790e+00
0.098632812,-9.152628921945e-01
0.099609375,8.249301053652e-01
0.100585938,3.016783409306e-01
0.101562500,-9.259032809719e-01
0.102539062,-7.770835558324e-01
0.103515625,-1.028311254345e-01
0.104492188,-6.228215975254e-01
0.105468750,3.618743141079e-01
0.106445312,-1.063919233534e+00
0.107421875,1.156847238794e-01
0.108398438,-1.060726437466e+00
0.109375000,-7.993233986766e-01
0.110351562,-5.608924243168e-01
0.111328125,-9.294213474747e-01
0.112304688,6.088515304742e-01
0.113281250,-3.430742963341e-01
0.114257812,1.816636000282e+00
0.115234375,-1.511067874336e+00
0.116210938,-1.567054702725e-01
0.117187500,-2.344654972358e+00
0.118164062,9.590387189578e-01
0.119140625,-1.454128596774e-01
0.120117188,-3.244979235985e-01
0.121093750,1.228104776127e-01
0.122070312,-1.321482666338e-01
0.123046875,-4.429685906907e-01
0.124023438,-7.598073199557e-01
0.125000000,-3.155094434645e-01
0.125976562,-5.363682787309e-01
0.126953125,4.118024351226e-01
0.127929688,3.678585933487e-01
0.128906250,-4.203910716519e-01
0.129882812,-3.059810722730e+00
0.130859375,1.273180395855e+00
0.131835938,-2.032472366505e-01
0.132812500,-9.086840243999e-01
0.133789062,1.145116580418e+00
0.134765625,-1.537279590372e+00
0.135742188,-1.061468723889e+00
0.136718750,-1.065091961205e+00
0.137695312,-2.576890486119e+00
0.138671875,-1.232796778549e+00
0.139648438,-1.316762800209e-01
0.140625000,-1.002891566284e+00
0.141601562,-1.319119457429e+00
0.142578125,-1.197339381861e-01
0.143554688,-9.850529739096e-02
0.144531250,-2.276941533394e+00
0.145507812,-8.476172599266e-01
0.146484375,1.098739220110e+00
0.147460938,1.336716573708e-01
0.148437500,2.913823747112e-01
0.149414062,-1.461826465424e+00
0.150390625,1.522166164766e+00
0.151367188,-4.487905580300e-01
0.152343750,-9.238514894813e-01
0.153320312,1.295374603894e-01
0.154296875,-6.969567741141e-01
0.155273438,4.467055997047e-01
0.156250000,-1.275799043514e+00
0.157226562,1.542970901370e+00
0.158203125,-5.489214673963e-01
0.159179688,6.768296454842e-01
0.160156250,1.830560628450e+00
0.161132812,1.191044474874e+00
0.162109375,1.163304477268e+00
0.163085938,-1.724971988872e+00
0.164062500,-5.263453598936e-01
0.165039062,5.171472829586e-01
0.166015625,2.823776992353e+00
0.166992188,-2.051725762892e-01
0.167968750,-1.774460679043e+00
0.168945312,7.231401505944e-02
0.169921875,-1.531578090515e+00
0.170898438,-8.747791334980e-01
0.171875000,-8.279892818333e-01
0.172851562,-2.401310809343e-01
0.173828125,-2.770179238492e-01
0.174804688,-3.140875536962e-01
0.175781250,1.116219730629e+00
0.176757812,6.476989925940e-02
0.177734375,4.931701309924e-01
0.178710938,-1.531508464279e+00
0.179687500,-3.860499161708e-01
0.180664062,1.429817347945e+00
0.181640625,1.296413167114e-01
0.182617188,-8.452217971887e-01
0.183593750,1.283089268725e+00
0.184570312,-2.932660604244e-01
0.185546875,-2.167360163937e-01
0.186523438,1.627351917582e+00
0.187500000,-5.260369121279e-01
0.188476562,-1.210197028652e-03
0.189453125,1.144298102365e+00
0.190429688,-1.028349624278e+00
0.191406250,-5.947760116449e-01
0.192382812,-2.655940519129e-01
0.193359375,4.947438520937e-01
0.194335938,-1.243338520196e+00
0.195312500,-9.071729992247e-01
0.196289062,-2.109772184925e+00
0.197265625,-2.623328752796e+00
0.198242188,1.685131404814e-01
0.199218750,-6.046668856976e-01
0.200195312,-9.526836233229e-01
0.201171875,1.163100241719e+00
0.202148438,-2.283854582525e+00
0.203125000,-1.153838230007e-01
0.204101562,-2.597890823519e-01
0.205078125,-3.897875960919e-01
