sample,sample_role,model_family,data_kind,series,n_lower,n_upper,l_lower,l_upper,wavenumber_m_inv,wavelength_nm,reference_wavenumber_m_inv,reference_wavelength_nm,relative_wavenumber_error,relative_wavelength_error,fitted_rydberg_m_inv,rydberg_relative_error,transition_rms_relative_error,series_law_rms_relative_error,absolute_line_score,rydberg_scale_score,inverse_square_law_score,line_order_score,selection_rule_score,hydrogen_reference_score,status
hydrogen_rydberg_reference,reference,gross_rydberg_series,aggregate,all,,,,,,,,,,,10967758.3403,1.69829156646e-16,0,2.37358235608e-16,1,1,1,1,1,1,REFERENCE_RYDBERG_SERIES_REPRODUCED
hydrogen_rydberg_reference,reference,gross_rydberg_series,line,lyman,1,2,0,1,8225818.75521,121.568445617,8225818.75521,121.568445617,0,0,,,,,,,,,,,LINE_RECORDED
hydrogen_rydberg_reference,reference,gross_rydberg_series,line,lyman,1,3,0,1,9749118.52469,102.57337599,9749118.52469,102.57337599,0,0,,,,,,,,,,,LINE_RECORDED
hydrogen_rydberg_reference,reference,gross_rydberg_series,line,lyman,1,4,0,1,10282273.444,97.2547564938,10282273.444,97.2547564938,0,0,,,,,,,,,,,LINE_RECORDED
hydrogen_rydberg_reference,reference,gross_rydberg_series,line,lyman,1,5,0,1,10529048.0067,94.9753481385,10529048.0067,94.9753481385,0,0,,,,,,,,,,,LINE_RECORDED
hydrogen_rydberg_reference,reference,gross_rydberg_series,line,lyman,1,6,0,1,10663098.3864,93.7813723333,10663098.3864,93.7813723333,0,0,,,,,,,,,,,LINE_RECORDED
hydrogen_rydberg_reference,reference,gross_rydberg_series,line,balmer,2,3,0,1,1523299.76948,656.469606333,1523299.76948,656.469606333,0,0,,,,,,,,,,,LINE_RECORDED
hydrogen_rydberg_reference,reference,gross_rydberg_series,line,balmer,2,4,0,1,2056454.6888,486.273782469,2056454.6888,486.273782469,0,0,,,,,,,,,,,LINE_RECORDED
hydrogen_rydberg_reference,reference,gross_rydberg_series,line,balmer,2,5,0,1,2303229.25146,434.173020062,2303229.25146,434.173020062,0,0,,,,,,,,,,,LINE_RECORDED
hydrogen_rydberg_reference,reference,gross_rydberg_series,line,balmer,2,6,0,1,2437279.63117,410.293503958,2437279.63117,410.293503958,0,0,,,,,,,,,,,LINE_RECORDED
