condition,component,metric,value
known_positive,spectral,eigenvalues_0,1.55042441467e-16
known_positive,spectral,eigenvalues_1,0.0598884412732
known_positive,spectral,eigenvalues_2,0.0877378924529
known_positive,spectral,eigenvalues_3,1.2403308443
known_positive,spectral,eigenvalues_4,1.25778428871
known_positive,spectral,eigenvalues_5,1.26663631382
known_positive,spectral,eigenvalues_6,1.27864581985
known_positive,spectral,eigenvalues_7,1.33440590192
known_positive,spectral,spectral_gap,0.0598884412732
known_positive,spectral,low_mode_cluster_ordering,0.883101851852
known_positive,spectral,fiedler_sign_balance,0.583333333333
known_positive,hodge,edge_count,23
known_positive,hodge,triangle_count,12
known_positive,hodge,exact_fraction,0.991017964072
known_positive,hodge,coexact_fraction,1.02698432618e-31
known_positive,hodge,harmonic_fraction,0.00898203592814
known_positive,hodge,harmonic_dim,3
known_positive,hodge,lowest_l1_eigenvalues_0,-1.62693104151e-15
known_positive,hodge,lowest_l1_eigenvalues_1,-3.19540059537e-16
known_positive,hodge,lowest_l1_eigenvalues_2,1.74744443036e-16
known_positive,hodge,lowest_l1_eigenvalues_3,0.7639320225
known_positive,hodge,lowest_l1_eigenvalues_4,1.26794919243
known_positive,hodge,lowest_l1_eigenvalues_5,4
known_positive,hodge,lowest_l1_eigenvalues_6,4
known_positive,hodge,lowest_l1_eigenvalues_7,4
known_positive,curvature,forman_mean,-2.17391304348
known_positive,curvature,forman_std,1.04889896364
known_positive,curvature,forman_negative_fraction,1
known_positive,curvature,ollivier_mean,0.371629319978
known_positive,curvature,ollivier_std,0.229732254858
known_positive,curvature,ollivier_negative_fraction,0.130434782609
known_positive,transport_kernel,sinkhorn_distance,0.0147609745953
known_positive,transport_kernel,sinkhorn_divergence,0
known_positive,transport_kernel,sliced_wasserstein,0
known_positive,transport_kernel,mmd_rbf,0
label_permutation_control,spectral,eigenvalues_0,-9.40716310391e-17
label_permutation_control,spectral,eigenvalues_1,0.0598884412732
label_permutation_control,spectral,eigenvalues_2,0.0877378924529
label_permutation_control,spectral,eigenvalues_3,1.2403308443
label_permutation_control,spectral,eigenvalues_4,1.25778428871
label_permutation_control,spectral,eigenvalues_5,1.26663631382
label_permutation_control,spectral,eigenvalues_6,1.27864581985
label_permutation_control,spectral,eigenvalues_7,1.33440590192
label_permutation_control,spectral,spectral_gap,0.0598884412732
label_permutation_control,spectral,low_mode_cluster_ordering,0.883101851852
label_permutation_control,spectral,fiedler_sign_balance,0.416666666667
label_permutation_control,hodge,edge_count,23
label_permutation_control,hodge,triangle_count,12
label_permutation_control,hodge,exact_fraction,0.991017964072
label_permutation_control,hodge,coexact_fraction,2.89598007678e-32
label_permutation_control,hodge,harmonic_fraction,0.00898203592814
label_permutation_control,hodge,harmonic_dim,3
label_permutation_control,hodge,lowest_l1_eigenvalues_0,-3.65387830394e-15
label_permutation_control,hodge,lowest_l1_eigenvalues_1,-3.25795692581e-16
label_permutation_control,hodge,lowest_l1_eigenvalues_2,4.92799399918e-19
label_permutation_control,hodge,lowest_l1_eigenvalues_3,0.7639320225
label_permutation_control,hodge,lowest_l1_eigenvalues_4,1.26794919243
label_permutation_control,hodge,lowest_l1_eigenvalues_5,4
label_permutation_control,hodge,lowest_l1_eigenvalues_6,4
label_permutation_control,hodge,lowest_l1_eigenvalues_7,4
label_permutation_control,curvature,forman_mean,-2.17391304348
label_permutation_control,curvature,forman_std,1.04889896364
label_permutation_control,curvature,forman_negative_fraction,1
label_permutation_control,curvature,ollivier_mean,0.371629319978
label_permutation_control,curvature,ollivier_std,0.229732254858
label_permutation_control,curvature,ollivier_negative_fraction,0.130434782609
label_permutation_control,transport_kernel,sinkhorn_distance,0.0147609745953
label_permutation_control,transport_kernel,sinkhorn_divergence,0
label_permutation_control,transport_kernel,sliced_wasserstein,3.69068704744e-17
label_permutation_control,transport_kernel,mmd_rbf,0
weight_shuffle_control,spectral,eigenvalues_0,2.09682179262e-16
weight_shuffle_control,spectral,eigenvalues_1,0.189796839191
weight_shuffle_control,spectral,eigenvalues_2,0.32455863391
weight_shuffle_control,spectral,eigenvalues_3,0.794256501895
weight_shuffle_control,spectral,eigenvalues_4,0.965990565743
weight_shuffle_control,spectral,eigenvalues_5,1.01053939383
weight_shuffle_control,spectral,eigenvalues_6,1.15792976056
weight_shuffle_control,spectral,eigenvalues_7,1.34396819855
weight_shuffle_control,spectral,spectral_gap,0.189796839191
weight_shuffle_control,spectral,low_mode_cluster_ordering,0.842592592593
weight_shuffle_control,spectral,fiedler_sign_balance,0.583333333333
weight_shuffle_control,hodge,edge_count,23
weight_shuffle_control,hodge,triangle_count,12
weight_shuffle_control,hodge,exact_fraction,0.962152230971
weight_shuffle_control,hodge,coexact_fraction,8.34024646103e-32
weight_shuffle_control,hodge,harmonic_fraction,0.0378477690289
weight_shuffle_control,hodge,harmonic_dim,3
weight_shuffle_control,hodge,lowest_l1_eigenvalues_0,-1.62693104151e-15
