resolution,sample,control_type,l,eigen_start,eigen_end,subspace_overlap,mode_leakage,degeneracy_split,band_score,spherical_organization_score
72,sphere,none,0,0,0,0.9997956841267953,0.0002043158732046857,0.0,0.9998528925712926,0.9707583740662651
72,sphere,none,1,1,3,0.9880745594601786,0.011925440539821364,0.07324493182144062,0.9458390585668767,0.9707583740662651
72,sphere,none,2,4,8,0.968458920541287,0.031541079458712984,0.06062975680167859,0.9395652407797933,0.9707583740662651
72,sphere,none,3,9,15,0.945865463507241,0.05413453649275901,0.0641111060248133,0.9211317788653297,0.9707583740662651
72,coordinate_permutation_control,coordinate_permutation,0,0,0,0.9997956841267953,0.0002043158732046857,0.0,0.9998528925712926,0.34266857347636237
72,coordinate_permutation_control,coordinate_permutation,1,1,3,0.05427653919764946,0.9457234608023506,0.07324493182144062,0.2735044839778557,0.34266857347636237
72,coordinate_permutation_control,coordinate_permutation,2,4,8,0.08383466710438979,0.9161653328956102,0.06062975680167859,0.3026357783052273,0.34266857347636237
72,coordinate_permutation_control,coordinate_permutation,3,9,15,0.10289027707996137,0.8971097229200387,0.0641111060248133,0.3141896446376884,0.34266857347636237
72,weight_shuffle_control,weight_shuffle,0,0,0,0.9979190790014482,0.0020809209985518384,0.0,0.9985017368810427,0.9052903353900883
72,weight_shuffle_control,weight_shuffle,1,1,3,0.9677718796655413,0.032228120334458654,0.14513144694055505,0.8864917419295111,0.9052903353900883
72,weight_shuffle_control,weight_shuffle,2,4,8,0.9090371729613091,0.09096282703869085,0.1594440401095578,0.8352971395750843,0.9052903353900883
72,weight_shuffle_control,weight_shuffle,3,9,15,0.778087221417214,0.22191277858278602,0.10602019637087176,0.7742546772340738,0.9052903353900883
72,degree_rewire_control,degree_preserving_rewire,0,0,0,0.9981077580891097,0.0018922419108903243,0.0,0.998637585824159,0.3375416694560841
72,degree_rewire_control,degree_preserving_rewire,1,1,3,0.05638606449877313,0.9436139355012269,0.08421739190572324,0.2681960336977778,0.3375416694560841
72,degree_rewire_control,degree_preserving_rewire,2,4,8,0.0663685404191074,0.9336314595808926,0.06982823280153728,0.28433667091413417,0.3375416694560841
72,degree_rewire_control,degree_preserving_rewire,3,9,15,0.10659876114681219,0.8934012388531878,0.10757009885673713,0.28981860207040167,0.3375416694560841
72,ring_smooth_control,ring_smooth,0,0,0,1.0000000000000009,-8.881784197001252e-16,0.0,1.0000000000000007,0.3027480721707504
72,ring_smooth_control,ring_smooth,1,1,3,0.20320485349209058,0.7967951465079094,1.4860784081095182,0.14630749451430522,0.3027480721707504
