sample,sample_role,control_type,composition_specificity_score,shift_recoverability,memory_recoverability,composition_relation_score,causal_order_score,permanence_score,address_binding_score,generic_smoothness_score,shift_correlation,memory_correlation,response_correlation,response_amplitude_score,shift_event_time_score,memory_event_time_score,plateau_stability
composition_target,target,none,0.9829178246669162,0.9999686476353451,0.9998001273645265,0.9998530985607356,0.9942672662844314,0.991310910749692,0.9999995247851504,0.2233907429172317,0.9999940748719676,0.9999905121798347,0.9999916235366222,0.999361964555319,0.9921259842519689,0.9858267716535443,0.9879318204856833
independent_memory_control,negative_control,right_shift_wrong_response,0.4288242685689585,0.9997420870576632,0.26014126559366035,0.21979907623969372,0.3922957186665503,0.14008469155705747,0.5201012238154452,0.023654733055663013,0.9999932122016912,0.0002116104098578783,-0.0002096731274452316,0.999086710180426,0.9921259842519689,0.0,0.0
wrong_shift_right_memory_control,negative_control,wrong_shift_right_memory,0.5271330614620514,0.2602286644666475,0.9996276238806721,0.31804148973393315,0.8049678142580003,0.17945688138951577,0.4802211381198294,0.0,0.0004263329473675911,0.9999913597693331,0.1259970688697191,0.9989262546161466,0.6771653543307085,0.9858267716535443,0.0
simultaneous_final_control,negative_control,final_field_without_two_stage_composition,0.2716456460251454,0.6443066720930467,0.03169383317862781,0.013854657643318544,0.4539645349083382,0.13998969069544248,0.4628734151277337,0.2232175064392432,0.788383205975326,0.04282950429544299,0.017762381593998133,0.0,0.9921259842519689,0.0,0.0
reversed_order_control,negative_control,memory_before_shift,0.23029680984312664,0.09629069230798673,0.05092543504184752,0.6447745092863243,0.1320108168859601,3.033305544128103e-05,6.375884792941598e-05,0.22333942811563823,1.5812451246723326e-06,0.00013111726532897354,0.8266339862645182,0.0,0.0,0.0,0.0
shift_only_control,negative_control,supertranslation_without_memory,0.3565504914420866,0.9996388689185045,0.04023922710324172,0.04445069490104151,0.41043357650203466,0.1399774639513684,0.5938233612164528,0.33563562425468474,0.9999938015025944,0.054377333923299624,0.056988070385950655,0.0,0.9921259842519689,0.0,0.0
memory_only_control,negative_control,memory_without_shift,0.4089728708974552,0.06661818658210453,0.9996538844488727,0.0,0.7518725398021735,0.17944935106362314,0.6178593277348983,0.014285995525365136,0.09002457646230341,0.9999892061372446,-0.03199500263748165,0.0,0.5354330708661417,0.9858267716535443,0.0
coordinate_permutation_control,negative_control,node_identity_permutation,0.31297227000016364,0.269003250019043,0.28503347209212343,0.21990075527336178,0.7106473768192444,0.2667287176540574,0.07079125165067458,0.0,0.01222310973648474,0.033930937064265525,-0.10459788419794408,0.9995488876061899,0.9133858267716535,0.9354330708661409,0.359620544695487
transient_composition_control,negative_control,bursts_without_permanent_composition,0.12744667736314824,0.07241113892579916,0.0,0.0,0.5547757084553742,0.00028431438544749584,0.13814717726006667,0.0,0.09785289044026914,-0.2739225310276512,-0.09097447190622782,0.0,0.5984251968503936,0.6204724409448816,0.0
smooth_two_step_decoy,negative_control,smooth_wrong_address_two_step,0.25728199323476175,0.2599498095567905,0.25968576552499556,0.2196916714706565,0.4779527559055119,9.279940369567042e-05,0.0,0.6599173319484113,-0.00024617669543718643,-0.00032513198663148803,-0.04894617271435602,0.9985985066848022,0.9921259842519689,0.0,0.0
