condition,seed,refinement_level,setting_left,setting_right,G,expected_relation,holdout_edge
known_positive,3101,0,alpha,alpha,-1.74210500379e-18,0,False
known_positive,3101,0,alpha,beta,1.01398070732,1,True
known_positive,3101,0,alpha,gamma,0.0077605701334,0,False
known_positive,3101,0,alpha,delta,0.444963984569,0.45,False
known_positive,3101,0,alpha,epsilon,-0.00376029516513,0,False
known_positive,3101,0,alpha,zeta,-0.98950651958,-1,False
known_positive,3101,0,beta,alpha,-1.01398070732,-1,False
known_positive,3101,0,beta,beta,8.85881275523e-19,0,False
known_positive,3101,0,beta,gamma,1.00149461628,1,False
known_positive,3101,0,beta,delta,0.0257225364027,0,False
known_positive,3101,0,beta,epsilon,-0.00224475469737,0,False
known_positive,3101,0,beta,zeta,0.000268739246206,0,False
known_positive,3101,0,gamma,alpha,-0.0077605701334,0,False
known_positive,3101,0,gamma,beta,-1.00149461628,-1,False
known_positive,3101,0,gamma,gamma,0,0,False
known_positive,3101,0,gamma,delta,1.0041029587,1,True
known_positive,3101,0,gamma,epsilon,0.0178964829055,0,False
known_positive,3101,0,gamma,zeta,-0.350309357123,-0.35,False
known_positive,3101,0,delta,alpha,-0.444963984569,-0.45,False
known_positive,3101,0,delta,beta,-0.0257225364027,0,False
known_positive,3101,0,delta,gamma,-1.0041029587,-1,False
known_positive,3101,0,delta,delta,5.30586228665e-20,0,False
known_positive,3101,0,delta,epsilon,0.997515547925,1,False
known_positive,3101,0,delta,zeta,-0.00137390771255,0,False
known_positive,3101,0,epsilon,alpha,0.00376029516513,0,False
known_positive,3101,0,epsilon,beta,0.00224475469737,0,False
known_positive,3101,0,epsilon,gamma,-0.0178964829055,0,False
known_positive,3101,0,epsilon,delta,-0.997515547925,-1,False
known_positive,3101,0,epsilon,epsilon,8.47463512543e-19,0,False
known_positive,3101,0,epsilon,zeta,0.995864428951,1,True
known_positive,3101,0,zeta,alpha,0.98950651958,1,False
known_positive,3101,0,zeta,beta,-0.000268739246206,0,False
known_positive,3101,0,zeta,gamma,0.350309357123,0.35,False
known_positive,3101,0,zeta,delta,0.00137390771255,0,False
known_positive,3101,0,zeta,epsilon,-0.995864428951,-1,False
known_positive,3101,0,zeta,zeta,-8.50997415438e-19,0,False
known_positive,3101,1,alpha,alpha,0,0,False
known_positive,3101,1,alpha,beta,1.02095950446,1,True
known_positive,3101,1,alpha,gamma,0.0195926908442,0,False
known_positive,3101,1,alpha,delta,0.418424821143,0.45,False
known_positive,3101,1,alpha,epsilon,0.00927755323667,0,False
known_positive,3101,1,alpha,zeta,-0.993982013521,-1,False
known_positive,3101,1,beta,alpha,-1.02095950446,-1,False
known_positive,3101,1,beta,beta,-3.46091875856e-18,0,False
