setting_left,setting_right,expected_relation,expected_abs_relation,holdout_edge
alpha,alpha,0,0,False
alpha,beta,1,1,True
alpha,gamma,0,0,False
alpha,delta,0.45,0.45,False
alpha,epsilon,0,0,False
alpha,zeta,-1,1,False
beta,alpha,-1,1,False
beta,beta,0,0,False
beta,gamma,1,1,False
beta,delta,0,0,False
beta,epsilon,0,0,False
beta,zeta,0,0,False
gamma,alpha,0,0,False
gamma,beta,-1,1,False
gamma,gamma,0,0,False
gamma,delta,1,1,True
gamma,epsilon,0,0,False
gamma,zeta,-0.35,0.35,False
delta,alpha,-0.45,0.45,False
delta,beta,0,0,False
delta,gamma,-1,1,False
delta,delta,0,0,False
delta,epsilon,1,1,False
delta,zeta,0,0,False
epsilon,alpha,0,0,False
epsilon,beta,0,0,False
epsilon,gamma,0,0,False
epsilon,delta,-1,1,False
epsilon,epsilon,0,0,False
epsilon,zeta,1,1,True
zeta,alpha,1,1,False
zeta,beta,0,0,False
zeta,gamma,0.35,0.35,False
zeta,delta,0,0,False
zeta,epsilon,-1,1,False
zeta,zeta,0,0,False
