file,title,pages,extract_status,spectral_graph,hodge_cochain,curvature_flow,transport_kernel,physics_bridge,haos_local
pdfs/altschuler_weed_rigollet_sinkhorn_iteration_near_linear_ot_2017.pdf,Near-linear time approximation algorithms for optimal transport via Sinkhorn iteration,18,ok,1,5,8,106,0,7
pdfs/anderes_borgwardt_miller_discrete_wasserstein_barycenters_2015.pdf,Discrete Wasserstein Barycenters: Optimal Transport for Discrete Data,14,ok,0,8,1,243,3,1
pdfs/black_nayyeri_hodge_decomposition_laplacian_solvers_embedded_simplicial_complexes_2022.pdf,Hodge Decomposition and General Laplacian Solvers for Embedded Simplicial Complexes,35,ok,107,185,1,4,2,132
pdfs/caicedo_torres_pereira_amini_survey_optimal_transport_machine_learning_2021.pdf,arXiv:2106.01963v1 [cs.LG] 3 Jun 2021 A S URVEY ON OPTIMAL TRANSPORT FOR MACHINE LEARNING :,15,ok,0,1,3,210,7,1
pdfs/catterall_dirac_kahler_fermions_exact_lattice_supersymmetry_2005.pdf,arXiv:hep-lat/0509136v2  4 Oct 2005,22,ok,3,108,0,0,264,21
pdfs/claici_chien_solomon_stochastic_wasserstein_barycenters_2018.pdf,"Stochastic Wasserstein Barycenters Sebastian Claici, Edward Chien, and Justin Solomon",15,ok,1,4,4,156,5,0
pdfs/coifman_hirn_diffusion_maps_for_changing_data_2012.pdf,"Diﬀusion maps for changing data$ Ronald R. Coifman, Matthew J. Hirn∗",38,ok,97,7,6,59,15,86
pdfs/cuturi_sinkhorn_distances_2013.pdf,SINKHORN DISTANCES: LIGHTSPEED COMPUTATION OF OPTIMAL TRANSPORTATION DISTANCES,13,ok,0,2,9,144,3,1
pdfs/de_beauce_sen_sexton_chiral_dirac_fermions_geometric_discretisation_2003.pdf,arXiv:hep-lat/0309167v1 26 Sep 2003 1,3,ok,1,18,0,1,23,4
pdfs/di_marino_gerolin_optimal_transport_loss_general_convex_regularization_2020.pdf,arXiv:2007.00976v1 [math.OC] 2 Jul 2020 Optimal Transport losses and Sinkhorn algorithm,18,ok,0,1,0,142,1,4
pdfs/dong_gao_peng_razenshteyn_sawlani_optimal_transport_performance_2020.pdf,A Study of Performance of Optimal Transport Yihe Dong∗ Yu Gao† Richard Peng † Ilya Razenshteyn∗ Saurabh Sawlani‡,9,ok,2,18,12,85,0,0
pdfs/gallier_spectral_graph_theory_normalized_cuts_notes_2013.pdf,Notes on Elementary Spectral Graph Theory Applications to Graph Clustering,76,ok,244,3,0,2,9,4
pdfs/gretton_borgwardt_rasch_scholkopf_smola_kernel_two_sample_test_2012.pdf,gretton12a.dvi,51,ok,7,3,21,404,1,25
