hierarchy_label,level_id,n_side,perturbation_label,amplitude,classification,failure_mechanism,survival_indicator,spectral_gap_shift_relative,mode_mixing_indicator,norm_retention_relative,recovery_style_score
frozen_branch,n48,48,local_stiffness_defect,0.0,persistent,survives,1,0.0,0.779318152175,1.0,1.0
frozen_branch,n48,48,local_stiffness_defect,0.1,persistent,survives,1,0.000537864426,0.77942756389,1.000305348995,0.961985673591
frozen_branch,n48,48,local_stiffness_defect,0.2,persistent,survives,1,0.001126036075,0.779546127413,1.000634382945,0.919293129097
frozen_branch,n48,48,local_stiffness_defect,0.3,persistent,survives,1,0.001772151328,0.779675515455,1.000991228338,0.871171278247
frozen_branch,n48,48,local_stiffness_defect,0.4,persistent,survives,1,0.002485494432,0.779817911778,1.001381238919,0.816856657722
frozen_branch,n48,48,local_stiffness_defect,0.5,diffusive,spectral_mixing_dominated,0,0.003277469852,0.779976211677,1.001811471574,0.755726183117
frozen_branch,n48,48,local_stiffness_defect,0.6,diffusive,spectral_mixing_dominated,0,0.004162248292,0.780154311338,1.00229137328,0.687621709358
frozen_branch,n48,48,local_stiffness_defect,0.7,diffusive,spectral_mixing_dominated,0,0.005157668952,0.780357528192,1.002833780337,0.652490745856
frozen_branch,n48,48,local_stiffness_defect,0.8,diffusive,spectral_mixing_dominated,0,0.006286543565,0.780593215061,1.003456382262,0.65156954673
frozen_branch,n48,48,local_stiffness_defect,0.9,diffusive,spectral_mixing_dominated,0,0.007578789299,0.780871661638,1.004183880421,0.670297136757
frozen_branch,n48,48,local_stiffness_defect,1.0,diffusive,spectral_mixing_dominated,0,0.008299100685,0.781031253399,1.004597360859,0.692059594323
frozen_branch,n48,48,connectivity_micro_surgery,0.0,persistent,survives,1,0.0,0.779318152175,1.0,1.0
frozen_branch,n48,48,connectivity_micro_surgery,0.2,persistent,survives,1,2.82545e-07,0.77930630007,0.999966572663,0.993284339485
frozen_branch,n48,48,connectivity_micro_surgery,0.4,persistent,survives,1,9.09153e-07,0.77927048804,0.999866417527,0.968209088792
frozen_branch,n48,48,connectivity_micro_surgery,0.6,persistent,survives,1,9.84377e-07,0.779218400336,0.999719522532,0.923341263812
frozen_branch,n48,48,connectivity_micro_surgery,0.8,diffusive,topological_defect_triggered,0,1.777642e-06,0.779164572494,0.999563283674,0.799750145394
frozen_branch,n48,48,connectivity_micro_surgery,1.0,persistent,survives,1,1.4381566e-05,0.779130191633,0.999451558029,0.834772121292
frozen_branch,n48,48,phase_randomization_window,0.0,persistent,survives,1,0.0,0.779318152175,1.0,1.0
frozen_branch,n48,48,phase_randomization_window,0.02,persistent,survives,1,0.0,0.782365481357,0.997850027916,0.942879321713
frozen_branch,n48,48,phase_randomization_window,0.04,persistent,survives,1,0.0,0.78568348659,0.995422270453,0.878369692621
frozen_branch,n48,48,phase_randomization_window,0.06,persistent,survives,1,0.0,0.789260661092,0.992720059511,0.807059315058
frozen_branch,n48,48,phase_randomization_window,0.08,diffusive,incoherence_triggered,0,0.0,0.793084658085,0.989747083577,0.729516904599
