probe_name,hierarchy_label,level_id,n_side,h,ensemble_size,seed,anchor_index,effective_speed,terminal_radius,mean_latency,influence_order_score,response_threshold
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,0,0.0,0.236396402616,0.0,1.0,0.012779314918
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0,0.0,0.236396402616,0.0,1.0,0.019894911006
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0,0.097810007734,0.236396402616,2.9,0.666666666667,0.002205591683
density_pulse,frozen_branch,n48,48,0.020833333333,3,1302,1,0.0,0.592748124933,0.0,1.0,0.015198717019
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1302,1,0.0,0.592748124933,0.0,1.0,0.023704254636
bias_onset,frozen_branch,n48,48,0.020833333333,3,1302,1,0.20998193931,0.592748124933,2.2,0.0,0.00026786309
density_pulse,frozen_branch,n48,48,0.020833333333,3,1303,1,0.0,0.589846124533,0.0,1.0,0.0155003674
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1303,1,0.0,0.589846124533,0.0,1.0,0.024624843058
bias_onset,frozen_branch,n48,48,0.020833333333,3,1303,1,0.144512825507,0.589846124533,3.6,1.0,0.000383558661
density_pulse,frozen_branch,n48,48,0.020833333333,5,1301,0,0.047872263832,0.469221348332,1.05,0.7,0.010105436192
candidate_removal,frozen_branch,n48,48,0.020833333333,5,1301,0,0.083776461706,0.469221348332,0.6,0.7,0.012589286713
bias_onset,frozen_branch,n48,48,0.020833333333,5,1301,0,0.192163979608,0.469221348332,1.7,0.7,0.001685634457
density_pulse,frozen_branch,n48,48,0.020833333333,5,1302,4,0.045536541382,0.568625236695,1.05,0.7,0.010671500998
candidate_removal,frozen_branch,n48,48,0.020833333333,5,1302,4,0.053125964946,0.568625236695,0.9,0.7,0.014973875418
bias_onset,frozen_branch,n48,48,0.020833333333,5,1302,4,0.181860900786,0.568625236695,2.2,0.7,0.000245263526
density_pulse,frozen_branch,n48,48,0.020833333333,5,1303,1,0.0,0.589846124533,0.0,1.0,0.012194268167
candidate_removal,frozen_branch,n48,48,0.020833333333,5,1303,1,0.0,0.589846124533,0.0,1.0,0.016386622424
bias_onset,frozen_branch,n48,48,0.020833333333,5,1303,1,0.234116623172,0.589846124533,1.9,0.6,0.000148621822
density_pulse,frozen_branch,n48,48,0.020833333333,7,1301,0,0.121120374639,0.469221348332,0.966666666667,0.761904761905,0.008530467163
candidate_removal,frozen_branch,n48,48,0.020833333333,7,1301,0,0.16442837066,0.469221348332,1.533333333333,0.857142857143,0.010129186981
bias_onset,frozen_branch,n48,48,0.020833333333,7,1301,0,0.158659829459,0.469221348332,2.6,0.904761904762,0.001404280957
density_pulse,frozen_branch,n48,48,0.020833333333,7,1302,4,0.059164027234,0.568625236695,2.8,0.619047619048,0.008347487813
candidate_removal,frozen_branch,n48,48,0.020833333333,7,1302,4,0.067758462961,0.616750433322,1.733333333333,0.571428571429,0.010903486744
bias_onset,frozen_branch,n48,48,0.020833333333,7,1302,4,0.125472499762,0.568625236695,3.2,0.761904761905,0.001615109437
density_pulse,frozen_branch,n48,48,0.020833333333,7,1303,5,0.118771176691,0.480614416459,2.1,0.857142857143,0.008825028928
candidate_removal,frozen_branch,n48,48,0.020833333333,7,1303,5,0.118771176691,0.480614416459,2.1,0.857142857143,0.010608762612
bias_onset,frozen_branch,n48,48,0.020833333333,7,1303,5,0.292668176413,0.585142543535,1.666666666667,0.809523809524,0.000147526168
density_pulse,frozen_branch,n60,60,0.016666666667,3,1301,0,0.0,0.236396402616,0.0,1.0,0.012779314918
candidate_removal,frozen_branch,n60,60,0.016666666667,3,1301,0,0.0,0.236396402616,0.0,1.0,0.019894911006
bias_onset,frozen_branch,n60,60,0.016666666667,3,1301,0,0.097810007734,0.236396402616,2.9,0.666666666667,0.002058331523
density_pulse,frozen_branch,n60,60,0.016666666667,3,1302,1,0.0,0.592748124933,0.0,1.0,0.015198717117
candidate_removal,frozen_branch,n60,60,0.016666666667,3,1302,1,0.0,0.592748124933,0.0,1.0,0.023704254788
bias_onset,frozen_branch,n60,60,0.016666666667,3,1302,1,0.20998193931,0.592748124933,2.2,0.0,0.000150794915
density_pulse,frozen_branch,n60,60,0.016666666667,3,1303,1,0.0,0.589846124533,0.0,1.0,0.0155003675
candidate_removal,frozen_branch,n60,60,0.016666666667,3,1303,1,0.0,0.589846124533,0.0,1.0,0.024624843216
bias_onset,frozen_branch,n60,60,0.016666666667,3,1303,1,0.325153857391,0.589846124533,1.6,1.0,0.000136575157
density_pulse,frozen_branch,n60,60,0.016666666667,5,1301,0,0.047872263832,0.469221348332,1.05,0.7,0.010105436179
candidate_removal,frozen_branch,n60,60,0.016666666667,5,1301,0,0.05585097447,0.469221348332,0.9,0.7,0.012589286697
bias_onset,frozen_branch,n60,60,0.016666666667,5,1301,0,0.192163979608,0.469221348332,1.7,0.7,0.001523763366
density_pulse,frozen_branch,n60,60,0.016666666667,5,1302,4,0.045536541382,0.568625236695,1.05,0.7,0.010671500972
candidate_removal,frozen_branch,n60,60,0.016666666667,5,1302,4,0.045536541382,0.568625236695,1.05,0.7,0.014973875381
bias_onset,frozen_branch,n60,60,0.016666666667,5,1302,4,0.170587440145,0.568625236695,2.6,0.7,0.00021515056
density_pulse,frozen_branch,n60,60,0.016666666667,5,1303,1,0.0,0.589846124533,0.0,1.0,0.012194268207
candidate_removal,frozen_branch,n60,60,0.016666666667,5,1303,1,0.0,0.589846124533,0.0,1.0,0.016386622478
bias_onset,frozen_branch,n60,60,0.016666666667,5,1303,1,0.254177342612,0.589846124533,2.25,0.6,0.00012224622
density_pulse,frozen_branch,n60,60,0.016666666667,7,1301,0,0.108553905384,0.469221348332,1.033333333333,0.761904761905,0.008530467138
candidate_removal,frozen_branch,n60,60,0.016666666667,7,1301,0,0.136502883425,0.469221348332,1.6,0.857142857143,0.010129186952
bias_onset,frozen_branch,n60,60,0.016666666667,7,1301,0,0.158659829459,0.469221348332,2.6,0.904761904762,0.001252790553
density_pulse,frozen_branch,n60,60,0.016666666667,7,1302,4,0.059164027234,0.616750433322,2.8,0.619047619048,0.008347487797
candidate_removal,frozen_branch,n60,60,0.016666666667,7,1302,4,0.058015977181,0.616750433322,1.9,0.571428571429,0.010903486723
bias_onset,frozen_branch,n60,60,0.016666666667,7,1302,4,0.11757492703,0.568625236695,3.3,0.809523809524,0.001570194475
density_pulse,frozen_branch,n60,60,0.016666666667,7,1303,5,0.118771176691,0.480614416459,2.1,0.857142857143,0.008825030812
candidate_removal,frozen_branch,n60,60,0.016666666667,7,1303,5,0.118771176691,0.480614416459,2.1,0.857142857143,0.010608764876
bias_onset,frozen_branch,n60,60,0.016666666667,7,1303,5,0.279123210127,0.585142543535,1.866666666667,0.857142857143,0.000138296769
density_pulse,frozen_branch,n72,72,0.013888888889,3,1301,0,0.0,0.236396402616,0.0,1.0,0.012779314918
candidate_removal,frozen_branch,n72,72,0.013888888889,3,1301,0,0.0,0.236396402616,0.0,1.0,0.019894911006
bias_onset,frozen_branch,n72,72,0.013888888889,3,1301,0,0.097810007734,0.236396402616,2.9,0.666666666667,0.001912794017
density_pulse,frozen_branch,n72,72,0.013888888889,3,1302,1,0.0,0.592748124933,0.0,1.0,0.015198717078
candidate_removal,frozen_branch,n72,72,0.013888888889,3,1302,1,0.0,0.592748124933,0.0,1.0,0.023704254726
bias_onset,frozen_branch,n72,72,0.013888888889,3,1302,1,0.20998193931,0.592748124933,2.2,0.0,9.0241187e-05
density_pulse,frozen_branch,n72,72,0.013888888889,3,1303,1,0.0,0.589846124533,0.0,1.0,0.015500367622
candidate_removal,frozen_branch,n72,72,0.013888888889,3,1303,1,0.0,0.589846124533,0.0,1.0,0.02462484341
bias_onset,frozen_branch,n72,72,0.013888888889,3,1303,1,0.433538476521,0.589846124533,1.2,1.0,0.000118058412
density_pulse,frozen_branch,n72,72,0.013888888889,5,1301,0,0.047872263832,0.469221348332,1.05,0.7,0.010105436174
candidate_removal,frozen_branch,n72,72,0.013888888889,5,1301,0,0.047872263832,0.469221348332,1.05,0.7,0.012589286691
bias_onset,frozen_branch,n72,72,0.013888888889,5,1301,0,0.187975156523,0.469221348332,1.8,0.7,0.001390294389
density_pulse,frozen_branch,n72,72,0.013888888889,5,1302,4,0.045536541382,0.568625236695,1.05,0.7,0.010671500977
candidate_removal,frozen_branch,n72,72,0.013888888889,5,1302,4,0.045536541382,0.568625236695,1.05,0.7,0.014973875388
bias_onset,frozen_branch,n72,72,0.013888888889,5,1302,4,0.166033786007,0.568625236695,2.9,0.7,0.000266785653
density_pulse,frozen_branch,n72,72,0.013888888889,5,1303,1,0.0,0.589846124533,0.0,1.0,0.012194268256
candidate_removal,frozen_branch,n72,72,0.013888888889,5,1303,1,0.0,0.589846124533,0.0,1.0,0.016386622544
bias_onset,frozen_branch,n72,72,0.013888888889,5,1303,1,0.219928253009,0.589846124533,2.25,0.9,0.000129603901
density_pulse,frozen_branch,n72,72,0.013888888889,7,1301,0,0.091798613042,0.469221348332,1.2,0.761904761905,0.008530467132
candidate_removal,frozen_branch,n72,72,0.013888888889,7,1301,0,0.122540139807,0.469221348332,1.666666666667,0.857142857143,0.010129186945
bias_onset,frozen_branch,n72,72,0.013888888889,7,1301,0,0.155867280736,0.469221348332,2.666666666667,0.857142857143,0.001136645237
density_pulse,frozen_branch,n72,72,0.013888888889,7,1302,4,0.059164027234,0.616750433322,2.8,0.619047619048,0.0083474878
candidate_removal,frozen_branch,n72,72,0.013888888889,7,1302,4,0.052448842449,0.616750433322,2.1,0.571428571429,0.010903486727
bias_onset,frozen_branch,n72,72,0.013888888889,7,1302,4,0.121653964287,0.616750433322,3.2,0.714285714286,0.00149533733
density_pulse,frozen_branch,n72,72,0.013888888889,7,1303,5,0.118771176691,0.480614416459,2.1,0.857142857143,0.008825029709
candidate_removal,frozen_branch,n72,72,0.013888888889,7,1303,5,0.118771176691,0.480614416459,2.1,0.857142857143,0.010608763551
bias_onset,frozen_branch,n72,72,0.013888888889,7,1303,5,0.280647573543,0.501905733536,1.966666666667,0.809523809524,0.00016350329
density_pulse,frozen_branch,n84,84,0.011904761905,3,1301,0,0.0,0.236396402616,0.0,1.0,0.012779314918
candidate_removal,frozen_branch,n84,84,0.011904761905,3,1301,0,0.0,0.236396402616,0.0,1.0,0.019894911006
bias_onset,frozen_branch,n84,84,0.011904761905,3,1301,0,0.097810007734,0.236396402616,2.9,0.666666666667,0.001786745981
density_pulse,frozen_branch,n84,84,0.011904761905,3,1302,1,0.0,0.592748124933,0.0,1.0,0.01519871703
candidate_removal,frozen_branch,n84,84,0.011904761905,3,1302,1,0.0,0.592748124933,0.0,1.0,0.023704254653
bias_onset,frozen_branch,n84,84,0.011904761905,3,1302,1,0.20998193931,0.592748124933,2.2,0.0,5.8132985e-05
density_pulse,frozen_branch,n84,84,0.011904761905,3,1303,1,0.0,0.589846124533,0.0,1.0,0.015500367736
candidate_removal,frozen_branch,n84,84,0.011904761905,3,1303,1,0.0,0.589846124533,0.0,1.0,0.024624843591
bias_onset,frozen_branch,n84,84,0.011904761905,3,1303,1,0.433538476521,0.589846124533,1.2,1.0,0.000145553129
density_pulse,frozen_branch,n84,84,0.011904761905,5,1301,0,0.047872263832,0.469221348332,1.05,0.7,0.010105436176
candidate_removal,frozen_branch,n84,84,0.011904761905,5,1301,0,0.047872263832,0.469221348332,1.05,0.7,0.012589286693
bias_onset,frozen_branch,n84,84,0.011904761905,5,1301,0,0.183786333438,0.469221348332,1.95,0.7,0.001284364168
density_pulse,frozen_branch,n84,84,0.011904761905,5,1302,4,0.045536541382,0.568625236695,1.05,0.7,0.010671500992
candidate_removal,frozen_branch,n84,84,0.011904761905,5,1302,4,0.045536541382,0.568625236695,1.05,0.7,0.014973875409
bias_onset,frozen_branch,n84,84,0.011904761905,5,1302,4,0.166033786007,0.568625236695,2.9,0.7,0.000307621293
density_pulse,frozen_branch,n84,84,0.011904761905,5,1303,1,0.0,0.589846124533,0.0,1.0,0.012194268301
candidate_removal,frozen_branch,n84,84,0.011904761905,5,1303,1,0.0,0.589846124533,0.0,1.0,0.016386622605
bias_onset,frozen_branch,n84,84,0.011904761905,5,1303,1,0.219928253009,0.589846124533,2.25,0.9,0.000149434932
density_pulse,frozen_branch,n84,84,0.011904761905,7,1301,0,0.082224160276,0.469221348332,1.4,0.761904761905,0.008530467136
candidate_removal,frozen_branch,n84,84,0.011904761905,7,1301,0,0.108577396189,0.469221348332,1.8,0.857142857143,0.010129186949
bias_onset,frozen_branch,n84,84,0.011904761905,7,1301,0,0.150942355681,0.469221348332,2.733333333333,0.809523809524,0.001047628546
density_pulse,frozen_branch,n84,84,0.011904761905,7,1302,4,0.059164027234,0.616750433322,2.8,0.619047619048,0.008347487809
candidate_removal,frozen_branch,n84,84,0.011904761905,7,1302,4,0.052448842449,0.616750433322,2.1,0.571428571429,0.010903486738
bias_onset,frozen_branch,n84,84,0.011904761905,7,1302,4,0.121653964287,0.616750433322,3.2,0.714285714286,0.001409099591
density_pulse,frozen_branch,n84,84,0.011904761905,7,1303,5,0.118771176691,0.480614416459,2.1,0.857142857143,0.008825029749
candidate_removal,frozen_branch,n84,84,0.011904761905,7,1303,5,0.118771176691,0.480614416459,2.1,0.857142857143,0.010608763599
bias_onset,frozen_branch,n84,84,0.011904761905,7,1303,5,0.26598279566,0.501905733536,2.033333333333,0.809523809524,0.000187963201
density_pulse,periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1301,0,0.0,0.236396402616,0.0,1.0,0.012779314918
candidate_removal,periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1301,0,0.0,0.236396402616,0.0,1.0,0.019894911006
bias_onset,periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1301,0,0.126423988325,0.236396402616,2.4,0.666666666667,0.002212268622
density_pulse,periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1302,1,0.0,0.592748124933,0.0,1.0,0.015198717019
candidate_removal,periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1302,1,0.0,0.592748124933,0.0,1.0,0.023704254636
bias_onset,periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1302,1,0.259387678733,0.592748124933,1.8,0.0,0.000443548284
density_pulse,periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1303,1,0.0,0.589846124533,0.0,1.0,0.0155003674
candidate_removal,periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1303,1,0.0,0.589846124533,0.0,1.0,0.024624843058
bias_onset,periodic_diagonal_augmented_control,n48,48,0.020833333333,3,1303,1,0.173415390608,0.589846124533,3.0,1.0,0.000772953524
density_pulse,periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1301,0,0.083776461706,0.469221348332,0.6,0.7,0.010105436192
candidate_removal,periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1301,0,0.125664692559,0.469221348332,0.4,0.7,0.012589286713
bias_onset,periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1301,0,0.217373303407,0.469221348332,1.5,0.8,0.00177761115
density_pulse,periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1302,4,0.045536541382,0.568625236695,1.05,0.7,0.010671500998
candidate_removal,periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1302,4,0.095626736903,0.568625236695,0.5,0.7,0.014973875418
bias_onset,periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1302,4,0.156871395301,0.568625236695,2.25,0.4,0.00045773789
density_pulse,periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1303,1,0.0,0.589846124533,0.0,1.0,0.012194268167
candidate_removal,periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1303,1,0.0,0.589846124533,0.0,1.0,0.016386622424
bias_onset,periodic_diagonal_augmented_control,n48,48,0.020833333333,5,1303,1,0.254326608526,0.450646219117,1.7,0.3,0.000228323241
density_pulse,periodic_diagonal_augmented_control,n48,48,0.020833333333,7,1301,0,0.183952720919,0.469221348332,0.833333333333,0.761904761905,0.008530467163
candidate_removal,periodic_diagonal_augmented_control,n48,48,0.020833333333,7,1301,0,0.16442837066,0.469221348332,1.533333333333,0.857142857143,0.010129186981
bias_onset,periodic_diagonal_augmented_control,n48,48,0.020833333333,7,1301,0,0.172624097301,0.469221348332,2.466666666667,1.0,0.001522981284
density_pulse,periodic_diagonal_augmented_control,n48,48,0.020833333333,7,1302,4,0.059164027234,0.568625236695,2.8,0.619047619048,0.008347487813
