stage_identifier,timestamp,operator_manifest_reference,phase5_manifest_reference,phase7_manifest_reference,trace_method,level_id,n_side,h,probe_time,within_operational_window,full_trace,scaled_trace_h2,full_log_trace_slope,reduced_trace_without_kernel,reduced_log_trace_slope,kernel_share,lambda_le_7_5_trace,lambda_le_7_5_relative_error,lambda_le_7_5_log_slope,lambda_le_7_8_trace,lambda_le_7_8_relative_error,lambda_le_7_8_log_slope
phase8-trace,2026-03-21T15:16:37Z,phase6-operator/phase6_operator_manifest.json,phase5-readout/phase5_authoritative_manifest.json,phase7-spectral/phase7_spectral_manifest.json,exact_torus_mode_spectrum,R1,12,0.083333333333,0.01,False,553.902834171256,3.846547459492,-0.047881617018,549.902834171256,-0.048233336478,0.007221483179,535.376069424536,0.033447679997,-0.046288983608,550.205281120819,0.00667545429,-0.047555114565
phase8-trace,2026-03-21T15:16:37Z,phase6-operator/phase6_operator_manifest.json,phase5-readout/phase5_authoritative_manifest.json,phase7-spectral/phase7_spectral_manifest.json,exact_torus_mode_spectrum,R1,12,0.083333333333,0.015,False,543.252899672428,3.772589581028,-0.059152732891,539.252899672428,-0.059592929992,0.007363053198,525.421535780057,0.032823320231,-0.057197489372,539.697883138404,0.006543943965,-0.058752104652
phase8-trace,2026-03-21T15:16:37Z,phase6-operator/phase6_operator_manifest.json,phase5-readout/phase5_authoritative_manifest.json,phase7-spectral/phase7_spectral_manifest.json,exact_torus_mode_spectrum,R1,12,0.083333333333,0.02,True,532.859180221864,3.700410973733,-0.078531332693,528.859180221864,-0.07912823821,0.007506673711,515.69711061084,0.032207514195,-0.075962203475,529.441205581665,0.006414405094,-0.078005376949
phase8-trace,2026-03-21T15:16:37Z,phase6-operator/phase6_operator_manifest.json,phase5-readout/phase5_authoritative_manifest.json,phase7-spectral/phase7_spectral_manifest.json,exact_torus_mode_spectrum,R1,12,0.083333333333,0.03,True,512.812975578753,3.561201219268,-0.118156376005,508.812975578753,-0.119097438991,0.007800114643,496.915059070944,0.031001392837,-0.114379895671,509.653439939456,0.006161185051,-0.117384749032
phase8-trace,2026-03-21T15:16:37Z,phase6-operator/phase6_operator_manifest.json,phase5-readout/phase5_authoritative_manifest.json,phase7-spectral/phase7_spectral_manifest.json,exact_torus_mode_spectrum,R1,12,0.083333333333,0.05,True,475.504512491463,3.302114670053,-0.192277000655,471.504512491463,-0.19393922864,0.008412117856,461.862364542023,0.028689839089,-0.186389596556,472.804709318983,0.005677765619,-0.191078311331
phase8-trace,2026-03-21T15:16:37Z,phase6-operator/phase6_operator_manifest.json,phase5-readout/phase5_authoritative_manifest.json,phase7-spectral/phase7_spectral_manifest.json,exact_torus_mode_spectrum,R1,12,0.083333333333,0.075,True,433.599977727367,3.011110956416,-0.27714844863,429.599977727367,-0.279768850474,0.009225092725,422.332839491054,0.025985098743,-0.269077444702,431.381943930513,0.005115391861,-0.275511874501
phase8-trace,2026-03-21T15:16:37Z,phase6-operator/phase6_operator_manifest.json,phase5-readout/phase5_authoritative_manifest.json,phase7-spectral/phase7_spectral_manifest.json,exact_torus_mode_spectrum,R1,12,0.083333333333,0.1,True,396.336341522204,2.752335704993,-0.359389623626,392.336341522204,-0.363138374044,0.010092438116,387.030675403553,0.023479214858,-0.34951551902,394.51410722967,0.004597696708,-0.357396602143
phase8-trace,2026-03-21T15:16:37Z,phase6-operator/phase6_operator_manifest.json,phase5-readout/phase5_authoritative_manifest.json,phase7-spectral/phase7_spectral_manifest.json,exact_torus_mode_spectrum,R1,12,0.083333333333,0.15,False,333.507333177021,2.316023147044,-0.508624019856,329.507333177021,-0.514973901446,0.011993739274,327.159521498759,0.019033499557,-0.496222340611,332.277414696024,0.003687830397,-0.506143767824
phase8-trace,2026-03-21T15:16:37Z,phase6-operator/phase6_operator_manifest.json,phase5-readout/phase5_authoritative_manifest.json,phase7-spectral/phase7_spectral_manifest.json,exact_torus_mode_spectrum,R1,12,0.083333333333,0.2,False,283.273485523011,1.967176982783,-0.638452960299,279.273485523011,-0.64796582643,0.014120629725,278.943241575281,0.015286442851,-0.624804204983,282.44335106879,0.002930505313,-0.635749080744
phase8-trace,2026-03-21T15:16:37Z,phase6-operator/phase6_operator_manifest.json,phase5-readout/phase5_authoritative_manifest.json,phase7-spectral/phase7_spectral_manifest.json,exact_torus_mode_spectrum,R1,12,0.083333333333,0.3,False,209.973197210523,1.458147202839,-0.844730938745,205.973197210523,-0.862602219381,0.01905005045,207.957970419385,0.00959754301,-0.831430793447,209.595022343049,0.001801062576,-0.842146682193
