stage_identifier,timestamp,hierarchy_label,level_id,n_side,h,coefficient_name,raw_coefficient_name,raw_value,scaled_value,relative_step_from_previous,scaled_relative_span,raw_relative_span,best_limit_model,limit_estimate,limit_fit_r_squared
phase9-invariants,2026-03-21T15:55:56Z,frozen_branch,R1,12,0.083333333333,b0,a0,574.925932328858,3.992541196696,,8.5020802e-05,1.999975683229,linear_in_h^2,3.992179654625,0.999988793788
phase9-invariants,2026-03-21T15:55:56Z,frozen_branch,R2,24,0.041666666667,b0,a0,2299.547995813384,3.992270826129,6.7718917e-05,8.5020802e-05,1.999975683229,linear_in_h^2,3.992179654625,0.999988793788
phase9-invariants,2026-03-21T15:55:56Z,frozen_branch,R3,36,0.027777777778,b0,a0,5173.916768332241,3.992219728715,1.2799085e-05,8.5020802e-05,1.999975683229,linear_in_h^2,3.992179654625,0.999988793788
phase9-invariants,2026-03-21T15:55:56Z,frozen_branch,R4,48,0.020833333333,b0,a0,9198.032872468932,3.992201767437,4.49907e-06,8.5020802e-05,1.999975683229,linear_in_h^2,3.992179654625,0.999988793788
phase9-invariants,2026-03-21T15:55:56Z,frozen_branch,R1,12,0.083333333333,b1,a1,-2188.282843674745,-15.196408636509,,0.015221236998,2.004321359378,linear_in_h^2,-15.445632893201,0.999998915236
phase9-invariants,2026-03-21T15:55:56Z,frozen_branch,R2,24,0.041666666667,b1,a1,-8860.699165583997,-15.38315827383,0.012289063935,0.015221236998,2.004321359378,linear_in_h^2,-15.445632893201,0.999998915236
phase9-invariants,2026-03-21T15:55:56Z,frozen_branch,R3,36,0.027777777778,b1,a1,-19981.679087787194,-15.417962259342,0.002262473342,0.015221236998,2.004321359378,linear_in_h^2,-15.445632893201,0.999998915236
phase9-invariants,2026-03-21T15:55:56Z,frozen_branch,R4,48,0.020833333333,b1,a1,-35551.08861867416,-15.43015999025,0.000791137681,0.015221236998,2.004321359378,linear_in_h^2,-15.445632893201,0.999998915236
phase9-invariants,2026-03-21T15:55:56Z,frozen_branch,R1,12,0.083333333333,b2,a2,4028.885863985421,27.978374055231,,0.027260519706,2.007728209099,linear_in_h^2,28.806767863436,0.999996380389
phase9-invariants,2026-03-21T15:55:56Z,frozen_branch,R2,24,0.041666666667,b2,a2,16472.8200625794,28.598645942437,0.022169690275,0.027260519706,2.007728209099,linear_in_h^2,28.806767863436,0.999996380389
phase9-invariants,2026-03-21T15:55:56Z,frozen_branch,R3,36,0.027777777778,b2,a2,37214.447093879266,28.714851153144,0.004063311632,0.027260519706,2.007728209099,linear_in_h^2,28.806767863436,0.999996380389
phase9-invariants,2026-03-21T15:55:56Z,frozen_branch,R4,48,0.020833333333,b2,a2,66252.95434014419,28.755622542545,0.001419871173,0.027260519706,2.007728209099,linear_in_h^2,28.806767863436,0.999996380389
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R1,12,0.083333333333,b0,a0,575.096431101993,3.993725215954,,0.000302231342,1.999896230247,linear_in_h^1,3.992101755014,0.999470655523
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R2,24,0.041666666667,b0,a0,2299.906785698711,3.992893725235,0.000208199281,0.000302231342,1.999896230247,linear_in_h^1,3.992101755014,0.999470655523
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R3,36,0.027777777778,b0,a0,5174.46129008476,3.992639884389,6.3573154e-05,0.000302231342,1.999896230247,linear_in_h^1,3.992101755014,0.999470655523
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R4,48,0.020833333333,b0,a0,9198.76244696824,3.992518423036,3.0421314e-05,0.000302231342,1.999896230247,linear_in_h^1,3.992101755014,0.999470655523
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R1,12,0.083333333333,b1,a1,-2011.722872810951,-13.970297727742,,0.078116509612,2.026273794856,linear_in_h^1,-15.517159116109,0.999409814861
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R2,24,0.041666666667,b1,a1,-8503.915144486604,-14.763741570525,0.056795056072,0.078116509612,2.026273794856,linear_in_h^1,-15.517159116109,0.999409814861
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R3,36,0.027777777778,b1,a1,-19445.575304279544,-15.004301932554,0.016293997079,0.078116509612,2.026273794856,linear_in_h^1,-15.517159116109,0.999409814861
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R4,48,0.020833333333,b1,a1,-34835.89199336059,-15.119744788301,0.007693983783,0.078116509612,2.026273794856,linear_in_h^1,-15.517159116109,0.999409814861
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R1,12,0.083333333333,b2,a2,3550.24637965511,24.654488747408,,0.121073848083,2.040308844195,linear_in_h^1,29.012971564412,0.999423337314
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R2,24,0.041666666667,b2,a2,15488.255156243778,26.889331868908,0.090646500294,0.121073848083,2.040308844195,linear_in_h^1,29.012971564412,0.999423337314
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R3,36,0.027777777778,b2,a2,35728.298643237846,27.568131669606,0.025244204802,0.121073848083,2.040308844195,linear_in_h^1,29.012971564412,0.999423337314
phase9-invariants,2026-03-21T15:55:56Z,generic_open_grid_scalar_block_control,R4,48,0.020833333333,b2,a2,64266.3370293559,27.893375445877,0.011797817138,0.121073848083,2.040308844195,linear_in_h^1,29.012971564412,0.999423337314
